field,code,label_ar,label_en,layers_using_code,feature_count,status,recommended_standard_code,notes
category,الإيواء السياحي,,,hotels,572,observed_consistent,الإيواء السياحي,Observed value; no automatic normalization.
category,الطعام والشراب,,,tripoliCafes|tripoliRestaurants,479,observed_consistent,الطعام والشراب,Observed value; no automatic normalization.
category,القرى والمنتجعات السياحية,,,resorts,262,observed_consistent,القرى والمنتجعات السياحية,Observed value; no automatic normalization.
category,المشاريع وفرص الاستثمار السياحي,,,investment,673,observed_consistent,المشاريع وفرص الاستثمار السياحي,Observed value; no automatic normalization.
subcategory_ar,بيت شاي,,,tripoliCafes,1,observed_consistent,بيت شاي,Observed value; no automatic normalization.
subcategory_ar,تحتاج مراجعة,,,hotels|investment|resorts|tripoliCafes|tripoliRestaurants,403,observed_consistent,تحتاج مراجعة,Observed value; no automatic normalization.
subcategory_ar,توسعة مشروع قائم,,,investment,1,observed_consistent,توسعة مشروع قائم,Observed value; no automatic normalization.
subcategory_ar,حلويات,,,tripoliRestaurants,1,observed_consistent,حلويات,Observed value; no automatic normalization.
subcategory_ar,شقق فندقية,,,hotels,50,observed_consistent,شقق فندقية,Observed value; no automatic normalization.
subcategory_ar,عصائر,,,tripoliCafes,7,observed_consistent,عصائر,Observed value; no automatic normalization.
subcategory_ar,فرصة استثمارية,,,investment,1,observed_consistent,فرصة استثمارية,Observed value; no automatic normalization.
subcategory_ar,فندق,,,hotels,441,observed_consistent,فندق,Observed value; no automatic normalization.
subcategory_ar,قرية سياحية,,,hotels|resorts,51,observed_consistent,قرية سياحية,Observed value; no automatic normalization.
subcategory_ar,قهوة مختصة,,,tripoliCafes,2,observed_consistent,قهوة مختصة,Observed value; no automatic normalization.
subcategory_ar,مثلجات وآيس كريم,,,tripoliCafes,5,observed_consistent,مثلجات وآيس كريم,Observed value; no automatic normalization.
subcategory_ar,مجمع سياحي,,,resorts,1,observed_consistent,مجمع سياحي,Observed value; no automatic normalization.
subcategory_ar,مشروع فندقي,,,investment,395,observed_consistent,مشروع فندقي,Observed value; no automatic normalization.
subcategory_ar,مشروع منتجع سياحي,,,investment,119,observed_consistent,مشروع منتجع سياحي,Observed value; no automatic normalization.
subcategory_ar,مطعم,,,tripoliRestaurants,19,observed_consistent,مطعم,Observed value; no automatic normalization.
subcategory_ar,مطعم أسماك ومأكولات بحرية,,,tripoliRestaurants,2,observed_consistent,مطعم أسماك ومأكولات بحرية,Observed value; no automatic normalization.
subcategory_ar,مطعم دولي,,,tripoliRestaurants,14,observed_consistent,مطعم دولي,Observed value; no automatic normalization.
subcategory_ar,مطعم شعبي أو تقليدي,,,tripoliRestaurants,9,observed_consistent,مطعم شعبي أو تقليدي,Observed value; no automatic normalization.
subcategory_ar,مطعم ومقهى,,,tripoliCafes|tripoliRestaurants,9,observed_consistent,مطعم ومقهى,Observed value; no automatic normalization.
subcategory_ar,مقهى,,,tripoliCafes,193,observed_consistent,مقهى,Observed value; no automatic normalization.
subcategory_ar,مقهى شعبي أو تقليدي,,,tripoliCafes,6,observed_consistent,مقهى شعبي أو تقليدي,Observed value; no automatic normalization.
subcategory_ar,مقهى وحلويات,,,tripoliCafes,16,observed_consistent,مقهى وحلويات,Observed value; no automatic normalization.
subcategory_ar,مقهى وقهوة,,,tripoliCafes,38,observed_consistent,مقهى وقهوة,Observed value; no automatic normalization.
