change_id,layer_id,feature_id,change_type,field_name,old_value,new_value,reason,source_case_id,confidence,timestamp,reversible,notes
CHG-000001,hotels,LY-HOT-000048,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000136""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000002,hotels,LY-HOT-000057,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000139""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000003,hotels,LY-HOT-000059,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000141""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000004,hotels,LY-HOT-000066,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000147""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000005,hotels,LY-HOT-000073,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000156""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000006,hotels,LY-HOT-000076,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000161""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000007,hotels,LY-HOT-000077,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000165""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000008,hotels,LY-HOT-000082,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000173""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000009,hotels,LY-HOT-000083,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000174""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000010,hotels,LY-HOT-000084,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000175""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000011,hotels,LY-HOT-000085,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000177""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
