retired_id,canonical_id,layer_id,retirement_reason,retirement_date,redirect_status,source_record,notes
LY-HOT-000136,LY-HOT-000048,hotels,strict_true_duplicate,2026-08-06,active_alias,136,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000139,LY-HOT-000057,hotels,strict_true_duplicate,2026-08-06,active_alias,139,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000141,LY-HOT-000059,hotels,strict_true_duplicate,2026-08-06,active_alias,141,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000147,LY-HOT-000066,hotels,strict_true_duplicate,2026-08-06,active_alias,147,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000156,LY-HOT-000073,hotels,strict_true_duplicate,2026-08-06,active_alias,156,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000161,LY-HOT-000076,hotels,strict_true_duplicate,2026-08-06,active_alias,161,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000165,LY-HOT-000077,hotels,strict_true_duplicate,2026-08-06,active_alias,165,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000173,LY-HOT-000082,hotels,strict_true_duplicate,2026-08-06,active_alias,173,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000174,LY-HOT-000083,hotels,strict_true_duplicate,2026-08-06,active_alias,174,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000175,LY-HOT-000084,hotels,strict_true_duplicate,2026-08-06,active_alias,175,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000177,LY-HOT-000085,hotels,strict_true_duplicate,2026-08-06,active_alias,177,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000197,LY-HOT-000088,hotels,strict_true_duplicate,2026-08-06,active_alias,197,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000199,LY-HOT-000089,hotels,strict_true_duplicate,2026-08-06,active_alias,199,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000200,LY-HOT-000092,hotels,strict_true_duplicate,2026-08-06,active_alias,200,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000213,LY-HOT-000097,hotels,strict_true_duplicate,2026-08-06,active_alias,213,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000214,LY-HOT-000098,hotels,strict_true_duplicate,2026-08-06,active_alias,214,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000215,LY-HOT-000099,hotels,strict_true_duplicate,2026-08-06,active_alias,215,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000217,LY-HOT-000100,hotels,strict_true_duplicate,2026-08-06,active_alias,217,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000219,LY-HOT-000101,hotels,strict_true_duplicate,2026-08-06,active_alias,219,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000220,LY-HOT-000103,hotels,strict_true_duplicate,2026-08-06,active_alias,220,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000222,LY-HOT-000104,hotels,strict_true_duplicate,2026-08-06,active_alias,222,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000224,LY-HOT-000105,hotels,strict_true_duplicate,2026-08-06,active_alias,224,Full retired feature archived in canonical merged_record_archives.
LY-HOT-000225,LY-HOT-000107,hotels,strict_true_duplicate,2026-08-06,active_alias,225,Full retired feature archived in canonical merged_record_archives.
