feature_id,layer_id,source_file,source_sheet_or_section,source_record_identifier,match_type,match_score,matched_fields,conflicting_fields,fields_imported,automatic_import,manual_review_required,notes
LY-HOT-000001,hotels,data/incoming/hotels-team-update.kml,source_record_index,1,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000002,hotels,data/incoming/hotels-team-update.kml,source_record_index,2,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000003,hotels,data/incoming/hotels-team-update.kml,source_record_index,3,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000004,hotels,data/incoming/hotels-team-update.kml,source_record_index,4,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000005,hotels,data/incoming/hotels-team-update.kml,source_record_index,5,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000006,hotels,data/incoming/hotels-team-update.kml,source_record_index,6,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000007,hotels,data/incoming/hotels-team-update.kml,source_record_index,7,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000008,hotels,data/incoming/hotels-team-update.kml,source_record_index,8,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000009,hotels,data/incoming/hotels-team-update.kml,source_record_index,9,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000010,hotels,data/incoming/hotels-team-update.kml,source_record_index,10,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000011,hotels,data/incoming/hotels-team-update.kml,source_record_index,11,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000012,hotels,data/incoming/hotels-team-update.kml,source_record_index,12,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000013,hotels,data/incoming/hotels-team-update.kml,source_record_index,13,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000014,hotels,data/incoming/hotels-team-update.kml,source_record_index,14,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000015,hotels,data/incoming/hotels-team-update.kml,source_record_index,15,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000016,hotels,data/incoming/hotels-team-update.kml,source_record_index,16,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000017,hotels,data/incoming/hotels-team-update.kml,source_record_index,17,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000018,hotels,data/incoming/hotels-team-update.kml,source_record_index,18,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000019,hotels,data/incoming/hotels-team-update.kml,source_record_index,19,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000020,hotels,data/incoming/hotels-team-update.kml,source_record_index,20,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000021,hotels,data/incoming/hotels-team-update.kml,source_record_index,21,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000022,hotels,data/incoming/hotels-team-update.kml,source_record_index,22,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000023,hotels,data/incoming/hotels-team-update.kml,source_record_index,23,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000024,hotels,data/incoming/hotels-team-update.kml,source_record_index,24,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000025,hotels,data/incoming/hotels-team-update.kml,source_record_index,25,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000026,hotels,data/incoming/hotels-team-update.kml,source_record_index,26,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000027,hotels,data/incoming/hotels-team-update.kml,source_record_index,27,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000028,hotels,data/incoming/hotels-team-update.kml,source_record_index,28,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000029,hotels,data/incoming/hotels-team-update.kml,source_record_index,29,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000030,hotels,data/incoming/hotels-team-update.kml,source_record_index,30,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000031,hotels,data/incoming/hotels-team-update.kml,source_record_index,31,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000032,hotels,data/incoming/hotels-team-update.kml,source_record_index,32,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000033,hotels,data/incoming/hotels-team-update.kml,source_record_index,33,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000034,hotels,data/incoming/hotels-team-update.kml,source_record_index,34,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000035,hotels,data/incoming/hotels-team-update.kml,source_record_index,35,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000036,hotels,data/incoming/hotels-team-update.kml,source_record_index,36,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000037,hotels,data/incoming/hotels-team-update.kml,source_record_index,37,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000038,hotels,data/incoming/hotels-team-update.kml,source_record_index,38,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000039,hotels,data/incoming/hotels-team-update.kml,source_record_index,39,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000040,hotels,data/incoming/hotels-team-update.kml,source_record_index,40,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000041,hotels,data/incoming/hotels-team-update.kml,source_record_index,41,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000042,hotels,data/incoming/hotels-team-update.kml,source_record_index,42,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000043,hotels,data/incoming/hotels-team-update.kml,source_record_index,43,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000044,hotels,data/incoming/hotels-team-update.kml,source_record_index,44,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000045,hotels,data/incoming/hotels-team-update.kml,source_record_index,45,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000046,hotels,data/incoming/hotels-team-update.kml,source_record_index,46,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000047,hotels,data/incoming/hotels-team-update.kml,source_record_index,47,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000048,hotels,data/incoming/hotels-team-update.kml,source_record_index,48,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000049,hotels,data/incoming/hotels-team-update.kml,source_record_index,49,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000050,hotels,data/incoming/hotels-team-update.kml,source_record_index,50,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000051,hotels,data/incoming/hotels-team-update.kml,source_record_index,51,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000052,hotels,data/incoming/hotels-team-update.kml,source_record_index,52,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000053,hotels,data/incoming/hotels-team-update.kml,source_record_index,53,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
LY-HOT-000054,hotels,data/incoming/hotels-team-update.kml,source_record_index,54,exact_internal_match,1,source_file|source_record_index,,,false,false,Link confirmed only; no values imported because current record already derives from this source.
