feature_id,layer_id,source_status,operational_status_code,operational_status_ar,evidence_type,evidence_reference,confidence,institutional_confirmation_required,notes
LY-HOT-000001,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000002,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000003,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000004,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000005,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000006,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000007,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000008,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000009,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000010,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000011,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000012,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000013,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000014,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000015,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000016,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000017,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000018,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000019,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000020,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000021,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000022,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000023,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000024,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000025,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000026,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000027,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000028,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000029,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000030,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000031,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000032,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000033,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000034,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000035,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000036,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000037,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000038,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000039,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
LY-HOT-000040,hotels,active,unknown,غير محدد,derived_from_existing_fields,data/incoming/hotels-team-update.kml,high,true,Unknown does not mean closed.
