"file","name","first_index","duplicate_index","latitude","longitude"
"data/kml/developed/hotels-developed.kml","فندق الحمام السياحي","48","136","32.734657","12.393222"
"data/kml/developed/hotels-developed.kml","فندق الزهر","57","139","32.896046","13.179107"
"data/kml/developed/hotels-developed.kml","فندق السرايا","59","141","32.888588","13.170639"
"data/kml/developed/hotels-developed.kml","فندق الصناعية مصراتة","66","147","32.373493","15.090645"
"data/kml/developed/hotels-developed.kml","فندق الكرومة","73","156","31.864727","11.892359"
"data/kml/developed/hotels-developed.kml","فندق المدينة","76","161","32.753613","12.726944"
"data/kml/developed/hotels-developed.kml","فندق المشكاة","77","165","32.891571","13.179752"
"data/kml/developed/hotels-developed.kml","فندق الهنشيري","82","173","32.897038","13.177876"
"data/kml/developed/hotels-developed.kml","فندق الهيشة","83","174","31.453671","15.258722"
"data/kml/developed/hotels-developed.kml","فندق الواحات","84","175","32.887352","13.168939"
"data/kml/developed/hotels-developed.kml","فندق الياسمين","85","177","32.887569","13.1842"
"data/kml/developed/hotels-developed.kml","فندق بنت السيد","88","197","32.900146","13.175939"
"data/kml/developed/hotels-developed.kml","فندق بودلغوسة","89","199","32.894421","13.178583"
"data/kml/developed/hotels-developed.kml","فندق تابكت","92","200","32.373779","15.084174"
"data/kml/developed/hotels-developed.kml","فندق ريكسوس","97","213","32.859509","13.193808"
"data/kml/developed/hotels-developed.kml","فندق زليتن","98","214","32.475266","14.559985"
"data/kml/developed/hotels-developed.kml","فندق زميت","99","215","32.899632","13.175705"
"data/kml/developed/hotels-developed.kml","فندق زوارة","100","217","32.92326","12.099145"
"data/kml/developed/hotels-developed.kml","فندق سرايا الليبو","101","219","32.893341","13.179074"
"data/kml/developed/hotels-developed.kml","فندق سفاري 2","103","220","32.351223","15.04225"
"data/kml/developed/hotels-developed.kml","فندق شروق افريقيا","104","222","32.890488","13.182145"
"data/kml/developed/hotels-developed.kml","فندق ضيافة ونيس","105","224","32.674606","13.173898"
"data/kml/developed/hotels-developed.kml","فندق طليطلة","107","225","32.892212","13.203761"
