link_id,feature_id,layer_id,feature_name_ar,image_id,source_relative_path,current_role,file_exists,technical_quality,visual_match_status,destination_identity_status,duplicate_group_id,master_image_id,rights_status,publication_permission,review_status,recommended_action,replacement_image_id,manual_review_completed,notes
B1CUR-00001,WH-WORLD-C0002,world-heritage,موقع قورينا الأثري – شحات,IMG-78BA295438D199F4,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG,gallery,true,high,cannot_determine,cannot_determine,DUP-00408,IMG-78BA295438D199F4,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00002,WH-WORLD-C0002,world-heritage,موقع قورينا الأثري – شحات,IMG-99899EC2678C9DF4,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,gallery,true,high,cannot_determine,cannot_determine,DUP-00268,IMG-99899EC2678C9DF4,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00003,WH-WORLD-C0004,world-heritage,مدينة غدامس القديمة,IMG-7AAB1B4E10933E9D,assets/media/LIBYA/heritage/ghadames/published/main-site/ghadames-main-site-001.jpg,gallery,true,thumbnail_only,cannot_determine,cannot_determine,DUP-00927,IMG-74E23D6FCED45CCF,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00004,WH-WORLD-C0004,world-heritage,مدينة غدامس القديمة,IMG-34513B16D682E793,assets/media/LIBYA/heritage/ghadames/published/main-site/ghadames-main-site-002.jpg,gallery,true,thumbnail_only,cannot_determine,cannot_determine,DUP-00567,IMG-34513B16D682E793,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00005,WH-WORLD-C0004,world-heritage,مدينة غدامس القديمة,IMG-CE660462B54E52FF,assets/media/LIBYA/heritage/ghadames/published/main-site/ghadames-main-site-003.jpg,gallery,true,thumbnail_only,cannot_determine,cannot_determine,DUP-00843,IMG-CE660462B54E52FF,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00006,WH-WORLD-C0004,world-heritage,مدينة غدامس القديمة,IMG-B4F82929B52590FA,assets/media/LIBYA/heritage/ghadames/published/main-site/ghadames-main-site-004.jpg,gallery,true,thumbnail_only,cannot_determine,cannot_determine,DUP-00198,IMG-B4F82929B52590FA,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00007,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-B686098D30E75955,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-colonnade.jpg,gallery,true,thumbnail_only,cannot_determine,cannot_determine,DUP-01084,IMG-B686098D30E75955,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00008,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-D5179154990536A1,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-002.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00278,IMG-D5179154990536A1,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00009,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-57D62DF802AD2C65,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-003.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00133,IMG-57D62DF802AD2C65,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00010,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-D5179154990536A1,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-004.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00278,IMG-D5179154990536A1,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
