derivative_path,image_id,feature_id,declared_layer_id,runtime_geojson_path,feature_exists,visible_in_geojson,current_status,corrected_status,recommended_action,notes
assets/media/LIBYA/heritage/LY-AKA-000023/LY-AKA-000023__primary__01__2DAE0868EC75__web-medium.webp|assets/media/LIBYA/heritage/LY-AKA-000023/LY-AKA-000023__primary__01__2DAE0868EC75__web-large.webp|assets/media/LIBYA/heritage/LY-AKA-000023/LY-AKA-000023__primary__01__2DAE0868EC75__thumbnail.webp,IMG-E18F2DAE0868EC75,LY-AKA-000023,akakus,data/kml/final/akakus.kml,true,false,public,withheld_derivative,withhold_until_runtime_layer_exists,KML is not counted as runtime linkage.
assets/media/LIBYA/heritage/LY-AKA-000029/LY-AKA-000029__primary__01__DDC21CE84AE0__web-medium.webp|assets/media/LIBYA/heritage/LY-AKA-000029/LY-AKA-000029__primary__01__DDC21CE84AE0__web-large.webp|assets/media/LIBYA/heritage/LY-AKA-000029/LY-AKA-000029__primary__01__DDC21CE84AE0__thumbnail.webp,IMG-AC89DDC21CE84AE0,LY-AKA-000029,akakus,data/kml/final/akakus.kml,true,false,public,withheld_derivative,withhold_until_runtime_layer_exists,KML is not counted as runtime linkage.
assets/media/LIBYA/heritage/LY-AKA-000030/LY-AKA-000030__primary__01__E817DBAE2AD4__web-medium.webp|assets/media/LIBYA/heritage/LY-AKA-000030/LY-AKA-000030__primary__01__E817DBAE2AD4__web-large.webp|assets/media/LIBYA/heritage/LY-AKA-000030/LY-AKA-000030__primary__01__E817DBAE2AD4__thumbnail.webp,IMG-3A5DE817DBAE2AD4,LY-AKA-000030,akakus,data/kml/final/akakus.kml,true,false,public,withheld_derivative,withhold_until_runtime_layer_exists,KML is not counted as runtime linkage.
assets/media/LIBYA/heritage/LY-AKA-000032/LY-AKA-000032__primary__01__D51FCAA1AFD4__web-medium.webp|assets/media/LIBYA/heritage/LY-AKA-000032/LY-AKA-000032__primary__01__D51FCAA1AFD4__web-large.webp|assets/media/LIBYA/heritage/LY-AKA-000032/LY-AKA-000032__primary__01__D51FCAA1AFD4__thumbnail.webp,IMG-1B31D51FCAA1AFD4,LY-AKA-000032,akakus,data/kml/final/akakus.kml,true,false,public,withheld_derivative,withhold_until_runtime_layer_exists,KML is not counted as runtime linkage.
assets/media/LIBYA/heritage/LY-AKA-000037/LY-AKA-000037__primary__01__0D3A8231D05C__web-medium.webp|assets/media/LIBYA/heritage/LY-AKA-000037/LY-AKA-000037__primary__01__0D3A8231D05C__web-large.webp|assets/media/LIBYA/heritage/LY-AKA-000037/LY-AKA-000037__primary__01__0D3A8231D05C__thumbnail.webp,IMG-59BD0D3A8231D05C,LY-AKA-000037,akakus,data/kml/final/akakus.kml,true,false,public,withheld_derivative,withhold_until_runtime_layer_exists,KML is not counted as runtime linkage.
assets/media/LIBYA/heritage/LY-AKA-000049/LY-AKA-000049__primary__01__55A680866449__web-medium.webp|assets/media/LIBYA/heritage/LY-AKA-000049/LY-AKA-000049__primary__01__55A680866449__web-large.webp|assets/media/LIBYA/heritage/LY-AKA-000049/LY-AKA-000049__primary__01__55A680866449__thumbnail.webp,IMG-4CE555A680866449,LY-AKA-000049,akakus,data/kml/final/akakus.kml,true,false,public,withheld_derivative,withhold_until_runtime_layer_exists,KML is not counted as runtime linkage.
assets/media/LIBYA/heritage/LY-AKA-000106/LY-AKA-000106__primary__01__408CE9AABF02__web-medium.webp|assets/media/LIBYA/heritage/LY-AKA-000106/LY-AKA-000106__primary__01__408CE9AABF02__web-large.webp|assets/media/LIBYA/heritage/LY-AKA-000106/LY-AKA-000106__primary__01__408CE9AABF02__thumbnail.webp,IMG-EE7F408CE9AABF02,LY-AKA-000106,akakus,data/kml/final/akakus.kml,true,false,public,withheld_derivative,withhold_until_runtime_layer_exists,KML is not counted as runtime linkage.
assets/media/LIBYA/heritage/LY-AKA-000155/LY-AKA-000155__primary__01__8E93DA77F5A1__web-medium.webp|assets/media/LIBYA/heritage/LY-AKA-000155/LY-AKA-000155__primary__01__8E93DA77F5A1__web-large.webp|assets/media/LIBYA/heritage/LY-AKA-000155/LY-AKA-000155__primary__01__8E93DA77F5A1__thumbnail.webp,IMG-E9D68E93DA77F5A1,LY-AKA-000155,akakus,data/kml/final/akakus.kml,true,false,public,withheld_derivative,withhold_until_runtime_layer_exists,KML is not counted as runtime linkage.
assets/media/LIBYA/heritage/LY-AKA-000156/LY-AKA-000156__primary__01__EF0B47BCE1DA__web-medium.webp|assets/media/LIBYA/heritage/LY-AKA-000156/LY-AKA-000156__primary__01__EF0B47BCE1DA__web-large.webp|assets/media/LIBYA/heritage/LY-AKA-000156/LY-AKA-000156__primary__01__EF0B47BCE1DA__thumbnail.webp,IMG-3795EF0B47BCE1DA,LY-AKA-000156,akakus,data/kml/final/akakus.kml,true,false,public,withheld_derivative,withhold_until_runtime_layer_exists,KML is not counted as runtime linkage.
assets/media/LIBYA/old-cities/LY-TRI-000004/LY-TRI-000004__primary__01__AE5715AC1422__web-medium.webp|assets/media/LIBYA/old-cities/LY-TRI-000004/LY-TRI-000004__primary__01__AE5715AC1422__web-large.webp|assets/media/LIBYA/old-cities/LY-TRI-000004/LY-TRI-000004__primary__01__AE5715AC1422__thumbnail.webp,IMG-473CAE5715AC1422,LY-TRI-000004,old-tripoli,data/kml/final/old-tripoli.kml,true,false,public,withheld_derivative,withhold_until_runtime_layer_exists,KML is not counted as runtime linkage.
