feature_id,layer_id,name_ar,candidate_images,manually_reviewed_images,verified_correct_images,public_rights_images,approved_primary_images,approved_gallery_images,rights_unknown_images,deferred_images,rejected_images,coverage_status
WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,313,0,0,0,0,0,313,313,0,blocked_by_rights
WH-WORLD-C0001,world-heritage,موقع صبراتة الأثري,122,0,0,0,0,0,122,122,0,blocked_by_rights
WH-WORLD-C0002,world-heritage,موقع قورينا الأثري – شحات,111,0,0,0,0,0,111,111,0,blocked_by_rights
WH-WORLD-C0003,world-heritage,مواقع تادرارت أكاكوس الصخرية,11,0,0,0,0,0,11,11,0,blocked_by_rights
WH-WORLD-C0004,world-heritage,مدينة غدامس القديمة,79,0,0,0,0,0,79,79,0,blocked_by_rights
WH-MAIN-001-C0001,world-heritage,بوابة أويا,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0004,world-heritage,حمامات الصيد,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0005,world-heritage,منتزه لبدة السياحي,0,0,0,0,0,0,0,0,0,no_verified_images
WH-MAIN-001-C0004,world-heritage,استراحة تازويت,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0006,world-heritage,قوس تابريوس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0007,world-heritage,معبد العائلة السيفيرية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0008,world-heritage,قوس أنطونيوس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0009,world-heritage,الميدان القديم,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0010,world-heritage,حمامات غير مكتملة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0011,world-heritage,المعبد الشرقي,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0012,world-heritage,شرفة مبنى عام تطل على ميدان,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0013,world-heritage,شرفة خلفية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0014,world-heritage,نصب لميسر,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0015,world-heritage,المدرسة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0016,world-heritage,معبد دوكيومانوس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0017,world-heritage,معبد جوبيتير دوليكينوس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0018,world-heritage,الميناء,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0019,world-heritage,المعبد الفلافي,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0020,world-heritage,ساحة نيرون النيروتية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0021,world-heritage,مدخل الميناء في القرن الأول الميلادي,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0022,world-heritage,المنارة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0023,world-heritage,برج الاشارة,0,0,0,0,0,0,0,0,0,no_verified_images
