relationship_id,record_a_id,record_a_layer,record_a_name,record_b_id,record_b_layer,record_b_name,relationship_type,shared_image_allowed,primary_image_sharing_allowed,gallery_image_sharing_allowed,confidence,manual_review_required,notes
B1REL-00001,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00002,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-MAIN-001-C0001,world-heritage,بوابة أويا,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00003,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0004,world-heritage,حمامات الصيد,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00004,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0005,world-heritage,منتزه لبدة السياحي,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00005,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-MAIN-001-C0004,world-heritage,استراحة تازويت,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00006,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0006,world-heritage,قوس تابريوس,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00007,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0007,world-heritage,معبد العائلة السيفيرية,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00008,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0008,world-heritage,قوس أنطونيوس,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00009,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0009,world-heritage,الميدان القديم,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00010,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0010,world-heritage,حمامات غير مكتملة,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00011,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0011,world-heritage,المعبد الشرقي,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
