feature_id,image_id,gallery_order,gallery_role,master_image_id,visual_match_status,rights_status,publication_permission,manual_review_completed,notes
LY-AKA-000023,IMG-E18F2DAE0868EC75,1,primary,IMG-E18F2DAE0868EC75,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-AKA-000029,IMG-AC89DDC21CE84AE0,1,primary,IMG-AC89DDC21CE84AE0,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-AKA-000030,IMG-3A5DE817DBAE2AD4,1,primary,IMG-3A5DE817DBAE2AD4,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-AKA-000032,IMG-1B31D51FCAA1AFD4,1,primary,IMG-1B31D51FCAA1AFD4,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-AKA-000037,IMG-59BD0D3A8231D05C,1,primary,IMG-59BD0D3A8231D05C,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-AKA-000049,IMG-4CE555A680866449,1,primary,IMG-4CE555A680866449,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-AKA-000106,IMG-EE7F408CE9AABF02,1,primary,IMG-EE7F408CE9AABF02,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-AKA-000155,IMG-E9D68E93DA77F5A1,1,primary,IMG-E9D68E93DA77F5A1,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-AKA-000156,IMG-3795EF0B47BCE1DA,1,primary,IMG-3795EF0B47BCE1DA,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000004,IMG-473CAE5715AC1422,1,primary,IMG-473CAE5715AC1422,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000013,IMG-F337A4A0542B93A1,1,primary,IMG-F337A4A0542B93A1,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000017,IMG-73034B1252F2B117,1,primary,IMG-73034B1252F2B117,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000018,IMG-17E525E917C50B33,1,primary,IMG-17E525E917C50B33,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000019,IMG-1472B2C55FF38B98,1,primary,IMG-1472B2C55FF38B98,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000020,IMG-C367AA1928CC784B,1,primary,IMG-C367AA1928CC784B,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000022,IMG-24E06D53C1B0141C,1,primary,IMG-24E06D53C1B0141C,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000024,IMG-05B7819E57490E9C,1,primary,IMG-05B7819E57490E9C,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000025,IMG-7D42E7C8F411D21D,1,primary,IMG-7D42E7C8F411D21D,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000027,IMG-23577D9C80D1964B,1,primary,IMG-23577D9C80D1964B,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000038,IMG-9112643CDF6C2C46,1,primary,IMG-9112643CDF6C2C46,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000039,IMG-7B1A445EA919E31A,1,primary,IMG-7B1A445EA919E31A,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000040,IMG-D88416AA6A16B6C4,1,primary,IMG-D88416AA6A16B6C4,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000041,IMG-6FB7BFC4F9E0A52F,1,primary,IMG-6FB7BFC4F9E0A52F,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000043,IMG-081738BE08D0A139,1,primary,IMG-081738BE08D0A139,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
