image_id,feature_id,declared_layer_id,actual_layer_file,feature_exists,old_linkage_status,new_linkage_status,geojson_updated,notes
IMG-E18F2DAE0868EC75,LY-AKA-000023,akakus,data/kml/final/akakus.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-AC89DDC21CE84AE0,LY-AKA-000029,akakus,data/kml/final/akakus.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-3A5DE817DBAE2AD4,LY-AKA-000030,akakus,data/kml/final/akakus.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-1B31D51FCAA1AFD4,LY-AKA-000032,akakus,data/kml/final/akakus.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-59BD0D3A8231D05C,LY-AKA-000037,akakus,data/kml/final/akakus.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-4CE555A680866449,LY-AKA-000049,akakus,data/kml/final/akakus.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-EE7F408CE9AABF02,LY-AKA-000106,akakus,data/kml/final/akakus.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-E9D68E93DA77F5A1,LY-AKA-000155,akakus,data/kml/final/akakus.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-3795EF0B47BCE1DA,LY-AKA-000156,akakus,data/kml/final/akakus.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-473CAE5715AC1422,LY-TRI-000004,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-F337A4A0542B93A1,LY-TRI-000013,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-73034B1252F2B117,LY-TRI-000017,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-17E525E917C50B33,LY-TRI-000018,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-1472B2C55FF38B98,LY-TRI-000019,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-C367AA1928CC784B,LY-TRI-000020,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-24E06D53C1B0141C,LY-TRI-000022,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-05B7819E57490E9C,LY-TRI-000024,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-7D42E7C8F411D21D,LY-TRI-000025,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-23577D9C80D1964B,LY-TRI-000027,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
IMG-9112643CDF6C2C46,LY-TRI-000038,old-tripoli,data/kml/final/old-tripoli.kml,true,published,linked_provisional,true,Institutional approval is separate from individual visual verification.
