feature_id,layer_id,feature_name_ar,primary_image_id,master_image_id,source_relative_path,visual_match_status,technical_quality,rights_status,publication_permission,selection_score,selection_reason,decision_status,manual_review_completed,reviewer_name,review_date,notes
WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-WORLD-C0001,world-heritage,موقع صبراتة الأثري,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-WORLD-C0002,world-heritage,موقع قورينا الأثري – شحات,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-WORLD-C0003,world-heritage,مواقع تادرارت أكاكوس الصخرية,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-WORLD-C0004,world-heritage,مدينة غدامس القديمة,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-MAIN-001-C0001,world-heritage,بوابة أويا,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0004,world-heritage,حمامات الصيد,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0005,world-heritage,منتزه لبدة السياحي,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-MAIN-001-C0004,world-heritage,استراحة تازويت,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0006,world-heritage,قوس تابريوس,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0007,world-heritage,معبد العائلة السيفيرية,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0008,world-heritage,قوس أنطونيوس,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
