publication_id,image_id,master_image_id,feature_id,layer_id,role,sequence,original_source_relative_path,web_large_path,web_medium_path,thumbnail_path,original_width,original_height,web_large_width,web_large_height,web_medium_width,web_medium_height,thumbnail_width,thumbnail_height,format,quality_setting,orientation_corrected,metadata_removed,original_preserved,rights_status,publication_permission,source_credit,attribution_required,notes
B1-PUB-B1IMG-000043,IMG-E18F2DAE0868EC75,IMG-E18F2DAE0868EC75,LY-AKA-000023,akakus,primary,1,assets/images/akakus/akakus-LY-AKAKUS-00023-01.png,assets/media/LIBYA/heritage/LY-AKA-000023/LY-AKA-000023__primary__01__2DAE0868EC75__web-large.webp,assets/media/LIBYA/heritage/LY-AKA-000023/LY-AKA-000023__primary__01__2DAE0868EC75__web-medium.webp,assets/media/LIBYA/heritage/LY-AKA-000023/LY-AKA-000023__primary__01__2DAE0868EC75__thumbnail.webp,1920,1080,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000049,IMG-AC89DDC21CE84AE0,IMG-AC89DDC21CE84AE0,LY-AKA-000029,akakus,primary,1,assets/images/akakus/akakus-LY-AKAKUS-00029-01.png,assets/media/LIBYA/heritage/LY-AKA-000029/LY-AKA-000029__primary__01__DDC21CE84AE0__web-large.webp,assets/media/LIBYA/heritage/LY-AKA-000029/LY-AKA-000029__primary__01__DDC21CE84AE0__web-medium.webp,assets/media/LIBYA/heritage/LY-AKA-000029/LY-AKA-000029__primary__01__DDC21CE84AE0__thumbnail.webp,1067,709,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000051,IMG-3A5DE817DBAE2AD4,IMG-3A5DE817DBAE2AD4,LY-AKA-000030,akakus,primary,1,assets/images/akakus/akakus-LY-AKAKUS-00030-01.png,assets/media/LIBYA/heritage/LY-AKA-000030/LY-AKA-000030__primary__01__E817DBAE2AD4__web-large.webp,assets/media/LIBYA/heritage/LY-AKA-000030/LY-AKA-000030__primary__01__E817DBAE2AD4__web-medium.webp,assets/media/LIBYA/heritage/LY-AKA-000030/LY-AKA-000030__primary__01__E817DBAE2AD4__thumbnail.webp,2592,1944,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000055,IMG-1B31D51FCAA1AFD4,IMG-1B31D51FCAA1AFD4,LY-AKA-000032,akakus,primary,1,assets/images/akakus/akakus-LY-AKAKUS-00032-01.png,assets/media/LIBYA/heritage/LY-AKA-000032/LY-AKA-000032__primary__01__D51FCAA1AFD4__web-large.webp,assets/media/LIBYA/heritage/LY-AKA-000032/LY-AKA-000032__primary__01__D51FCAA1AFD4__web-medium.webp,assets/media/LIBYA/heritage/LY-AKA-000032/LY-AKA-000032__primary__01__D51FCAA1AFD4__thumbnail.webp,900,1351,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000061,IMG-59BD0D3A8231D05C,IMG-59BD0D3A8231D05C,LY-AKA-000037,akakus,primary,1,assets/images/akakus/akakus-LY-AKAKUS-00037-01.png,assets/media/LIBYA/heritage/LY-AKA-000037/LY-AKA-000037__primary__01__0D3A8231D05C__web-large.webp,assets/media/LIBYA/heritage/LY-AKA-000037/LY-AKA-000037__primary__01__0D3A8231D05C__web-medium.webp,assets/media/LIBYA/heritage/LY-AKA-000037/LY-AKA-000037__primary__01__0D3A8231D05C__thumbnail.webp,1920,1080,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000075,IMG-4CE555A680866449,IMG-4CE555A680866449,LY-AKA-000049,akakus,primary,1,assets/images/akakus/akakus-LY-AKAKUS-00049-01.png,assets/media/LIBYA/heritage/LY-AKA-000049/LY-AKA-000049__primary__01__55A680866449__web-large.webp,assets/media/LIBYA/heritage/LY-AKA-000049/LY-AKA-000049__primary__01__55A680866449__web-medium.webp,assets/media/LIBYA/heritage/LY-AKA-000049/LY-AKA-000049__primary__01__55A680866449__thumbnail.webp,1920,1080,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000077,IMG-EE7F408CE9AABF02,IMG-EE7F408CE9AABF02,LY-AKA-000106,akakus,primary,1,assets/images/akakus/akakus-LY-AKAKUS-00106-01.png,assets/media/LIBYA/heritage/LY-AKA-000106/LY-AKA-000106__primary__01__408CE9AABF02__web-large.webp,assets/media/LIBYA/heritage/LY-AKA-000106/LY-AKA-000106__primary__01__408CE9AABF02__web-medium.webp,assets/media/LIBYA/heritage/LY-AKA-000106/LY-AKA-000106__primary__01__408CE9AABF02__thumbnail.webp,1600,900,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000081,IMG-E9D68E93DA77F5A1,IMG-E9D68E93DA77F5A1,LY-AKA-000155,akakus,primary,1,assets/images/akakus/akakus-LY-AKAKUS-00155-01.png,assets/media/LIBYA/heritage/LY-AKA-000155/LY-AKA-000155__primary__01__8E93DA77F5A1__web-large.webp,assets/media/LIBYA/heritage/LY-AKA-000155/LY-AKA-000155__primary__01__8E93DA77F5A1__web-medium.webp,assets/media/LIBYA/heritage/LY-AKA-000155/LY-AKA-000155__primary__01__8E93DA77F5A1__thumbnail.webp,1280,720,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000083,IMG-3795EF0B47BCE1DA,IMG-3795EF0B47BCE1DA,LY-AKA-000156,akakus,primary,1,assets/images/akakus/akakus-LY-AKAKUS-00156-01.png,assets/media/LIBYA/heritage/LY-AKA-000156/LY-AKA-000156__primary__01__EF0B47BCE1DA__web-large.webp,assets/media/LIBYA/heritage/LY-AKA-000156/LY-AKA-000156__primary__01__EF0B47BCE1DA__web-medium.webp,assets/media/LIBYA/heritage/LY-AKA-000156/LY-AKA-000156__primary__01__EF0B47BCE1DA__thumbnail.webp,960,639,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000121,IMG-473CAE5715AC1422,IMG-473CAE5715AC1422,LY-TRI-000004,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00004-02.png,assets/media/LIBYA/old-cities/LY-TRI-000004/LY-TRI-000004__primary__01__AE5715AC1422__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000004/LY-TRI-000004__primary__01__AE5715AC1422__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000004/LY-TRI-000004__primary__01__AE5715AC1422__thumbnail.webp,736,917,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
