feature_id,layer_id,name_ar,name_en,city_ar,municipality_ar,heritage_status,unesco_component,geometry_type,publication_status,current_local_image_count,current_remote_image_count,current_primary_image,review_priority,notes
WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,Archaeological Site of Leptis Magna,,,,WH-MAIN-001,Point,published,55,0,,P1,Tracked GeoJSON feature.
WH-WORLD-C0001,world-heritage,موقع صبراتة الأثري,Archaeological Site of Sabratha,,,,,Point,published,4,0,,P1,Tracked GeoJSON feature.
WH-WORLD-C0002,world-heritage,موقع قورينا الأثري – شحات,Archaeological Site of Cyrene,,,,,Point,published,2,0,,P1,Tracked GeoJSON feature.
WH-WORLD-C0003,world-heritage,مواقع تادرارت أكاكوس الصخرية,,,,,WH-WORLD,Point,published,0,0,,P1,Tracked GeoJSON feature.
WH-WORLD-C0004,world-heritage,مدينة غدامس القديمة,Old Town of Ghadames,,,,,Point,published,4,0,,P1,Tracked GeoJSON feature.
WH-MAIN-001-C0001,world-heritage,بوابة أويا,Oya Gate,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0004,world-heritage,حمامات الصيد,Hunting Baths,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0005,world-heritage,منتزه لبدة السياحي,Leptis Tourist Park,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-MAIN-001-C0004,world-heritage,استراحة تازويت,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0006,world-heritage,قوس تابريوس,Arch of Tiberius,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0007,world-heritage,معبد العائلة السيفيرية,Temple of the Severan Family,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0008,world-heritage,قوس أنطونيوس,Arch of Antonius pius,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0009,world-heritage,الميدان القديم,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0010,world-heritage,حمامات غير مكتملة,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0011,world-heritage,المعبد الشرقي,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0012,world-heritage,شرفة مبنى عام تطل على ميدان,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0013,world-heritage,شرفة خلفية,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0014,world-heritage,نصب لميسر,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0015,world-heritage,المدرسة,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0016,world-heritage,معبد دوكيومانوس,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0017,world-heritage,معبد جوبيتير دوليكينوس,Temple of Jupiter Dolikinus,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0018,world-heritage,الميناء,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0019,world-heritage,المعبد الفلافي,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0020,world-heritage,ساحة نيرون النيروتية,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0021,world-heritage,مدخل الميناء في القرن الأول الميلادي,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0022,world-heritage,المنارة,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0023,world-heritage,برج الاشارة,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0024,world-heritage,معبد دوري,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0025,world-heritage,الحمامات الشرقية,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0026,world-heritage,المسرح,theatre of lebda,,,,WH-MAIN-001,Point,published,14,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0027,world-heritage,ضريح قصر شداد,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0001,world-heritage,قوس سبتيموس سفيروس,Arch of Septimus severus,,,,WH-MAIN-001,Point,published,5,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0028,world-heritage,قوس الإمبراطور تراجان,"___json[{""pathname"":""/LIBYA/Leptis Magna/Leptis Magna_photo/قوس الإمبراطور تراجان.jpg"",""rid"":20811883,""lid"":""4128517"",""fid"":24,""field"":""en_name"",""title"":""قوس الإمبراطور تراجان.jpg"",""ext"":""jpg"",""panorama"":false,""isDir",,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0029,world-heritage,ضريح زرجام,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-LY-001-0030,world-heritage,نيمافيوم,,,,,WH-MAIN-001,Point,published,0,0,,P2,Tracked GeoJSON feature.
