review_id,image_id,master_image_id,source_relative_path,feature_id,layer_id,feature_name_ar,visual_match_status,destination_identity_status,reviewer_decision,verified_role,technical_quality,duplicate_decision,rights_status,publication_permission,attribution_required,source_credit,rights_evidence,reviewer_name,review_date,decision_confidence,manual_review_completed,notes
B1-DEC-B1IMG-000001,IMG-999768C579ECBD3C,IMG-999768C579ECBD3C,assets/images/akakus/akakus-LY-AKAKUS-00001-01.png,LY-AKA-000001,akakus,قوس أفزجار,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000002,IMG-7015278AADE3E5BC,IMG-999768C579ECBD3C,assets/images/akakus/akakus-LY-AKAKUS-00001-01.webp,LY-AKA-000001,akakus,قوس أفزجار,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000003,IMG-4B4D9341ECD5EDD3,IMG-4B4D9341ECD5EDD3,assets/images/akakus/akakus-LY-AKAKUS-00002-01.png,LY-AKA-000002,akakus,قوس أفزجارن وقوس تنخليفة,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000004,IMG-8722BEAF969F24C9,IMG-4B4D9341ECD5EDD3,assets/images/akakus/akakus-LY-AKAKUS-00002-01.webp,LY-AKA-000002,akakus,قوس أفزجارن وقوس تنخليفة,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000005,IMG-A6502784F8A1D0D1,IMG-A6502784F8A1D0D1,assets/images/akakus/akakus-LY-AKAKUS-00003-01.png,LY-AKA-000003,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000006,IMG-ADDF595837F0B52C,IMG-A6502784F8A1D0D1,assets/images/akakus/akakus-LY-AKAKUS-00003-01.webp,LY-AKA-000003,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000007,IMG-41B72039E43F241A,IMG-41B72039E43F241A,assets/images/akakus/akakus-LY-AKAKUS-00004-01.png,LY-AKA-000004,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000008,IMG-7003156A53D8CECB,IMG-41B72039E43F241A,assets/images/akakus/akakus-LY-AKAKUS-00004-01.webp,LY-AKA-000004,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000009,IMG-3F13533602B0C8D8,IMG-3F13533602B0C8D8,assets/images/akakus/akakus-LY-AKAKUS-00005-01.png,LY-AKA-000005,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000010,IMG-91A14967F2386EE0,IMG-3F13533602B0C8D8,assets/images/akakus/akakus-LY-AKAKUS-00005-01.webp,LY-AKA-000005,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000011,IMG-0E5AC5BAD86E0B4D,,assets/images/akakus/akakus-LY-AKAKUS-00006-01.png,LY-AKA-000006,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000012,IMG-17B4551D566D1C56,,assets/images/akakus/akakus-LY-AKAKUS-00006-01.webp,LY-AKA-000006,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000013,IMG-BB1595B24E64B47B,IMG-BB1595B24E64B47B,assets/images/akakus/akakus-LY-AKAKUS-00007-01.png,LY-AKA-000007,akakus,قوس أويص,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000014,IMG-285EB2A8E7B3937D,IMG-BB1595B24E64B47B,assets/images/akakus/akakus-LY-AKAKUS-00007-01.webp,LY-AKA-000007,akakus,قوس أويص,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000015,IMG-868B54C6ED9FA176,IMG-868B54C6ED9FA176,assets/images/akakus/akakus-LY-AKAKUS-00008-01.png,LY-AKA-000008,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000016,IMG-26E6D2213C310A4B,IMG-868B54C6ED9FA176,assets/images/akakus/akakus-LY-AKAKUS-00008-01.webp,LY-AKA-000008,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000017,IMG-91DC81ED4F81115E,IMG-91DC81ED4F81115E,assets/images/akakus/akakus-LY-AKAKUS-00009-01.png,LY-AKA-000009,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000018,IMG-4CF039CFE632E1AE,IMG-91DC81ED4F81115E,assets/images/akakus/akakus-LY-AKAKUS-00009-01.webp,LY-AKA-000009,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000019,IMG-E99EF535E084184C,IMG-E99EF535E084184C,assets/images/akakus/akakus-LY-AKAKUS-00010-01.png,LY-AKA-000010,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000020,IMG-BB80552A00B503C7,IMG-E99EF535E084184C,assets/images/akakus/akakus-LY-AKAKUS-00010-01.webp,LY-AKA-000010,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000021,IMG-EA21F41CC2974D82,IMG-EA21F41CC2974D82,assets/images/akakus/akakus-LY-AKAKUS-00011-01.png,LY-AKA-000011,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000022,IMG-88FFA70148510022,IMG-EA21F41CC2974D82,assets/images/akakus/akakus-LY-AKAKUS-00011-01.webp,LY-AKA-000011,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000023,IMG-BE0CB3D8E6BD1A40,,assets/images/akakus/akakus-LY-AKAKUS-00012-01.png,LY-AKA-000012,akakus,قوس صخري 13,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000024,IMG-E2AFBD92CE0D195F,,assets/images/akakus/akakus-LY-AKAKUS-00012-01.webp,LY-AKA-000012,akakus,قوس صخري 13,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000025,IMG-CCB20E326BA10BCC,,assets/images/akakus/akakus-LY-AKAKUS-00013-01.png,LY-AKA-000013,akakus,قوس تين لوبو,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000026,IMG-D7304010670B6676,,assets/images/akakus/akakus-LY-AKAKUS-00013-01.webp,LY-AKA-000013,akakus,قوس تين لوبو,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000027,IMG-FE005B51516F9E12,,assets/images/akakus/akakus-LY-AKAKUS-00014-01.png,LY-AKA-000014,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000028,IMG-006344B4761C5D72,,assets/images/akakus/akakus-LY-AKAKUS-00014-01.webp,LY-AKA-000014,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000029,IMG-DA62F0242AEA478C,IMG-DA62F0242AEA478C,assets/images/akakus/akakus-LY-AKAKUS-00016-01.png,LY-AKA-000016,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000030,IMG-6CD0CFD90939A291,IMG-DA62F0242AEA478C,assets/images/akakus/akakus-LY-AKAKUS-00016-01.webp,LY-AKA-000016,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000031,IMG-42477E3B530F1B24,IMG-42477E3B530F1B24,assets/images/akakus/akakus-LY-AKAKUS-00017-01.png,LY-AKA-000017,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000032,IMG-98895A5245017107,IMG-42477E3B530F1B24,assets/images/akakus/akakus-LY-AKAKUS-00017-01.webp,LY-AKA-000017,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000033,IMG-C6FF601D9462EF6A,IMG-C6FF601D9462EF6A,assets/images/akakus/akakus-LY-AKAKUS-00018-01.png,LY-AKA-000018,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
