feature_id,name_ar,facility_type,city_ar,candidate_images,current_images,master_candidates,high_quality_candidates,acceptable_candidates,ambiguous_candidates,rights_known,rights_unknown,primary_candidate,gallery_candidates,manual_review_required,coverage_status
LY-HOT-000001,فندق كورنثيا,hotel,طرابلس - طريق الكورنيش,1,1,1,0,0,0,0,1,IMG-FA97329E9A9EC2B8,1,true,strong_candidate_coverage
LY-HOT-000002,فندق بينثابوليس,hotel,شارع العروبة,3,3,3,0,0,0,0,3,IMG-498ED4DC235794F3,3,true,strong_candidate_coverage
LY-HOT-000003,فندق جوهرة الواحة,hostel,غدامس,4,4,3,0,0,0,0,4,IMG-B802642D83C0705A,4,true,strong_candidate_coverage
LY-HOT-000004,فندق تبرس,hostel,كاباو,2,2,2,0,0,0,0,2,IMG-D290D5E752B7F249,2,true,strong_candidate_coverage
LY-HOT-000005,منتجع شحات السياحي,resort,شحات,3,3,3,1,2,0,0,3,IMG-02BE325FA2853805,3,true,strong_candidate_coverage
LY-HOT-000006,فندق المنارة,hotel,سوسة,3,3,3,0,3,0,0,3,IMG-C1C05F1A9D79A78A,3,true,strong_candidate_coverage
LY-HOT-000007,فندق لؤلؤة الخليج,hostel,"يقع الفندق في منطقة حيوية بالقرب من ""المنفذ/مفوز الحرية"" وبجوار مسجد مكة. البيضاء ليبيا شارع العروبة",2,2,2,0,0,0,0,2,IMG-7703B3398C7DF70E,2,true,strong_candidate_coverage
LY-HOT-000008,فندق التلال الوسيطة البيضاء,resort,شارع عمر المختار- الوسيطة,4,4,4,0,0,0,0,4,IMG-5EB2C1FAE325444C,4,true,strong_candidate_coverage
LY-HOT-000009,العنود للشقق الفندقية,hotel,البيضاء ليبيا شارع طه حسين,4,4,4,0,0,0,0,4,IMG-819089A3F33FB55C,4,true,strong_candidate_coverage
LY-HOT-000010,فندق الثريا,hotel,"مقابل الادارة العامة للادارة المصارف التجارية, Al-Baida, Libya,",5,5,5,0,0,0,0,5,IMG-55D8F93ACEA7906A,5,true,strong_candidate_coverage
LY-HOT-000011,منتجع الينابيع السياحي,resort,درنة ليبيا,2,2,2,2,0,0,0,2,IMG-65AB52B2F6CC48F7,2,true,strong_candidate_coverage
LY-HOT-000012,فندق برقة,hotel,"Al Bayda, Libya, https://ly.arabplaces.com/jabal-al- مقابل من مصرف تجاري الوطني ادارة المصارف, Al Bayda', Libya akhdar/63682",1,1,1,0,0,0,0,1,IMG-119A09082CDA83D7,1,true,strong_candidate_coverage
LY-HOT-000013,فندق الهديل,hostel,"شارع القهاوي خلف مصرف الجمهورية , Al Bayda', Libya",0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000014,فندق بن يدر,hotel,غدامس,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000015,فندق نجوم غدامس,hotel,غدامس,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000016,فندق باب الفتح,hostel,ليبيا غدامس,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000017,فندق فكتوريا,hotel,شارع الظهرة الكبيرة,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000018,فندق الطاووس,hostel,تاجوراء - الساحلي,4,4,4,0,0,0,0,4,IMG-70EDD68175987801,4,true,strong_candidate_coverage
LY-HOT-000019,فندق الودان,hotel,شارع سيدي عيسى - الظهرة,4,4,4,0,0,0,0,4,IMG-6A860408D3A66731,4,true,strong_candidate_coverage
LY-HOT-000020,فندق دار السلام ( المسيرة سابقا ),hotel,الشارع الرئيسي: طريق بنغازي (الطريق الساحلي).المدينة: طبرق، ليبيا.Map data ©2026 Terms200 m,4,4,3,0,0,0,0,4,IMG-872A6D479BE28E01,4,true,strong_candidate_coverage
LY-HOT-000021,فندق سان جورج,hotel,"مقابل ميناء طبرق البحري, Tobruk, Libya",4,4,4,0,0,0,0,4,IMG-3CBAB36D93017A02,4,true,strong_candidate_coverage
LY-HOT-000022,فندق الحسنين الكبير,hostel,الخمس,3,3,3,0,0,0,0,3,IMG-19C3F36AD1E19044,3,true,strong_candidate_coverage
LY-HOT-000023,بيوت الشباب,hostel,"شحات - خلف مديرية أمن شحات, Shahhat, Libya شحات",4,4,4,2,1,0,0,4,IMG-56A6440E48860943,4,true,strong_candidate_coverage
LY-HOT-000024,فندق بلاغراي السياحي ( التلال سابقا ),hostel,يقع على يمين الطريق المؤدي غرباً للادارة العامة لجامعة عمر المختاربجوار السكن الجامعي، البيضاء ليبيا,4,4,4,0,0,0,0,4,IMG-F5D8E40E6C1EA4DB,4,true,strong_candidate_coverage
LY-HOT-000025,منتجع ايميليا,resort,يقع المنتجع مباشرة على شاطئ بحر مدينة درنة بالقرب من ملعب درنة البلدي.درنة,5,5,4,0,0,0,0,5,IMG-E4FA3718C8C00988,5,true,strong_candidate_coverage
LY-HOT-000026,منتجع وموتيل الأمان,resort,طريق الأبرق شحات,4,4,3,0,0,0,0,4,IMG-2B0470543FB41D5D,4,true,strong_candidate_coverage
LY-HOT-000027,بيوت شباب غدامس,review_required,يقع البيت في مدينة غدامس بالقرب من المثلث الحدودي المشترك بين ليبيا وتونس والجزائر,1,1,1,0,0,0,0,1,IMG-76159BDC315DE906,1,true,strong_candidate_coverage
LY-HOT-000028,نالوت غدامس فندق باب العز,hotel,يقع الفندق في شارع الزفزاف، نالوت، بالقرب من محطة البنزين,3,3,3,0,0,0,0,3,IMG-EEC9D5AE902233A5,3,true,strong_candidate_coverage
LY-HOT-000029,فندق أبراج الوسطى,hotel,"الشارع الرئيسي مقابل محطة الاقمار الصناعية, Sert, Libya",2,2,2,0,0,0,0,2,IMG-0F373BA333C2EBDE,2,true,strong_candidate_coverage
