link_id,feature_id,layer_id,feature_name_ar,facility_type,image_id,source_relative_path,current_role,file_exists,image_readable,technical_quality,master_image_id,duplicate_group_id,match_basis,visual_review_status,rights_status,recommended_action,manual_review_required,notes
B2-LINK-00001,LY-HOT-000001,hotels,فندق كورنثيا,hotel,IMG-FA97329E9A9EC2B8,assets/images/hotels/hotels-LY-HOTELS-00001-05.webp,gallery,true,true,thumbnail_only,IMG-2C6E751270A91DAA,DUP-01096,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00002,LY-HOT-000002,hotels,فندق بينثابوليس,hotel,IMG-498ED4DC235794F3,assets/images/hotels/hotels-LY-HOTELS-00002-02.webp,gallery,true,true,thumbnail_only,IMG-8A7CCCA2B7E60737,DUP-00134,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00003,LY-HOT-000002,hotels,فندق بينثابوليس,hotel,IMG-14000C12BAEA2328,assets/images/hotels/hotels-LY-HOTELS-00002-03.webp,gallery,true,true,thumbnail_only,IMG-0E7971CD592A3769,DUP-00080,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00004,LY-HOT-000002,hotels,فندق بينثابوليس,hotel,IMG-6475D28069ABC0C9,assets/images/hotels/hotels-LY-HOTELS-00002-04.webp,gallery,true,true,thumbnail_only,IMG-132F24BC9AA40564,DUP-01310,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00005,LY-HOT-000003,hotels,فندق جوهرة الواحة,hostel,IMG-B802642D83C0705A,assets/images/hotels/hotels-LY-HOTELS-00003-01.webp,gallery,true,true,thumbnail_only,IMG-7109F2C92F3524CC,DUP-00464,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00006,LY-HOT-000003,hotels,فندق جوهرة الواحة,hostel,IMG-FC1ADD1B64A7B49D,assets/images/hotels/hotels-LY-HOTELS-00003-02.webp,gallery,true,true,thumbnail_only,IMG-4067243311199310,DUP-01101,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00007,LY-HOT-000003,hotels,فندق جوهرة الواحة,hostel,IMG-3E72908363D437BE,assets/images/hotels/hotels-LY-HOTELS-00003-03.webp,gallery,true,true,thumbnail_only,,,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00008,LY-HOT-000003,hotels,فندق جوهرة الواحة,hostel,IMG-6A80A1649E885F5F,assets/images/hotels/hotels-LY-HOTELS-00003-04.webp,gallery,true,true,thumbnail_only,IMG-A5742B2F99C4C31D,DUP-00769,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00009,LY-HOT-000004,hotels,فندق تبرس,hostel,IMG-D290D5E752B7F249,assets/images/hotels/hotels-LY-HOTELS-00004-01.webp,gallery,true,true,thumbnail_only,IMG-1F1F62E31C92DC9F,DUP-00501,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00010,LY-HOT-000004,hotels,فندق تبرس,hostel,IMG-46F49E7C221A033F,assets/images/hotels/hotels-LY-HOTELS-00004-02.webp,gallery,true,true,thumbnail_only,IMG-519E9786E63972DB,DUP-00778,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
