feature_id,image_id,gallery_order,gallery_role,master_image_id,visual_match_status,rights_status,publication_permission,manual_review_completed,notes
LY-HOT-000001,IMG-FA97329E9A9EC2B8,1,candidate,IMG-2C6E751270A91DAA,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000002,IMG-498ED4DC235794F3,1,candidate,IMG-8A7CCCA2B7E60737,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000002,IMG-14000C12BAEA2328,1,candidate,IMG-0E7971CD592A3769,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000002,IMG-6475D28069ABC0C9,1,candidate,IMG-132F24BC9AA40564,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000003,IMG-B802642D83C0705A,1,candidate,IMG-7109F2C92F3524CC,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000003,IMG-FC1ADD1B64A7B49D,1,candidate,IMG-4067243311199310,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000003,IMG-3E72908363D437BE,1,candidate,,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000003,IMG-6A80A1649E885F5F,1,candidate,IMG-A5742B2F99C4C31D,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000004,IMG-D290D5E752B7F249,1,candidate,IMG-1F1F62E31C92DC9F,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000004,IMG-46F49E7C221A033F,1,candidate,IMG-519E9786E63972DB,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000005,IMG-02BE325FA2853805,1,candidate,IMG-5E57E1652E9C5361,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000005,IMG-40B37878823F011F,1,candidate,IMG-40B37878823F011F,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000005,IMG-230B3A6E36310AD5,1,candidate,IMG-8DC747601EC6069C,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000006,IMG-C1C05F1A9D79A78A,1,candidate,IMG-6E813051ABAE8EF8,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000006,IMG-689BA7BAF801552C,1,candidate,IMG-5B7142A4EFCBA2D4,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000006,IMG-11FA0A8CD5EB2920,1,candidate,IMG-C339038E88B2C8FF,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000007,IMG-7703B3398C7DF70E,1,candidate,IMG-7FB51DD7960436EF,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000007,IMG-732E1994D7D4EF4B,1,candidate,IMG-0DF8A715A9B5BE0F,not_individually_verified,unknown,pending_institutional_approval,false,
