candidate_id,image_id,master_image_id,source_relative_path,feature_id,layer_id,feature_name_ar,facility_type,candidate_match_type,candidate_match_score,existing_link,exact_feature_id_match,exact_name_match,folder_match,city_match,gps_match,coordinate_distance_meters,technical_quality,duplicate_group_id,rights_status,manual_review_required,target_group,notes
B2-CAN-00001,IMG-FA97329E9A9EC2B8,IMG-2C6E751270A91DAA,assets/images/hotels/hotels-LY-HOTELS-00001-05.webp,LY-HOT-000001,hotels,فندق كورنثيا,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-01096,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00002,IMG-498ED4DC235794F3,IMG-8A7CCCA2B7E60737,assets/images/hotels/hotels-LY-HOTELS-00002-02.webp,LY-HOT-000002,hotels,فندق بينثابوليس,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00134,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00003,IMG-14000C12BAEA2328,IMG-0E7971CD592A3769,assets/images/hotels/hotels-LY-HOTELS-00002-03.webp,LY-HOT-000002,hotels,فندق بينثابوليس,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00080,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00004,IMG-6475D28069ABC0C9,IMG-132F24BC9AA40564,assets/images/hotels/hotels-LY-HOTELS-00002-04.webp,LY-HOT-000002,hotels,فندق بينثابوليس,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-01310,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00005,IMG-B802642D83C0705A,IMG-7109F2C92F3524CC,assets/images/hotels/hotels-LY-HOTELS-00003-01.webp,LY-HOT-000003,hotels,فندق جوهرة الواحة,hostel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00464,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00006,IMG-FC1ADD1B64A7B49D,IMG-4067243311199310,assets/images/hotels/hotels-LY-HOTELS-00003-02.webp,LY-HOT-000003,hotels,فندق جوهرة الواحة,hostel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-01101,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00007,IMG-3E72908363D437BE,,assets/images/hotels/hotels-LY-HOTELS-00003-03.webp,LY-HOT-000003,hotels,فندق جوهرة الواحة,hostel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00008,IMG-6A80A1649E885F5F,IMG-A5742B2F99C4C31D,assets/images/hotels/hotels-LY-HOTELS-00003-04.webp,LY-HOT-000003,hotels,فندق جوهرة الواحة,hostel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00769,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00009,IMG-D290D5E752B7F249,IMG-1F1F62E31C92DC9F,assets/images/hotels/hotels-LY-HOTELS-00004-01.webp,LY-HOT-000004,hotels,فندق تبرس,hostel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00501,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00010,IMG-46F49E7C221A033F,IMG-519E9786E63972DB,assets/images/hotels/hotels-LY-HOTELS-00004-02.webp,LY-HOT-000004,hotels,فندق تبرس,hostel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00778,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
