feature_id,layer_id,feature_name_ar,facility_type,candidate_image_id,master_image_id,technical_quality,automatic_match_basis,visual_review_status,rights_status,institutional_approval_status,candidate_score,candidate_reason,manual_review_required,notes
LY-HOT-000001,hotels,فندق كورنثيا,hotel,IMG-FA97329E9A9EC2B8,IMG-2C6E751270A91DAA,thumbnail_only,existing_link,not_individually_verified,unknown,not_approved_batch_2,30,Existing local linkage; candidate only.,true,
LY-HOT-000002,hotels,فندق بينثابوليس,hotel,IMG-498ED4DC235794F3,IMG-8A7CCCA2B7E60737,thumbnail_only,existing_link,not_individually_verified,unknown,not_approved_batch_2,30,Existing local linkage; candidate only.,true,
LY-HOT-000003,hotels,فندق جوهرة الواحة,hostel,IMG-B802642D83C0705A,IMG-7109F2C92F3524CC,thumbnail_only,existing_link,not_individually_verified,unknown,not_approved_batch_2,30,Existing local linkage; candidate only.,true,
LY-HOT-000004,hotels,فندق تبرس,hostel,IMG-D290D5E752B7F249,IMG-1F1F62E31C92DC9F,thumbnail_only,existing_link,not_individually_verified,unknown,not_approved_batch_2,30,Existing local linkage; candidate only.,true,
LY-HOT-000005,hotels,منتجع شحات السياحي,resort,IMG-02BE325FA2853805,IMG-5E57E1652E9C5361,acceptable,existing_link,not_individually_verified,unknown,not_approved_batch_2,30,Existing local linkage; candidate only.,true,
LY-HOT-000006,hotels,فندق المنارة,hotel,IMG-C1C05F1A9D79A78A,IMG-6E813051ABAE8EF8,acceptable,existing_link,not_individually_verified,unknown,not_approved_batch_2,30,Existing local linkage; candidate only.,true,
LY-HOT-000007,hotels,فندق لؤلؤة الخليج,hostel,IMG-7703B3398C7DF70E,IMG-7FB51DD7960436EF,thumbnail_only,existing_link,not_individually_verified,unknown,not_approved_batch_2,30,Existing local linkage; candidate only.,true,
LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,resort,IMG-5EB2C1FAE325444C,IMG-12962076A3275132,thumbnail_only,existing_link,not_individually_verified,unknown,not_approved_batch_2,30,Existing local linkage; candidate only.,true,
LY-HOT-000009,hotels,العنود للشقق الفندقية,hotel,IMG-819089A3F33FB55C,IMG-E8A0ACB419E446F1,thumbnail_only,existing_link,not_individually_verified,unknown,not_approved_batch_2,30,Existing local linkage; candidate only.,true,
LY-HOT-000010,hotels,فندق الثريا,hotel,IMG-55D8F93ACEA7906A,IMG-C703BA3F8EA4B26E,thumbnail_only,existing_link,not_individually_verified,unknown,not_approved_batch_2,30,Existing local linkage; candidate only.,true,
LY-HOT-000011,hotels,منتجع الينابيع السياحي,resort,IMG-65AB52B2F6CC48F7,IMG-84252D7DCE95F6A0,high,existing_link,not_individually_verified,unknown,not_approved_batch_2,30,Existing local linkage; candidate only.,true,
