feature_id,layer_id,name_ar,review_priority,candidate_count,recommended_action,notes
LY-HOT-000001,hotels,فندق كورنثيا,PRIORITY_A,1,manual_visual_review,
LY-HOT-000002,hotels,فندق بينثابوليس,PRIORITY_A,3,manual_visual_review,
LY-HOT-000003,hotels,فندق جوهرة الواحة,PRIORITY_A,4,manual_visual_review,
LY-HOT-000004,hotels,فندق تبرس,PRIORITY_A,2,manual_visual_review,
LY-HOT-000005,hotels,منتجع شحات السياحي,PRIORITY_A,3,manual_visual_review,
LY-HOT-000006,hotels,فندق المنارة,PRIORITY_A,3,manual_visual_review,
LY-HOT-000007,hotels,فندق لؤلؤة الخليج,PRIORITY_A,2,manual_visual_review,
LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,PRIORITY_A,4,manual_visual_review,
LY-HOT-000009,hotels,العنود للشقق الفندقية,PRIORITY_A,4,manual_visual_review,
LY-HOT-000010,hotels,فندق الثريا,PRIORITY_A,5,manual_visual_review,
LY-HOT-000011,hotels,منتجع الينابيع السياحي,PRIORITY_A,2,manual_visual_review,
LY-HOT-000012,hotels,فندق برقة,PRIORITY_A,1,manual_visual_review,
LY-HOT-000013,hotels,فندق الهديل,PRIORITY_C,0,no_local_candidate,
LY-HOT-000014,hotels,فندق بن يدر,PRIORITY_C,0,no_local_candidate,
LY-HOT-000015,hotels,فندق نجوم غدامس,PRIORITY_C,0,no_local_candidate,
LY-HOT-000016,hotels,فندق باب الفتح,PRIORITY_C,0,no_local_candidate,
LY-HOT-000017,hotels,فندق فكتوريا,PRIORITY_C,0,no_local_candidate,
LY-HOT-000018,hotels,فندق الطاووس,PRIORITY_A,4,manual_visual_review,
LY-HOT-000019,hotels,فندق الودان,PRIORITY_A,4,manual_visual_review,
LY-HOT-000020,hotels,فندق دار السلام ( المسيرة سابقا ),PRIORITY_A,4,manual_visual_review,
LY-HOT-000021,hotels,فندق سان جورج,PRIORITY_A,4,manual_visual_review,
LY-HOT-000022,hotels,فندق الحسنين الكبير,PRIORITY_A,3,manual_visual_review,
LY-HOT-000023,hotels,بيوت الشباب,PRIORITY_A,4,manual_visual_review,
LY-HOT-000024,hotels,فندق بلاغراي السياحي ( التلال سابقا ),PRIORITY_A,4,manual_visual_review,
LY-HOT-000025,hotels,منتجع ايميليا,PRIORITY_A,5,manual_visual_review,
LY-HOT-000026,hotels,منتجع وموتيل الأمان,PRIORITY_A,4,manual_visual_review,
LY-HOT-000027,hotels,بيوت شباب غدامس,PRIORITY_A,1,manual_visual_review,
LY-HOT-000028,hotels,نالوت غدامس فندق باب العز,PRIORITY_A,3,manual_visual_review,
LY-HOT-000029,hotels,فندق أبراج الوسطى,PRIORITY_A,2,manual_visual_review,
LY-HOT-000030,hotels,فندق طيبة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000031,hotels,فندق قصر الفيروز,PRIORITY_A,6,manual_visual_review,
LY-HOT-000032,hotels,Royal Gardens Hotels,PRIORITY_A,3,manual_visual_review,
LY-HOT-000033,hotels,فندق ابونواس,PRIORITY_C,0,no_local_candidate,
LY-HOT-000034,hotels,فندق احواص,PRIORITY_A,1,manual_visual_review,
LY-HOT-000035,hotels,فندق الانوار,PRIORITY_A,4,manual_visual_review,
LY-HOT-000036,hotels,فندق الأخوة,PRIORITY_A,4,manual_visual_review,
LY-HOT-000037,hotels,فندق الأصالة,PRIORITY_A,3,manual_visual_review,
LY-HOT-000038,hotels,فندق الأصيل,PRIORITY_A,5,manual_visual_review,
LY-HOT-000039,hotels,فندق الأندلس,PRIORITY_A,3,manual_visual_review,
LY-HOT-000040,hotels,فندق البركة,PRIORITY_A,4,manual_visual_review,
LY-HOT-000041,hotels,فندق البستان,PRIORITY_A,5,manual_visual_review,
LY-HOT-000042,hotels,التاج للشقق الفندقية,PRIORITY_A,2,manual_visual_review,
LY-HOT-000043,hotels,(فندق الطُبجية )فندق التاجوري,PRIORITY_C,0,no_local_candidate,
LY-HOT-000044,hotels,فندق الجبل,PRIORITY_C,0,no_local_candidate,
LY-HOT-000045,hotels,فندق جوهرة صبراتة السياحي,PRIORITY_A,2,manual_visual_review,
LY-HOT-000046,hotels,فندق الجوهرة الزاوية,PRIORITY_A,1,manual_visual_review,
LY-HOT-000047,hotels,يعرف باسم (فندق الوادي ) فندق الحديقة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000048,hotels,فندق الحمام السياحي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000049,hotels,فندق الخان الطرابلسي,PRIORITY_A,5,manual_visual_review,
LY-HOT-000050,hotels,فندق الخليج,PRIORITY_A,3,manual_visual_review,
LY-HOT-000051,hotels,فندق الدبلوماسي,PRIORITY_A,2,manual_visual_review,
LY-HOT-000052,hotels,فندق الدوحة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000053,hotels,فندق الديار,PRIORITY_A,3,manual_visual_review,
LY-HOT-000054,hotels,فندق الرابطة,PRIORITY_A,4,manual_visual_review,
LY-HOT-000055,hotels,فندق الرفيع,PRIORITY_A,1,manual_visual_review,
LY-HOT-000056,hotels,فندق الريان,PRIORITY_A,6,manual_visual_review,
LY-HOT-000057,hotels,فندق الزهر,PRIORITY_A,5,manual_visual_review,
LY-HOT-000058,hotels,فندق الزيتونة,PRIORITY_A,4,manual_visual_review,
LY-HOT-000059,hotels,فندق السرايا,PRIORITY_A,4,manual_visual_review,
LY-HOT-000060,hotels,فندق زوارة,PRIORITY_A,3,manual_visual_review,
LY-HOT-000061,hotels,فندق السندباد,PRIORITY_A,1,manual_visual_review,
LY-HOT-000062,hotels,فندق الشجرة,PRIORITY_A,2,manual_visual_review,
LY-HOT-000063,hotels,فندق الشرق,PRIORITY_C,0,no_local_candidate,
LY-HOT-000064,hotels,فندق الشمس,PRIORITY_A,4,manual_visual_review,
LY-HOT-000065,hotels,فندق الصفوة,PRIORITY_A,4,manual_visual_review,
LY-HOT-000066,hotels,فندق الصناعية مصراتة,PRIORITY_A,5,manual_visual_review,
LY-HOT-000067,hotels,فندق الصولجان,PRIORITY_A,2,manual_visual_review,
LY-HOT-000068,hotels,فندق العاصمة,PRIORITY_A,3,manual_visual_review,
LY-HOT-000069,hotels,فندق الغدامسية,PRIORITY_C,0,no_local_candidate,
LY-HOT-000070,hotels,فندق القرقني,PRIORITY_C,0,no_local_candidate,
LY-HOT-000071,hotels,فندق القوس,PRIORITY_A,5,manual_visual_review,
LY-HOT-000072,hotels,فندق الكبير,PRIORITY_A,5,manual_visual_review,
LY-HOT-000073,hotels,فندق الكرومة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000074,hotels,فندق الماسة,PRIORITY_A,5,manual_visual_review,
LY-HOT-000075,hotels,فندق المتوسط,PRIORITY_A,5,manual_visual_review,
LY-HOT-000076,hotels,فندق المدينة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000077,hotels,فندق المشكاة,PRIORITY_A,3,manual_visual_review,
LY-HOT-000078,hotels,فندق المنامة,PRIORITY_A,3,manual_visual_review,
LY-HOT-000079,hotels,فندق النخلة,PRIORITY_A,5,manual_visual_review,
LY-HOT-000080,hotels,فندق النقازة الخمس,PRIORITY_A,5,manual_visual_review,
LY-HOT-000081,hotels,فندق النهر,PRIORITY_A,3,manual_visual_review,
LY-HOT-000082,hotels,فندق الهنشيري,PRIORITY_C,0,no_local_candidate,
LY-HOT-000083,hotels,فندق الهيشة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000084,hotels,فندق الواحات,PRIORITY_A,1,manual_visual_review,
LY-HOT-000085,hotels,فندق الياسمين,PRIORITY_A,3,manual_visual_review,
LY-HOT-000086,hotels,فندق أجنحة قرطاج,PRIORITY_A,5,manual_visual_review,
LY-HOT-000087,hotels,فندق أفريقيا,PRIORITY_C,0,no_local_candidate,
LY-HOT-000088,hotels,فندق بنت السيد,PRIORITY_A,1,manual_visual_review,
LY-HOT-000089,hotels,فندق بودلغوسة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000090,hotels,فندق بيت الأمان,PRIORITY_A,4,manual_visual_review,
LY-HOT-000091,hotels,فندق بيت الشرق,PRIORITY_A,3,manual_visual_review,
LY-HOT-000092,hotels,فندق تابكت,PRIORITY_C,0,no_local_candidate,
LY-HOT-000093,hotels,لانكاستر برج الحياة ( ماريوت سابقا),PRIORITY_A,5,manual_visual_review,
LY-HOT-000094,hotels,فندق دار غدامس,PRIORITY_A,5,manual_visual_review,
LY-HOT-000095,hotels,فندق ديار الهناء,PRIORITY_A,4,manual_visual_review,
LY-HOT-000096,hotels,فندق ليبوس,PRIORITY_A,3,manual_visual_review,
LY-HOT-000097,hotels,فندق ريكسوس,PRIORITY_A,5,manual_visual_review,
LY-HOT-000098,hotels,فندق زليتن,PRIORITY_A,3,manual_visual_review,
LY-HOT-000099,hotels,فندق زميت,PRIORITY_A,10,manual_visual_review,
LY-HOT-000100,hotels,فندق زوارة,PRIORITY_A,4,manual_visual_review,
LY-HOT-000101,hotels,فندق سرايا الليبو,PRIORITY_C,0,no_local_candidate,
LY-HOT-000102,hotels,فندق سفاري,PRIORITY_A,5,manual_visual_review,
LY-HOT-000103,hotels,فندق سفاري 2,PRIORITY_A,3,manual_visual_review,
LY-HOT-000104,hotels,فندق شروق افريقيا,PRIORITY_C,0,no_local_candidate,
LY-HOT-000105,hotels,فندق ضيافة ونيس,PRIORITY_A,6,manual_visual_review,
LY-HOT-000106,hotels,فندق طرابلس الدولي,PRIORITY_A,6,manual_visual_review,
LY-HOT-000107,hotels,فندق طليطلة,PRIORITY_A,4,manual_visual_review,
LY-HOT-000108,hotels,فندق طيبة,PRIORITY_A,3,manual_visual_review,
LY-HOT-000109,hotels,فندق عمير,PRIORITY_A,3,manual_visual_review,
LY-HOT-000110,hotels,فندق عين الفرس,PRIORITY_A,2,manual_visual_review,
LY-HOT-000111,hotels,فندق غابة الكشافة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000112,hotels,فندق غريان السياحي,PRIORITY_A,5,manual_visual_review,
LY-HOT-000113,hotels,فندق قرطاج,PRIORITY_A,5,manual_visual_review,
LY-HOT-000114,hotels,فندق قصر الظهرة,PRIORITY_A,6,manual_visual_review,
LY-HOT-000115,hotels,فندق قصر الفيروز,PRIORITY_A,5,manual_visual_review,
