image_id,feature_ids,classification,notes
IMG-033D22EBF511990B,LY-HOT-000049|LY-HOT-000137,ambiguous,Requires manual facility identity review.
IMG-046EDC55FFD15293,LY-HOT-000113|LY-HOT-000119,ambiguous,Requires manual facility identity review.
IMG-066297BAC6AAE169,LY-HOT-000020|LY-HOT-000164,ambiguous,Requires manual facility identity review.
IMG-110FEF464D2C395F,LY-HOT-000031|LY-HOT-000115,ambiguous,Requires manual facility identity review.
IMG-253F76E0FE94EBF3,LY-HOT-000020|LY-HOT-000164,ambiguous,Requires manual facility identity review.
IMG-384CF3E5D620D13B,LY-HOT-000187|LY-HOT-000190,ambiguous,Requires manual facility identity review.
IMG-4F0A3CE02FA1B883,LY-HOT-000075|LY-HOT-000158,ambiguous,Requires manual facility identity review.
IMG-5875E6DDBB7440C2,LY-HOT-000345|LY-HOT-000346,ambiguous,Requires manual facility identity review.
IMG-590675C1DE7ECB98,LY-HOT-000031|LY-HOT-000115,ambiguous,Requires manual facility identity review.
IMG-5F0B87CC56980023,LY-HOT-000314|LY-HOT-000446,ambiguous,Requires manual facility identity review.
IMG-62E2C2869EB72051,LY-HOT-000020|LY-HOT-000164,ambiguous,Requires manual facility identity review.
IMG-729EB4B25B240200,LY-HOT-000295|LY-HOT-000424,ambiguous,Requires manual facility identity review.
IMG-792FD5E40F6FFFF5,LY-HOT-000031|LY-HOT-000115,ambiguous,Requires manual facility identity review.
IMG-819089A3F33FB55C,LY-HOT-000009|LY-HOT-000357,ambiguous,Requires manual facility identity review.
IMG-8302B3A52AE6F475,LY-HOT-000009|LY-HOT-000357,ambiguous,Requires manual facility identity review.
IMG-872A6D479BE28E01,LY-HOT-000020|LY-HOT-000164,ambiguous,Requires manual facility identity review.
IMG-88F9E3D4EBB82F29,LY-HOT-000031|LY-HOT-000115,ambiguous,Requires manual facility identity review.
IMG-9067216E5A3805E8,LY-HOT-000399|LY-HOT-000400,ambiguous,Requires manual facility identity review.
IMG-9C201294D2C9C54F,LY-HOT-000345|LY-HOT-000346,ambiguous,Requires manual facility identity review.
IMG-9EA57547A5CADF9F,LY-HOT-000314|LY-HOT-000446,ambiguous,Requires manual facility identity review.
IMG-A3238C4AC13F9C7F,LY-HOT-000399|LY-HOT-000400,ambiguous,Requires manual facility identity review.
IMG-A621EC690B7CF91C,LY-HOT-000314|LY-HOT-000446,ambiguous,Requires manual facility identity review.
IMG-AB22C6D40D93616F,LY-HOT-000295|LY-HOT-000424,ambiguous,Requires manual facility identity review.
IMG-B9573C8C7FB931A8,LY-HOT-000314|LY-HOT-000446,ambiguous,Requires manual facility identity review.
IMG-C1997F4EB6ECAB93,LY-HOT-000345|LY-HOT-000346,ambiguous,Requires manual facility identity review.
IMG-C3173B5D0FED640E,LY-HOT-000399|LY-HOT-000400,ambiguous,Requires manual facility identity review.
IMG-C3B22F220B972700,LY-HOT-000049|LY-HOT-000137,ambiguous,Requires manual facility identity review.
IMG-CD389C5BBF989F52,LY-HOT-000113|LY-HOT-000119,ambiguous,Requires manual facility identity review.
IMG-D9EDD81AAF8CF93F,LY-HOT-000075|LY-HOT-000158,ambiguous,Requires manual facility identity review.
IMG-E137A1CCE92F44E9,LY-HOT-000295|LY-HOT-000424,ambiguous,Requires manual facility identity review.
IMG-E6FB468A34553F69,LY-HOT-000113|LY-HOT-000119,ambiguous,Requires manual facility identity review.
IMG-EA0D93EB480687A0,LY-HOT-000075|LY-HOT-000158,ambiguous,Requires manual facility identity review.
IMG-F184080C2E496B05,LY-HOT-000345|LY-HOT-000346,ambiguous,Requires manual facility identity review.
IMG-FC7531F75F1D908E,LY-HOT-000049|LY-HOT-000137,ambiguous,Requires manual facility identity review.
IMG-FFE2673C35F0DB78,LY-HOT-000031|LY-HOT-000115,ambiguous,Requires manual facility identity review.
