feature_id,layer_id,name_ar,name_en,facility_type,classification,stars,municipality_ar,city_ar,region_ar,address,latitude,longitude,publication_status,current_local_image_count,current_remote_image_count,current_primary_image,current_gallery_count,data_quality_status,review_priority,notes
LY-HOT-000001,hotels,فندق كورنثيا,Corinthia Tripoli,hotel,فندق,,طرابلس - طريق الكورنيش,طرابلس - طريق الكورنيش,,طرابلس - طريق الكورنيش,32.89692,13.170402,public_ready,1,0,,0,high,PRIORITY_A,
LY-HOT-000002,hotels,فندق بينثابوليس,PentaPolis Hotel,hotel,فندق,,شارع العروبة,شارع العروبة,,شارع العروبة,32.76474,21.760411,public_ready,3,0,,0,high,PRIORITY_A,
LY-HOT-000003,hotels,فندق جوهرة الواحة,Jawharat Al Wahah Hotel),hostel,نزل,,غدامس,غدامس,,غدامس,30.1414398,9.5073294,public_ready,4,0,,0,high,PRIORITY_A,
LY-HOT-000004,hotels,فندق تبرس,Tibrasti Hotel,hostel,نزل,3,كاباو,كاباو,,كاباو,31.777558,11.327179,public_ready,2,0,,0,high,PRIORITY_A,
LY-HOT-000005,hotels,منتجع شحات السياحي,Shahat Tourist Resort,resort,منتجع سياحي,,شحات,شحات,,شحات,32.82451,21.87935,public_ready,3,0,,0,high,PRIORITY_A,
LY-HOT-000006,hotels,فندق المنارة,Al Manara Tourist Hotel,hotel,فندق,4,سوسة,سوسة,,سوسة,32.900626,21.964767,public_ready,3,0,,0,high,PRIORITY_A,
LY-HOT-000007,hotels,فندق لؤلؤة الخليج,Gulf Pearl Hotel,hostel,نزل,,"يقع الفندق في منطقة حيوية بالقرب من ""المنفذ/مفوز الحرية"" وبجوار مسجد مكة. البيضاء ليبيا شارع العروبة","يقع الفندق في منطقة حيوية بالقرب من ""المنفذ/مفوز الحرية"" وبجوار مسجد مكة. البيضاء ليبيا شارع العروبة",,"يقع الفندق في منطقة حيوية بالقرب من ""المنفذ/مفوز الحرية"" وبجوار مسجد مكة. البيضاء ليبيا شارع العروبة",32.76469,21.77744,public_ready,2,0,,0,high,PRIORITY_A,
LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,Al Telal Al Waseeta Hotel,resort,منتجع سياحي,,شارع عمر المختار- الوسيطة,شارع عمر المختار- الوسيطة,,شارع عمر المختار- الوسيطة,32.793224,21.733303,public_ready,4,0,,0,high,PRIORITY_A,
LY-HOT-000009,hotels,العنود للشقق الفندقية,Alanoud Hotel Apartments,hotel,فندق,,البيضاء ليبيا شارع طه حسين,البيضاء ليبيا شارع طه حسين,,البيضاء ليبيا شارع طه حسين,32.7664,21.7417,public_ready,4,0,,0,high,PRIORITY_A,
LY-HOT-000010,hotels,فندق الثريا,Al-Thuraya Tourist Hotel,hotel,فندق,4,"مقابل الادارة العامة للادارة المصارف التجارية, Al-Baida, Libya,","مقابل الادارة العامة للادارة المصارف التجارية, Al-Baida, Libya,",,"مقابل الادارة العامة للادارة المصارف التجارية, Al-Baida, Libya,",32.764375,21.75694,public_ready,5,0,,0,high,PRIORITY_A,
