feature_id,current_layer_id,name_ar,name_en,current_facility_type,proposed_facility_type,classification_basis,confidence,manual_confirmation_required,notes
LY-HOT-000001,hotels,فندق كورنثيا,Corinthia Tripoli,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000002,hotels,فندق بينثابوليس,PentaPolis Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000003,hotels,فندق جوهرة الواحة,Jawharat Al Wahah Hotel),hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000004,hotels,فندق تبرس,Tibrasti Hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000005,hotels,منتجع شحات السياحي,Shahat Tourist Resort,resort,hotel,runtime layer hotels,high,false,
LY-HOT-000006,hotels,فندق المنارة,Al Manara Tourist Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000007,hotels,فندق لؤلؤة الخليج,Gulf Pearl Hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,Al Telal Al Waseeta Hotel,resort,hotel,runtime layer hotels,high,false,
LY-HOT-000009,hotels,العنود للشقق الفندقية,Alanoud Hotel Apartments,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000010,hotels,فندق الثريا,Al-Thuraya Tourist Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000011,hotels,منتجع الينابيع السياحي,Al-YanaBeaa Tourist Resort,resort,hotel,runtime layer hotels,high,false,
LY-HOT-000012,hotels,فندق برقة,(Barqa Tourist Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000013,hotels,فندق الهديل,Al Hadeel Hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000014,hotels,فندق بن يدر,Ben Yedder Hotel),hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000015,hotels,فندق نجوم غدامس,Nojoom Ghadames Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000016,hotels,فندق باب الفتح,Hotel bab al fatah,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000017,hotels,فندق فكتوريا,Victoria Hotel),hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000018,hotels,فندق الطاووس,Peacock Hotel And Resort,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000019,hotels,فندق الودان,Al Waddan Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000020,hotels,فندق دار السلام ( المسيرة سابقا ),Dar El Salam Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000021,hotels,فندق سان جورج,St. George Hotel Tobruk),hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000022,hotels,فندق الحسنين الكبير,ALhasanin Grand Hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000023,hotels,بيوت الشباب,Libyan Youth Hostels Association,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000024,hotels,فندق بلاغراي السياحي ( التلال سابقا ),Balagrae Tourist,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000025,hotels,منتجع ايميليا,Emilia Tourist Resort,resort,hotel,runtime layer hotels,high,false,
LY-HOT-000026,hotels,منتجع وموتيل الأمان,Al-Aman Resort & Motel,resort,hotel,runtime layer hotels,high,false,
LY-HOT-000027,hotels,بيوت شباب غدامس,Ghadames Youth Hostel,review_required,hotel,runtime layer hotels,high,false,
LY-HOT-000028,hotels,نالوت غدامس فندق باب العز,Bab alez hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000029,hotels,فندق أبراج الوسطى,Al-Waseet Towers Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000030,hotels,فندق طيبة,Taiba Hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000031,hotels,فندق قصر الفيروز,Al-Fayrouz Palace Hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000032,hotels,Royal Gardens Hotels,Royal Gardens Hotels,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000033,hotels,فندق ابونواس,لا يوجد معلومات عن مرفق,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000034,hotels,فندق احواص,Locanda Hawas,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000035,hotels,فندق الانوار,ALANWAR HOTEL,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000036,hotels,فندق الأخوة,Alokhowa Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000037,hotels,فندق الأصالة,Alasala Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000038,hotels,فندق الأصيل,Al Aseel Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000039,hotels,فندق الأندلس,Al-Andalus Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000040,hotels,فندق البركة,Albaraka Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000041,hotels,فندق البستان,Bustan Hotel Tripoli,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000042,hotels,التاج للشقق الفندقية,TAJ Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000043,hotels,(فندق الطُبجية )فندق التاجوري,Al-Tobji Hotel أو Al-Tubjiyya Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000044,hotels,فندق الجبل,El Jabal Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000045,hotels,فندق جوهرة صبراتة السياحي,Jawharat Sabratha Tourist Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000046,hotels,فندق الجوهرة الزاوية,Al-Jawhara Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000047,hotels,يعرف باسم (فندق الوادي ) فندق الحديقة,Al Wadi Hotel Tripoli,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000048,hotels,فندق الحمام السياحي,مغلق بشكل نهائي,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000049,hotels,فندق الخان الطرابلسي,El Khan Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000050,hotels,فندق الخليج,Alkhaleej Hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000051,hotels,فندق الدبلوماسي,Diplomatic Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000052,hotels,فندق الدوحة,Doha Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000053,hotels,فندق الديار,ADDEYAR HOTEL,hotel,hotel,runtime layer hotels,high,false,
