feature_id,name_ar,facility_type,city_ar,municipality_ar,classification,stars,candidate_count,possible_remote_reference,priority_for_future_collection,recommended_collection_method,notes
LY-HOT-000013,فندق الهديل,hostel,"شارع القهاوي خلف مصرف الجمهورية , Al Bayda', Libya","شارع القهاوي خلف مصرف الجمهورية , Al Bayda', Libya",نزل,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000014,فندق بن يدر,hotel,غدامس,غدامس,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000015,فندق نجوم غدامس,hotel,غدامس,غدامس,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000016,فندق باب الفتح,hostel,ليبيا غدامس,ليبيا غدامس,نزل,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000017,فندق فكتوريا,hotel,شارع الظهرة الكبيرة,شارع الظهرة الكبيرة,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000030,فندق طيبة,hostel,سبها حي عبدالكافي.. جزيرة التقويم والقياس,سبها حي عبدالكافي.. جزيرة التقويم والقياس,نزل,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000033,فندق ابونواس,hotel,لا يوجد معلومات عن مرفق,لا يوجد معلومات عن مرفق,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000043,(فندق الطُبجية )فندق التاجوري,hotel,المدينة القديمة طرابلس,المدينة القديمة طرابلس,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000044,فندق الجبل,hotel,مصراتة,مصراتة,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000047,يعرف باسم (فندق الوادي ) فندق الحديقة,hotel,شارع الوادي، بالقرب من وسط البلاد وجزيرة الجرات، طرابلس، ليبيا,شارع الوادي، بالقرب من وسط البلاد وجزيرة الجرات، طرابلس، ليبيا,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000048,فندق الحمام السياحي,hotel,لا يعمل حالياً كفندق أو شقق إقامة متاحة للمواطنين,لا يعمل حالياً كفندق أو شقق إقامة متاحة للمواطنين,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000052,فندق الدوحة,hotel,يقع الفندق في وسط المدينة، تحديداً في شارع عمر المختار مقابل شارع العملة,يقع الفندق في وسط المدينة، تحديداً في شارع عمر المختار مقابل شارع العملة,فندق,3,0,false,B,institutional or facility-provided image request,
LY-HOT-000063,فندق الشرق,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000069,فندق الغدامسية,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000070,فندق القرقني,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000073,فندق الكرومة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000076,فندق المدينة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000082,فندق الهنشيري,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000083,فندق الهيشة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000087,فندق أفريقيا,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000089,فندق بودلغوسة,hotel,يقع الفندق في محلة المدينة القديمة، تحديداً عند طريق الحِلقة (أو زنقة جامع الدروج,يقع الفندق في محلة المدينة القديمة، تحديداً عند طريق الحِلقة (أو زنقة جامع الدروج,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000092,فندق تابكت,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000101,فندق سرايا الليبو,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000104,فندق شروق افريقيا,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
LY-HOT-000111,فندق غابة الكشافة,hotel,,,فندق,,0,false,B,institutional or facility-provided image request,
