feature_id,facility_name_ar,facility_type,city_ar,current_candidate_image_id,recommended_image_id,recommended_master_image_id,automatic_match_basis,technical_quality,shared_image_status,manual_visual_review_status,primary_suitability,rights_status,institutional_approval_status,recommendation_status,notes
LY-HOT-000001,فندق كورنثيا,hotel,,IMG-FA97329E9A9EC2B8,IMG-FA97329E9A9EC2B8,IMG-2C6E751270A91DAA,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000002,فندق بينثابوليس,hotel,,IMG-498ED4DC235794F3,IMG-498ED4DC235794F3,IMG-8A7CCCA2B7E60737,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000003,فندق جوهرة الواحة,hostel,,IMG-B802642D83C0705A,IMG-B802642D83C0705A,IMG-7109F2C92F3524CC,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000004,فندق تبرس,hostel,,IMG-D290D5E752B7F249,IMG-D290D5E752B7F249,IMG-1F1F62E31C92DC9F,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000005,منتجع شحات السياحي,resort,,IMG-02BE325FA2853805,IMG-02BE325FA2853805,IMG-5E57E1652E9C5361,existing_link,acceptable,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000006,فندق المنارة,hotel,,IMG-C1C05F1A9D79A78A,IMG-C1C05F1A9D79A78A,IMG-6E813051ABAE8EF8,existing_link,acceptable,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000007,فندق لؤلؤة الخليج,hostel,,IMG-7703B3398C7DF70E,IMG-7703B3398C7DF70E,IMG-7FB51DD7960436EF,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000008,فندق التلال الوسيطة البيضاء,resort,,IMG-5EB2C1FAE325444C,IMG-5EB2C1FAE325444C,IMG-12962076A3275132,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
LY-HOT-000009,العنود للشقق الفندقية,hotel,,IMG-819089A3F33FB55C,IMG-819089A3F33FB55C,IMG-E8A0ACB419E446F1,existing_link,thumbnail_only,shared_case_requires_review,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,shared_image_conflict,
LY-HOT-000010,فندق الثريا,hotel,,IMG-55D8F93ACEA7906A,IMG-55D8F93ACEA7906A,IMG-C703BA3F8EA4B26E,existing_link,thumbnail_only,not_shared_detected,not_individually_verified,cannot_determine,unknown,not_approved_batch_2a,ready_for_manual_review,
