feature_id,image_id,technical_quality,resolution,aspect_ratio,sharpness_available,brightness_available,file_health,master_status,watermark_detectable_if_metadata_or_visual_review,duplicate_status,notes
LY-HOT-000001,IMG-FA97329E9A9EC2B8,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000002,IMG-498ED4DC235794F3,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000003,IMG-B802642D83C0705A,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000004,IMG-D290D5E752B7F249,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000005,IMG-02BE325FA2853805,acceptable,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000006,IMG-C1C05F1A9D79A78A,acceptable,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000007,IMG-7703B3398C7DF70E,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000008,IMG-5EB2C1FAE325444C,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000009,IMG-819089A3F33FB55C,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000010,IMG-55D8F93ACEA7906A,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000011,IMG-65AB52B2F6CC48F7,high,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000012,IMG-119A09082CDA83D7,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000018,IMG-70EDD68175987801,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000019,IMG-6A860408D3A66731,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000020,IMG-872A6D479BE28E01,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000021,IMG-3CBAB36D93017A02,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000022,IMG-19C3F36AD1E19044,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000023,IMG-56A6440E48860943,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000024,IMG-F5D8E40E6C1EA4DB,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000025,IMG-E4FA3718C8C00988,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000026,IMG-2B0470543FB41D5D,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000027,IMG-76159BDC315DE906,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000028,IMG-EEC9D5AE902233A5,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000029,IMG-0F373BA333C2EBDE,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000031,IMG-4B53EBB6AABCC1D3,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000032,IMG-5BA106F592D0332E,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000034,IMG-5ED99B628601EBD3,acceptable,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000035,IMG-657CB03042B5C04B,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000036,IMG-02413AAE55399FB1,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000037,IMG-5806382F3E321975,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000038,IMG-2BEC7C4B87BFEE2A,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000039,IMG-95E3447DAE58A495,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000040,IMG-4C26C96431EC63BA,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000041,IMG-A3FECBDF161B5CCE,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000042,IMG-C6DFB6BFEF341C5D,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000045,IMG-2A5F837F7840D805,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,distinct_candidate,requires_manual_review,candidate_only,
