case_id,image_id,feature_ids,facility_names,cities,relationship_status,shared_use_allowed,primary_use_allowed,recommended_owner_feature_id,recommended_action,manual_visual_review_required,decision_source,confidence,notes
B2A-SHARED-001,IMG-033D22EBF511990B,LY-HOT-000049|LY-HOT-000137,,,cannot_determine,false,false,,requires_manual_review,true,automatic_shared-image detection only,low,No automatic cross-facility approval; identity must be visually reviewed.
B2A-SHARED-002,IMG-046EDC55FFD15293,LY-HOT-000113|LY-HOT-000119,,,cannot_determine,false,false,,requires_manual_review,true,automatic_shared-image detection only,low,No automatic cross-facility approval; identity must be visually reviewed.
B2A-SHARED-003,IMG-066297BAC6AAE169,LY-HOT-000020|LY-HOT-000164,,,cannot_determine,false,false,,requires_manual_review,true,automatic_shared-image detection only,low,No automatic cross-facility approval; identity must be visually reviewed.
B2A-SHARED-004,IMG-110FEF464D2C395F,LY-HOT-000031|LY-HOT-000115,,,cannot_determine,false,false,,requires_manual_review,true,automatic_shared-image detection only,low,No automatic cross-facility approval; identity must be visually reviewed.
B2A-SHARED-005,IMG-253F76E0FE94EBF3,LY-HOT-000020|LY-HOT-000164,,,cannot_determine,false,false,,requires_manual_review,true,automatic_shared-image detection only,low,No automatic cross-facility approval; identity must be visually reviewed.
B2A-SHARED-006,IMG-384CF3E5D620D13B,LY-HOT-000187|LY-HOT-000190,,,cannot_determine,false,false,,requires_manual_review,true,automatic_shared-image detection only,low,No automatic cross-facility approval; identity must be visually reviewed.
B2A-SHARED-007,IMG-4F0A3CE02FA1B883,LY-HOT-000075|LY-HOT-000158,,,cannot_determine,false,false,,requires_manual_review,true,automatic_shared-image detection only,low,No automatic cross-facility approval; identity must be visually reviewed.
B2A-SHARED-008,IMG-5875E6DDBB7440C2,LY-HOT-000345|LY-HOT-000346,,,cannot_determine,false,false,,requires_manual_review,true,automatic_shared-image detection only,low,No automatic cross-facility approval; identity must be visually reviewed.
B2A-SHARED-009,IMG-590675C1DE7ECB98,LY-HOT-000031|LY-HOT-000115,,,cannot_determine,false,false,,requires_manual_review,true,automatic_shared-image detection only,low,No automatic cross-facility approval; identity must be visually reviewed.
B2A-SHARED-010,IMG-5F0B87CC56980023,LY-HOT-000314|LY-HOT-000446,,,cannot_determine,false,false,,requires_manual_review,true,automatic_shared-image detection only,low,No automatic cross-facility approval; identity must be visually reviewed.
B2A-SHARED-011,IMG-62E2C2869EB72051,LY-HOT-000020|LY-HOT-000164,,,cannot_determine,false,false,,requires_manual_review,true,automatic_shared-image detection only,low,No automatic cross-facility approval; identity must be visually reviewed.
B2A-SHARED-012,IMG-729EB4B25B240200,LY-HOT-000295|LY-HOT-000424,,,cannot_determine,false,false,,requires_manual_review,true,automatic_shared-image detection only,low,No automatic cross-facility approval; identity must be visually reviewed.
B2A-SHARED-013,IMG-792FD5E40F6FFFF5,LY-HOT-000031|LY-HOT-000115,,,cannot_determine,false,false,,requires_manual_review,true,automatic_shared-image detection only,low,No automatic cross-facility approval; identity must be visually reviewed.
