feature_id,facility_name_ar,facility_type,city_ar,approved_candidate_image_id,master_image_id,visual_match_status,facility_identity_status,primary_suitability,technical_quality,reviewer_name,review_date,rights_status,institutional_approval_status,publication_status,next_action
LY-HOT-000001,فندق كورنثيا,hotel,,,IMG-2C6E751270A91DAA,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000002,فندق بينثابوليس,hotel,,,IMG-8A7CCCA2B7E60737,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000003,فندق جوهرة الواحة,hostel,,,IMG-7109F2C92F3524CC,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000004,فندق تبرس,hostel,,,IMG-1F1F62E31C92DC9F,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000005,منتجع شحات السياحي,resort,,,IMG-5E57E1652E9C5361,cannot_determine,cannot_determine,cannot_determine,acceptable,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000006,فندق المنارة,hotel,,,IMG-6E813051ABAE8EF8,cannot_determine,cannot_determine,cannot_determine,acceptable,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000007,فندق لؤلؤة الخليج,hostel,,,IMG-7FB51DD7960436EF,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000008,فندق التلال الوسيطة البيضاء,resort,,,IMG-12962076A3275132,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000009,العنود للشقق الفندقية,hotel,,,IMG-E8A0ACB419E446F1,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_shared_conflict_resolution
LY-HOT-000010,فندق الثريا,hotel,,,IMG-C703BA3F8EA4B26E,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000011,منتجع الينابيع السياحي,resort,,,IMG-84252D7DCE95F6A0,cannot_determine,cannot_determine,cannot_determine,high,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000012,فندق برقة,hotel,,,IMG-5568E8921219816B,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000018,فندق الطاووس,hostel,,,IMG-70EDD68175987801,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000019,فندق الودان,hotel,,,IMG-8D9EA23C81887426,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000020,فندق دار السلام ( المسيرة سابقا ),hotel,,,IMG-FCAE0E7CAF03F59D,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_shared_conflict_resolution
LY-HOT-000021,فندق سان جورج,hotel,,,IMG-A6E700E352D9D346,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000022,فندق الحسنين الكبير,hostel,,,IMG-7F6D30A79425F860,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000023,بيوت الشباب,hostel,,,IMG-764C36CA540766FE,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000024,فندق بلاغراي السياحي ( التلال سابقا ),hostel,,,IMG-ECA705914F3DDBD7,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000025,منتجع ايميليا,resort,,,IMG-08F6D5CE7DAC9C94,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000026,منتجع وموتيل الأمان,resort,,,IMG-C455F0239870E895,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000027,بيوت شباب غدامس,review_required,,,IMG-2A66FD84B44F3088,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000028,نالوت غدامس فندق باب العز,hotel,,,IMG-228F6BDB3D316354,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000029,فندق أبراج الوسطى,hotel,,,IMG-CB96DDDE68C5CFBE,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000031,فندق قصر الفيروز,hostel,,,IMG-935DD19ECAFD33E4,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000032,Royal Gardens Hotels,hostel,,,IMG-19CA1851ED79FB1D,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000034,فندق احواص,hostel,,,IMG-522DC3EE12090AF5,cannot_determine,cannot_determine,cannot_determine,acceptable,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000035,فندق الانوار,hotel,,,IMG-03ECD13E8D5C6991,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000036,فندق الأخوة,hotel,,,IMG-D3FB20419603B1A1,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000037,فندق الأصالة,hotel,,,IMG-D0E8CF7434915CC6,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000038,فندق الأصيل,hotel,,,IMG-DE7D1D958BED2577,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000039,فندق الأندلس,hotel,,,IMG-FF9B5C89FCA47753,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000040,فندق البركة,hotel,,,IMG-DBD02A9A43973386,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000041,فندق البستان,hotel,,,IMG-78A889EBB36B296C,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
LY-HOT-000042,التاج للشقق الفندقية,hotel,,,IMG-FC371968523F74F4,cannot_determine,cannot_determine,cannot_determine,thumbnail_only,,,unknown,false,pending_rights,needs_manual_review
