feature_id,facility_name_ar,facility_type,primary_candidate_image_id,manual_review_completed,visual_match_status,primary_suitability,reviewer_decision,shared_conflict_status,rights_status,institutional_approval_status,next_action
LY-HOT-000001,فندق كورنثيا,hotel,IMG-FA97329E9A9EC2B8,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000002,فندق بينثابوليس,hotel,IMG-498ED4DC235794F3,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000003,فندق جوهرة الواحة,hostel,IMG-B802642D83C0705A,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000004,فندق تبرس,hostel,IMG-D290D5E752B7F249,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000005,منتجع شحات السياحي,resort,IMG-02BE325FA2853805,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000006,فندق المنارة,hotel,IMG-C1C05F1A9D79A78A,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000007,فندق لؤلؤة الخليج,hostel,IMG-7703B3398C7DF70E,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000008,فندق التلال الوسيطة البيضاء,resort,IMG-5EB2C1FAE325444C,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000009,العنود للشقق الفندقية,hotel,IMG-819089A3F33FB55C,false,cannot_determine,cannot_determine,defer,unresolved,unknown,false,needs_shared_conflict_resolution
LY-HOT-000010,فندق الثريا,hotel,IMG-55D8F93ACEA7906A,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000011,منتجع الينابيع السياحي,resort,IMG-65AB52B2F6CC48F7,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000012,فندق برقة,hotel,IMG-119A09082CDA83D7,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000018,فندق الطاووس,hostel,IMG-70EDD68175987801,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000019,فندق الودان,hotel,IMG-6A860408D3A66731,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000020,فندق دار السلام ( المسيرة سابقا ),hotel,IMG-872A6D479BE28E01,false,cannot_determine,cannot_determine,defer,unresolved,unknown,false,needs_shared_conflict_resolution
LY-HOT-000021,فندق سان جورج,hotel,IMG-3CBAB36D93017A02,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000022,فندق الحسنين الكبير,hostel,IMG-19C3F36AD1E19044,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000023,بيوت الشباب,hostel,IMG-56A6440E48860943,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000024,فندق بلاغراي السياحي ( التلال سابقا ),hostel,IMG-F5D8E40E6C1EA4DB,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000025,منتجع ايميليا,resort,IMG-E4FA3718C8C00988,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000026,منتجع وموتيل الأمان,resort,IMG-2B0470543FB41D5D,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000027,بيوت شباب غدامس,review_required,IMG-76159BDC315DE906,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
