review_order,image_id,master_image_id,source_relative_path,feature_id,layer_id,facility_name_ar,facility_name_en,facility_type,city_ar,municipality_ar,classification,stars,technical_quality,automatic_match_basis,shared_image_case,rights_status,manual_review_status,review_mode,technical_blocker,notes
1,IMG-65AB52B2F6CC48F7,IMG-84252D7DCE95F6A0,assets/images/hotels/hotels-LY-HOTELS-00011-04.webp,LY-HOT-000011,hotels,منتجع الينابيع السياحي,,resort,,,,,high,existing_link,none,unknown,unreviewed,individual_review,,Technical candidate only; no human decision recorded.
2,IMG-AB2F785A48F45260,IMG-1C3BA4BF58BF7974,assets/images/hotels/hotels-LY-HOTELS-00275-01.webp,LY-HOT-000275,hotels,فندق الفصول الاربعة 2,,resort,,,,,high,existing_link,none,unknown,unreviewed,individual_review,,Technical candidate only; no human decision recorded.
3,IMG-A3170ECA96244672,IMG-5CA2B4E101C57B5C,assets/images/hotels/hotels-LY-HOTELS-00193-01.webp,LY-HOT-000193,hotels,فندق باب البحر,,hotel,,,,,high,existing_link,none,unknown,unreviewed,individual_review,,Technical candidate only; no human decision recorded.
4,IMG-00D26D8EDC613DDE,IMG-6FA829EB83A8FCAC,assets/images/hotels/hotels-LY-HOTELS-00201-01.webp,LY-HOT-000201,hotels,فندق توباكتس,,hotel,,,,,high,existing_link,none,unknown,unreviewed,individual_review,,Technical candidate only; no human decision recorded.
5,IMG-4D715E6F645A91E4,IMG-66CB19A1EDEE23E0,assets/images/hotels/hotels-LY-HOTELS-00277-01.webp,LY-HOT-000277,hotels,فندق نور الثريا,,hotel,,,,,high,existing_link,none,unknown,unreviewed,individual_review,,Technical candidate only; no human decision recorded.
6,IMG-4B501E6BBD73EAFE,IMG-3E4CED93BF7426F1,assets/images/hotels/hotels-LY-HOTELS-00297-01.webp,LY-HOT-000297,hotels,فندق أضواء قرطاج,,hotel,,,,,high,existing_link,none,unknown,unreviewed,individual_review,,Technical candidate only; no human decision recorded.
7,IMG-0AD416076AE4E41A,IMG-B43053CBB4A73052,assets/images/hotels/hotels-LY-HOTELS-00366-01.webp,LY-HOT-000366,hotels,فندق الاخوة السياحي الخمس,,hotel,,,,,high,existing_link,none,unknown,unreviewed,individual_review,,Technical candidate only; no human decision recorded.
8,IMG-4CAA6944989EC466,IMG-2614A446FDF324E4,assets/images/hotels/hotels-LY-HOTELS-00444-01.webp,LY-HOT-000444,hotels,فندق الريان,,hotel,,,,,high,existing_link,none,unknown,unreviewed,individual_review,,Technical candidate only; no human decision recorded.
9,IMG-5F0B87CC56980023,IMG-A9FE60CE8BAB8B94,assets/images/hotels/hotels-LY-HOTELS-00314-04.webp,LY-HOT-000446,hotels,فندق السرايا,,hotel,,,,,high,existing_link,B2A-SHARED-010,unknown,unreviewed,shared_conflict_review,,Technical candidate only; no human decision recorded.
10,IMG-EF3B1425ACE980F9,IMG-EF3B1425ACE980F9,assets/images/hotels/hotels-LY-HOTELS-00091-01.webp,LY-HOT-000091,hotels,فندق بيت الشرق,,hostel,,,,,high,existing_link,none,unknown,unreviewed,individual_review,,Technical candidate only; no human decision recorded.
11,IMG-07823DE59E73877A,IMG-A8A2FE6C77946B50,assets/images/hotels/hotels-LY-HOTELS-00273-01.webp,LY-HOT-000273,hotels,فندق النعيم,,hostel,,,,,high,existing_link,none,unknown,unreviewed,individual_review,,Technical candidate only; no human decision recorded.
