image_id,source_relative_path,master_image_id,layer_id,feature_id,feature_name_ar,feature_name_en,linkage_basis,layer_assignment_status,feature_linkage_status,primary_image,gallery_image,institutional_display_authorization,rights_status,derivative_status,runtime_status,notes
IMG-BCD142ABD317BCE0,assets/media/LIBYA/heritage/WH-MAIN-001/WH-MAIN-001__primary__01__9154990536A1__web-medium.webp,,world-heritage,WH-MAIN-001,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,Archaeological Site of Leptis Magna,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-29E4281FB1EE43DE,assets/media/LIBYA/heritage/WH-WORLD-C0001/WH-WORLD-C0001__primary__01__70495DD0618E__web-medium.webp,,world-heritage,WH-WORLD-C0001,موقع صبراتة الأثري,Archaeological Site of Sabratha,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-15ECAFB015A2BB34,assets/media/LIBYA/heritage/WH-WORLD-C0002/WH-WORLD-C0002__primary__01__295438D199F4__web-medium.webp,,world-heritage,WH-WORLD-C0002,موقع قورينا الأثري – شحات,Archaeological Site of Cyrene,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-0934176E9EFB1A76,assets/media/LIBYA/heritage/ghadames/published/main-site/ghadames-main-site-001.jpg,,world-heritage,WH-WORLD-C0004,مدينة غدامس القديمة,Old Town of Ghadames,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-3300C59CFCA2DE29,assets/media/LIBYA/heritage/ghadames/published/main-site/ghadames-main-site-002.jpg,,world-heritage,WH-WORLD-C0004,مدينة غدامس القديمة,Old Town of Ghadames,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-4DCAB054A6C9133D,assets/media/LIBYA/heritage/ghadames/published/main-site/ghadames-main-site-003.jpg,,world-heritage,WH-WORLD-C0004,مدينة غدامس القديمة,Old Town of Ghadames,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-9B84A16882E981A5,assets/media/LIBYA/heritage/ghadames/published/main-site/ghadames-main-site-004.jpg,,world-heritage,WH-WORLD-C0004,مدينة غدامس القديمة,Old Town of Ghadames,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-3CDBA5F4F0EA3C87,assets/media/LIBYA/heritage/leptis-magna/published/theatre/theatre-stage-wide.jpg,,world-heritage,WH-LY-001-0026,المسرح,theatre of lebda,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-B465F032D5904387,assets/media/LIBYA/heritage/leptis-magna/published/theatre/theatre-stage-front.jpg,,world-heritage,WH-LY-001-0026,المسرح,theatre of lebda,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-C68BB1AD19BB922F,assets/media/LIBYA/heritage/leptis-magna/published/theatre/theatre-panorama.jpg,,world-heritage,WH-LY-001-0026,المسرح,theatre of lebda,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
