linkage_id,image_id,source_relative_path,feature_id,layer_id,feature_name_ar,feature_city_ar,match_type,match_score,evidence,existing_link,proposed_role,automatic_link_allowed,manual_review_required,linkage_status,rights_status,technical_quality,notes
LNK-000001,IMG-FA97329E9A9EC2B8,assets/images/hotels/hotels-LY-HOTELS-00001-05.webp,LY-HOT-000001,hotels,فندق كورنثيا,طرابلس - طريق الكورنيش,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000002,IMG-498ED4DC235794F3,assets/images/hotels/hotels-LY-HOTELS-00002-02.webp,LY-HOT-000002,hotels,فندق بينثابوليس,شارع العروبة,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000003,IMG-14000C12BAEA2328,assets/images/hotels/hotels-LY-HOTELS-00002-03.webp,LY-HOT-000002,hotels,فندق بينثابوليس,شارع العروبة,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000004,IMG-6475D28069ABC0C9,assets/images/hotels/hotels-LY-HOTELS-00002-04.webp,LY-HOT-000002,hotels,فندق بينثابوليس,شارع العروبة,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000005,IMG-B802642D83C0705A,assets/images/hotels/hotels-LY-HOTELS-00003-01.webp,LY-HOT-000003,hotels,فندق جوهرة الواحة,غدامس,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000006,IMG-FC1ADD1B64A7B49D,assets/images/hotels/hotels-LY-HOTELS-00003-02.webp,LY-HOT-000003,hotels,فندق جوهرة الواحة,غدامس,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000007,IMG-3E72908363D437BE,assets/images/hotels/hotels-LY-HOTELS-00003-03.webp,LY-HOT-000003,hotels,فندق جوهرة الواحة,غدامس,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000008,IMG-6A80A1649E885F5F,assets/images/hotels/hotels-LY-HOTELS-00003-04.webp,LY-HOT-000003,hotels,فندق جوهرة الواحة,غدامس,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000009,IMG-D290D5E752B7F249,assets/images/hotels/hotels-LY-HOTELS-00004-01.webp,LY-HOT-000004,hotels,فندق تبرس,كاباو,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000010,IMG-46F49E7C221A033F,assets/images/hotels/hotels-LY-HOTELS-00004-02.webp,LY-HOT-000004,hotels,فندق تبرس,كاباو,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000011,IMG-02BE325FA2853805,assets/images/hotels/hotels-LY-HOTELS-00005-04.webp,LY-HOT-000005,hotels,منتجع شحات السياحي,شحات,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,acceptable,Existing link retained; rights do not automatically permit public primary use.
LNK-000012,IMG-40B37878823F011F,assets/images/hotels/hotels-LY-HOTELS-00005-05.webp,LY-HOT-000005,hotels,منتجع شحات السياحي,شحات,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,acceptable,Existing link retained; rights do not automatically permit public primary use.
LNK-000013,IMG-230B3A6E36310AD5,assets/images/hotels/hotels-LY-HOTELS-00005-06.webp,LY-HOT-000005,hotels,منتجع شحات السياحي,شحات,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,high,Existing link retained; rights do not automatically permit public primary use.
LNK-000014,IMG-C1C05F1A9D79A78A,assets/images/hotels/hotels-LY-HOTELS-00006-04.webp,LY-HOT-000006,hotels,فندق المنارة,سوسة,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,acceptable,Existing link retained; rights do not automatically permit public primary use.
LNK-000015,IMG-689BA7BAF801552C,assets/images/hotels/hotels-LY-HOTELS-00006-05.webp,LY-HOT-000006,hotels,فندق المنارة,سوسة,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,acceptable,Existing link retained; rights do not automatically permit public primary use.
LNK-000016,IMG-11FA0A8CD5EB2920,assets/images/hotels/hotels-LY-HOTELS-00006-06.webp,LY-HOT-000006,hotels,فندق المنارة,سوسة,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,acceptable,Existing link retained; rights do not automatically permit public primary use.
LNK-000017,IMG-7703B3398C7DF70E,assets/images/hotels/hotels-LY-HOTELS-00007-02.webp,LY-HOT-000007,hotels,فندق لؤلؤة الخليج,"يقع الفندق في منطقة حيوية بالقرب من ""المنفذ/مفوز الحرية"" وبجوار مسجد مكة. البيضاء ليبيا شارع العروبة",existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000018,IMG-732E1994D7D4EF4B,assets/images/hotels/hotels-LY-HOTELS-00007-03.webp,LY-HOT-000007,hotels,فندق لؤلؤة الخليج,"يقع الفندق في منطقة حيوية بالقرب من ""المنفذ/مفوز الحرية"" وبجوار مسجد مكة. البيضاء ليبيا شارع العروبة",existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000019,IMG-5EB2C1FAE325444C,assets/images/hotels/hotels-LY-HOTELS-00008-04.webp,LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,شارع عمر المختار- الوسيطة,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000020,IMG-CCEFA42B6FCE0C72,assets/images/hotels/hotels-LY-HOTELS-00008-05.webp,LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,شارع عمر المختار- الوسيطة,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000021,IMG-B496E4D876E85B25,assets/images/hotels/hotels-LY-HOTELS-00008-06.webp,LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,شارع عمر المختار- الوسيطة,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000022,IMG-3C67E6809FD5E9E6,assets/images/hotels/hotels-LY-HOTELS-00008-07.webp,LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,شارع عمر المختار- الوسيطة,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000023,IMG-819089A3F33FB55C,assets/images/hotels/hotels-LY-HOTELS-00009-01.webp,LY-HOT-000009,hotels,العنود للشقق الفندقية,البيضاء ليبيا شارع طه حسين,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000024,IMG-8302B3A52AE6F475,assets/images/hotels/hotels-LY-HOTELS-00009-02.webp,LY-HOT-000009,hotels,العنود للشقق الفندقية,البيضاء ليبيا شارع طه حسين,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000025,IMG-692F979223300C23,assets/images/hotels/hotels-LY-HOTELS-00009-03.webp,LY-HOT-000009,hotels,العنود للشقق الفندقية,البيضاء ليبيا شارع طه حسين,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
LNK-000026,IMG-DAE7BE536406D158,assets/images/hotels/hotels-LY-HOTELS-00009-04.webp,LY-HOT-000009,hotels,العنود للشقق الفندقية,البيضاء ليبيا شارع طه حسين,existing_verified_link,1,existing GeoJSON local_images link and file existence,true,gallery,true,true,retained_existing,unknown,thumbnail_only,Existing link retained; rights do not automatically permit public primary use.
