review_id,image_id,thumbnail_path,file_name,possible_destination,possible_layer,possible_feature_id,review_reason,technical_quality,duplicate_group_id,rights_status,recommended_action,reviewer_decision,verified_feature_id,verified_role,verified_rights_status,reviewer_name,review_date,notes
IMGREV-000001,IMG-999768C579ECBD3C,,akakus-LY-AKAKUS-00001-01.png,akakus,akakus,LY-AKAKUS-00001-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-01107,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000002,IMG-7015278AADE3E5BC,,akakus-LY-AKAKUS-00001-01.webp,akakus,akakus,LY-AKAKUS-00001-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-01107,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000003,IMG-4B4D9341ECD5EDD3,,akakus-LY-AKAKUS-00002-01.png,akakus,akakus,LY-AKAKUS-00002-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00325,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000004,IMG-8722BEAF969F24C9,,akakus-LY-AKAKUS-00002-01.webp,akakus,akakus,LY-AKAKUS-00002-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00325,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000005,IMG-A6502784F8A1D0D1,,akakus-LY-AKAKUS-00003-01.png,akakus,akakus,LY-AKAKUS-00003-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00190,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000006,IMG-ADDF595837F0B52C,,akakus-LY-AKAKUS-00003-01.webp,akakus,akakus,LY-AKAKUS-00003-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00190,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000007,IMG-41B72039E43F241A,,akakus-LY-AKAKUS-00004-01.png,akakus,akakus,LY-AKAKUS-00004-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-01229,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000008,IMG-7003156A53D8CECB,,akakus-LY-AKAKUS-00004-01.webp,akakus,akakus,LY-AKAKUS-00004-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-01229,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000009,IMG-3F13533602B0C8D8,,akakus-LY-AKAKUS-00005-01.png,akakus,akakus,LY-AKAKUS-00005-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00830,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000010,IMG-91A14967F2386EE0,,akakus-LY-AKAKUS-00005-01.webp,akakus,akakus,LY-AKAKUS-00005-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00830,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
