link_id,feature_id,layer_id,feature_name_ar,image_id,source_relative_path,current_role,file_exists,technical_quality,visual_match_status,duplicate_group_id,master_image_id,rights_status,publication_permission,verification_status,recommended_action,replacement_image_id,evidence,confidence,manual_review_required,notes
P2LINK-000001,LY-HOT-000001,hotels,فندق كورنثيا,IMG-FA97329E9A9EC2B8,assets/images/hotels/hotels-LY-HOTELS-00001-05.webp,gallery,true,thumbnail_only,cannot_determine,DUP-01096,IMG-2C6E751270A91DAA,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000002,LY-HOT-000002,hotels,فندق بينثابوليس,IMG-498ED4DC235794F3,assets/images/hotels/hotels-LY-HOTELS-00002-02.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00134,IMG-8A7CCCA2B7E60737,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000003,LY-HOT-000002,hotels,فندق بينثابوليس,IMG-14000C12BAEA2328,assets/images/hotels/hotels-LY-HOTELS-00002-03.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00080,IMG-0E7971CD592A3769,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000004,LY-HOT-000002,hotels,فندق بينثابوليس,IMG-6475D28069ABC0C9,assets/images/hotels/hotels-LY-HOTELS-00002-04.webp,gallery,true,thumbnail_only,cannot_determine,DUP-01310,IMG-132F24BC9AA40564,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000005,LY-HOT-000003,hotels,فندق جوهرة الواحة,IMG-B802642D83C0705A,assets/images/hotels/hotels-LY-HOTELS-00003-01.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00464,IMG-7109F2C92F3524CC,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000006,LY-HOT-000003,hotels,فندق جوهرة الواحة,IMG-FC1ADD1B64A7B49D,assets/images/hotels/hotels-LY-HOTELS-00003-02.webp,gallery,true,thumbnail_only,cannot_determine,DUP-01101,IMG-4067243311199310,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000007,LY-HOT-000003,hotels,فندق جوهرة الواحة,IMG-3E72908363D437BE,assets/images/hotels/hotels-LY-HOTELS-00003-03.webp,gallery,true,thumbnail_only,cannot_determine,,,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000008,LY-HOT-000003,hotels,فندق جوهرة الواحة,IMG-6A80A1649E885F5F,assets/images/hotels/hotels-LY-HOTELS-00003-04.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00769,IMG-A5742B2F99C4C31D,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000009,LY-HOT-000004,hotels,فندق تبرس,IMG-D290D5E752B7F249,assets/images/hotels/hotels-LY-HOTELS-00004-01.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00501,IMG-1F1F62E31C92DC9F,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000010,LY-HOT-000004,hotels,فندق تبرس,IMG-46F49E7C221A033F,assets/images/hotels/hotels-LY-HOTELS-00004-02.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00778,IMG-519E9786E63972DB,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000011,LY-HOT-000005,hotels,منتجع شحات السياحي,IMG-02BE325FA2853805,assets/images/hotels/hotels-LY-HOTELS-00005-04.webp,gallery,true,acceptable,cannot_determine,DUP-01002,IMG-5E57E1652E9C5361,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000012,LY-HOT-000005,hotels,منتجع شحات السياحي,IMG-40B37878823F011F,assets/images/hotels/hotels-LY-HOTELS-00005-05.webp,gallery,true,acceptable,cannot_determine,DUP-00313,IMG-40B37878823F011F,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000013,LY-HOT-000005,hotels,منتجع شحات السياحي,IMG-230B3A6E36310AD5,assets/images/hotels/hotels-LY-HOTELS-00005-06.webp,gallery,true,high,cannot_determine,DUP-00042,IMG-8DC747601EC6069C,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000014,LY-HOT-000006,hotels,فندق المنارة,IMG-C1C05F1A9D79A78A,assets/images/hotels/hotels-LY-HOTELS-00006-04.webp,gallery,true,acceptable,cannot_determine,DUP-01122,IMG-6E813051ABAE8EF8,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000015,LY-HOT-000006,hotels,فندق المنارة,IMG-689BA7BAF801552C,assets/images/hotels/hotels-LY-HOTELS-00006-05.webp,gallery,true,acceptable,cannot_determine,DUP-00594,IMG-5B7142A4EFCBA2D4,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000016,LY-HOT-000006,hotels,فندق المنارة,IMG-11FA0A8CD5EB2920,assets/images/hotels/hotels-LY-HOTELS-00006-06.webp,gallery,true,acceptable,cannot_determine,DUP-01031,IMG-C339038E88B2C8FF,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000017,LY-HOT-000007,hotels,فندق لؤلؤة الخليج,IMG-7703B3398C7DF70E,assets/images/hotels/hotels-LY-HOTELS-00007-02.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00366,IMG-7FB51DD7960436EF,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000018,LY-HOT-000007,hotels,فندق لؤلؤة الخليج,IMG-732E1994D7D4EF4B,assets/images/hotels/hotels-LY-HOTELS-00007-03.webp,gallery,true,thumbnail_only,cannot_determine,DUP-01264,IMG-0DF8A715A9B5BE0F,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000019,LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,IMG-5EB2C1FAE325444C,assets/images/hotels/hotels-LY-HOTELS-00008-04.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00948,IMG-12962076A3275132,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000020,LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,IMG-CCEFA42B6FCE0C72,assets/images/hotels/hotels-LY-HOTELS-00008-05.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00232,IMG-EEFA7360E188E3E9,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
