image_id,source_relative_path,declared_extension,detected_mime,file_readable,publication_derivative_created,derivative_path,resolution_status,original_preserved,notes
IMG-78BA295438D199F4,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-99899EC2678C9DF4,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-1A2E94705AD49068,assets/media/LIBYA/heritage/leptis-magna/published/review-required/source-023.jpg,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-5A68702D22675909,assets/media/LIBYA/heritage/leptis-magna/published/review-required/source-024.jpg,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-DE1426F45B5C9AAE,assets/media/LIBYA/heritage/leptis-magna/published/review-required/source-025.jpg,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-46C1061DB33B416C,assets/media/LIBYA/heritage/leptis-magna/published/review-required/source-026.jpg,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-4A7E2F26AC072AE4,assets/media/LIBYA/heritage/leptis-magna/published/review-required/source-027.jpg,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-B501E910CC105335,assets/media/LIBYA/heritage/leptis-magna/published/review-required/source-028.jpg,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-F9463411702DC3FB,assets/media/LIBYA/heritage/leptis-magna/published/review-required/source-042.jpg,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-1A2E94705AD49068,assets/media/LIBYA/heritage/leptis-magna/source/DSC00541.JPG,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-5A68702D22675909,assets/media/LIBYA/heritage/leptis-magna/source/DSC00542.JPG,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-DE1426F45B5C9AAE,assets/media/LIBYA/heritage/leptis-magna/source/DSC00545.JPG,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-46C1061DB33B416C,assets/media/LIBYA/heritage/leptis-magna/source/DSC00546.JPG,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-4A7E2F26AC072AE4,assets/media/LIBYA/heritage/leptis-magna/source/DSC00547.JPG,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-B501E910CC105335,assets/media/LIBYA/heritage/leptis-magna/source/DSC00548.JPG,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-F9463411702DC3FB,assets/media/LIBYA/heritage/leptis-magna/source/المصارعة.JPG,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-A37938D4B1CFE622,assets/media/LIBYA/Sabratha/published/amphitheatre/sabratha-amphitheatre-001.JPG,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-7C7FC13984546131,assets/media/LIBYA/Sabratha/published/amphitheatre/sabratha-amphitheatre-002.JPG,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-EB3970495DD0618E,assets/media/LIBYA/Sabratha/published/main-site/sabratha-main-aerial-001.JPG,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-DD67F5FF23017E29,assets/media/LIBYA/Sabratha/published/roman-museum/sabratha-roman-museum-002.JPG,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
IMG-704BAD17EB02A3E0,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-007.JPG,.jpg,image/mpo,true,false,,deferred_rights_review,true,A correct conversion may be created only after approval.
