duplicate_group_id,sample_class,threshold_before,threshold_after,histogram_check,manual_visual_review_completed,observed_group_result,false_group,true_near_duplicate,cross_destination_false_group,notes
DUP-00001,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00015,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00029,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00043,low_distance,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00057,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00071,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00085,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00099,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00113,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00127,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00141,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00155,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00169,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00183,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00197,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00211,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00225,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00239,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00253,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00267,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00281,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00295,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00309,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00323,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00337,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00351,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00365,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00379,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00393,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00407,upper_threshold,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00421,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00435,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00449,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00463,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00477,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00491,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00505,cross_feature,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00519,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00533,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00547,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00561,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00575,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00589,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00603,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00617,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00631,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00645,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00659,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00673,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00687,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00701,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00715,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00729,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00743,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00757,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00771,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00785,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
DUP-00799,systematic_sample,5,5,not_run,false,unlabeled,,,,Human labels required before computing rates or changing threshold.
