id,name_ar,name_en,geometry_type,investment_type_code,project_status_code,municipality_ar,centroid_longitude,centroid_latitude,investment_readiness_level,preliminary_priority_level,data_quality_status,data_review_status,match_status
LY-INV-RES-ZUW-00001,قرية إدوس السياحية,,Point,resort_project,unknown,زوارة,11.998442,32.9900855,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-TRI-00001,قرية مرمرة السياحية,,Point,resort_project,unknown,طرابلس,12.00665,32.98545,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00002,قرية فيرونا السياحية,,Point,resort_project,unknown,زوارة,12.01095,32.97933,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00003,قرية البرتقالة,,Point,resort_project,unknown,زوارة,12.0234337,32.9749453,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00004,قرية شط النخيل زوارة,,Point,resort_project,unknown,زوارة,12.0486794,32.955312,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00005,قرية أوليڤيا السياحية - زوارة,,Point,resort_project,unknown,زوارة,12.0248071,32.9751944,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00006,منتجع رياض المنصوري,,Point,resort_project,unknown,زوارة,12.0565,32.95211,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00007,إقامة تولين السياحية,,Point,resort_project,unknown,زوارة,12.0211239,32.978893,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00008,VILLA HAYA,,Point,resort_project,unknown,زوارة,12.06513,32.94623,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00009,منتجع زين السياحي,,Point,resort_project,unknown,زوارة,12.0418755,32.961648,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00010,قرية تيبودا السياحيه,,Point,resort_project,unknown,زوارة,12.05311,32.9545,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00011,منتجع سيتي بارك زوارة,,Point,resort_project,unknown,زوارة,12.10216,32.93167,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SAB-00001,قرية جوهرة صبراتة السياحية,,Point,resort_project,unknown,صبراتة,12.45843,32.8107,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-SAB-00001,قرية المغرب العربي صبراتة,,Point,hotel_project,unknown,صبراتة,12.3285944,32.8259566,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SAB-00002,مركب تليل السياحي_صبراتة,,Point,resort_project,unknown,صبراتة,12.37648,32.81694,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00001,القرية السياحية جنزور,,Point,resort_project,unknown,,13.00864,32.83712,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-TRI-00002,قرية بالم سيتي/قرية النخيل السياحية طرابلس,,Point,resort_project,unknown,طرابلس,13.041687,32.848441,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-TRI-00003,القرية السياحية الريقاتة,,Point,resort_project,unknown,طرابلس,13.05782,32.8521,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-TRI-00001,مركب شيراتون - النقاط الأربعة,,Point,hotel_project,unknown,طرابلس,13.146279,32.880963,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00002,القرية السياحية تاجوراء,,Point,resort_project,unknown,,13.42962,32.86297,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00003,منتجع سمرلاند المائي,,Point,resort_project,unknown,,13.582164,32.79624,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00001,مصيف قرية مارينا السياحية,,Point,resort_project,unknown,الخمس,14.3535,32.5956358,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00002,قرية قصر سيلين العائلية,,Point,resort_project,unknown,الخمس,14.1871872,32.7041884,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00003,قرية حدائق غنيمة,,Point,resort_project,unknown,الخمس,14.0588067,32.7198825,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00004,إستراحة شط غنيمة,,Point,resort_project,unknown,الخمس,14.0287912,32.7217682,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-TRI-00004,قرية المتوسط العائلية,,Point,resort_project,unknown,طرابلس,14.0296077,32.7266548,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00005,قرية قوس غنيمة السياحية,,Point,resort_project,unknown,الخمس,14.05611,32.72302,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00006,قرية لؤلؤة غنيمة العائلية,,Point,resort_project,unknown,الخمس,14.03409,32.72176,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00007,قرية شمس البحر,,Point,resort_project,unknown,الخمس,14.0591948,32.7217781,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00008,قرية الشاطيء الذهبي,,Point,resort_project,unknown,الخمس,14.05915,32.71876,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00009,منتجع سي شيلز,,Point,resort_project,unknown,الخمس,14.1902606,32.7048271,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00010,منتجع حوض البحر Seapool Resort,,Point,resort_project,unknown,الخمس,14.0607489,32.7222509,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00011,قرية الخمس السياحية,,Point,resort_project,unknown,الخمس,14.2779222,32.6457684,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00012,قريه غنيمه العائليه,,Point,resort_project,unknown,الخمس,14.27806,32.64588,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00013,قرية اكوا مارين السياحية,,Point,resort_project,unknown,الخمس,14.034,32.72555,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-KHO-00001,قرية جنيف العائلية غنيمة,,Point,hotel_project,unknown,الخمس,14.03118,32.72632,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00014,منتجع شاطئ غنيمة,,Point,resort_project,unknown,الخمس,14.0540747,32.7210539,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00015,شاليهات بن حمودة العائلي,,Point,resort_project,unknown,الخمس,14.036992,32.724932,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00004,منتجع كريستال السياحي,,Point,resort_project,unknown,,13.6352738,32.7875341,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00005,منتجع رويال السياحي,,Point,resort_project,unknown,,13.6649677,32.7880725,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00006,القويعة,,Point,resort_project,unknown,,13.63224,32.788705,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00007,منتجع فيلا دريم هاوس,,Point,resort_project,unknown,,13.6725922,32.786663,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00008,منتجع شط مريم,,Point,resort_project,unknown,,13.6623284,32.7888939,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00009,استراحة الجود القويعه,,Point,resort_project,unknown,,13.6329856,32.7884131,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00010,منتجع اتش تي السياحي,,Point,resort_project,unknown,,13.63298,32.7864,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00011,منتجع اتش تي 3,,Point,resort_project,unknown,,13.6428593,32.7865142,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00012,منتجع شاليهات للاجار,,Point,resort_project,unknown,,13.6444767,32.787918,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00013,قرية العطايا العائلية,,Point,resort_project,unknown,,13.675653,32.789468,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00014,منتجع برستيج,,Point,resort_project,unknown,,13.6673395,32.7870038,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00015,قرية القويعة السياحية,,Point,resort_project,unknown,,13.6343097,32.7871612,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00016,شاليهات بن بية,,Point,resort_project,unknown,,13.6443505,32.7879279,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00017,قرية ميار البحر العائليه,,Point,resort_project,unknown,,13.68749,32.789744,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00018,قرية أغيث السياحية,,Point,resort_project,unknown,,13.6456806,32.7876536,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00019,قرية الخلة السياحية العائلية,,Point,resort_project,unknown,,13.679539,32.789005,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00020,مجمع جواهر لاند,,Point,resort_project,unknown,,13.646366,32.787247,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00021,منتجع دار البحر,,Point,resort_project,unknown,,13.6470901,32.7876215,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00022,منتجع وادي بالنور,,Point,resort_project,unknown,,13.59408,32.7926442,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00023,منتجع بيتش هاوس,,Point,resort_project,unknown,,14.058072,32.7174075,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00024,قرية قوس غنيمة السياحية,,Point,resort_project,unknown,,14.05612,32.722872,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00025,منتجع ايليت السياحي,,Point,resort_project,unknown,,13.6588969,32.7889728,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00026,قرية شمس البحر,,Point,resort_project,unknown,,14.058758,32.721782,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00016,قرية لؤلؤة غنيمة العائلية,,Point,resort_project,unknown,الخمس,14.058367,32.720385,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00027,شاليهات ركن النيروز,,Point,resort_project,unknown,,13.647632,32.788222,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00028,قرية رأس الحمراء العائلية,,Point,resort_project,unknown,,13.935119,32.774035,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00017,قرية شاطئ النخيل الذهبي,,Point,resort_project,unknown,الخمس,13.9354831,32.7733773,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZLI-00001,قرية أصيل السياحية,,Point,resort_project,unknown,زليتن,14.6145187,32.4896379,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZLI-00002,قرية الهُزم السياحية,,Point,resort_project,unknown,زليتن,14.6200546,32.489371,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-MIS-00001,منتجع الأمان السياحي,,Point,hotel_project,unknown,مصراتة,15.001973,32.413207,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-MIS-00001,منتجع مصراتة,,Point,resort_project,unknown,مصراتة,15.114877,32.405137,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-MIS-00002,منتجع فينيسيا/مصراتة,,Point,resort_project,unknown,مصراتة,15.030501,32.410642,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-MIS-00003,قرية زريق السياحية,,Point,resort_project,unknown,مصراتة,14.929789,32.431147,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00029,حي قصور الضيافة_سرت,,Point,resort_project,unknown,,16.6152747,31.2077676,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BEN-00001,شاليهات ريماس,,Point,resort_project,unknown,بنغازي,19.949189,31.9031676,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BEN-00002,قرية شاطيء النخيل,,Point,resort_project,unknown,بنغازي,19.954158,31.942865,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BEN-00003,منتجع مارينا بنغازي السياحي,,Point,resort_project,unknown,بنغازي,19.959256,31.982998,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BEN-00004,منتجع الصفوة السياحي,,Point,resort_project,unknown,بنغازي,19.964499,31.992255,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BEN-00005,منتجع ماربيلا السياحي,,Point,resort_project,unknown,بنغازي,19.971313,31.993245,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BEN-00006,مجمع الاصالة السياحي,,Point,resort_project,unknown,بنغازي,19.974266,31.99976,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BEN-00007,قرية الفاضل,,Point,resort_project,unknown,بنغازي,20.009364,32.032708,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BEN-00008,منتجع الأسيل,,Point,resort_project,unknown,بنغازي,19.996643,32.01888,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BEN-00009,منتجع الماسة السياحي,,Point,resort_project,unknown,بنغازي,20.137676,32.069522,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BEN-00010,منتجع قاريونس العائلي,,Point,resort_project,unknown,بنغازي,20.039029,32.061734,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BEN-00011,منتجع النخلة الذهبية,,Point,resort_project,unknown,بنغازي,20.040787,32.069285,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BEN-00012,منتجع فايا لارجو,,Point,resort_project,unknown,بنغازي,20.042231,32.07227,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BEN-00013,قرية قمرت السياحية,,Point,resort_project,unknown,بنغازي,20.212382,32.278478,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00030,منتجع التلال الحمامة,,Point,resort_project,unknown,,21.615861,32.911311,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00031,منتجع الجراري السياحي - للعائلات,,Point,resort_project,unknown,,21.604209,32.905579,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00032,منتجع ومصيف الحمامة,,Point,resort_project,unknown,,21.621093,32.916555,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00033,قرية إيلاف السياحية,,Point,resort_project,unknown,,20.9638155,32.7194631,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BAY-00001,شاليهات الحدائق الملكية,,Point,resort_project,unknown,البيضاء,21.5950836,32.8752309,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BAY-00002,منتجع وادي الكوف,,Point,resort_project,unknown,البيضاء,21.563798,32.702,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00034,منتجع إيلاند السياحي,,Point,resort_project,unknown,,21.940156,32.895682,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00035,منتجع كنزي السياحي,,Point,resort_project,unknown,,21.9725655,32.9008844,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00036,منتجع سوسه,,Point,resort_project,unknown,,22.0249434,32.9025146,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00037,مصيف القريه/رأس الهلال,,Point,resort_project,unknown,,22.1691686,32.9017744,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00038,منتجع الينابيع السياحي,,Point,resort_project,unknown,,22.190223,32.881896,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00039,منتجع الاثرون السياحي,,Point,resort_project,unknown,,22.279024,32.869423,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-DER-00001,منتجع إيميليا السياحي,,Point,resort_project,unknown,درنة,22.5622359,32.7982606,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-DER-00002,مصيف 1805,,Point,resort_project,unknown,درنة,22.56117,32.790435,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00040,منتجع الابرق السياحي,,Point,resort_project,unknown,,21.954304,32.825786,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00001,منتج شحات السياحي,,Point,resort_project,unknown,شحات,21.879472,32.824524,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00002,منتجع وموتيل الأمان 1,,Point,resort_project,unknown,شحات,21.894591,32.801446,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00003,منتجع وموتيل الأمان 3,,Point,resort_project,unknown,شحات,21.9234664,32.8263417,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00004,شاليهات بوعطية,,Point,resort_project,unknown,شحات,21.897302,32.842844,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00005,منتجع جود السياحي,,Point,resort_project,unknown,شحات,21.88843,32.840597,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00018,إستراحات فردية درجة أولى,,Point,resort_project,unknown,الخمس,21.867999,32.847121,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00006,إستراحات فردية,,Point,resort_project,unknown,شحات,21.8672957,32.8470731,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00007,منتجع الاسرة السعيدة,,Point,resort_project,unknown,شحات,21.873265,32.816855,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00008,شاليهات بومؤمن,,Point,resort_project,unknown,شحات,21.84664,32.858583,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00009,منتجع سيف للسياحه ولاستثمار,,Point,resort_project,unknown,شحات,21.903627,32.796428,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-TOB-00001,منتجع وفندق ريفان السياحي,,Point,hotel_project,unknown,طبرق,23.959161,32.0372928,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00012,قرية سبتيموس السياحية - زوارة,,Point,resort_project,unknown,زوارة,12.0089054,32.9846754,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-ZUW-00001,قرية سيمو السياحية - زوارة,,Point,hotel_project,unknown,زوارة,12.0038519,32.9863612,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZLI-00003,منتجع الهادريان زليتن,,Point,resort_project,unknown,زليتن,14.5157198,32.5025172,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00041,منتجع سفارى السياحى,,Point,resort_project,unknown,,15.042599,32.3512844,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00013,قرية اوديسا السياحية,,Point,resort_project,unknown,زوارة,11.9792196,32.998387,insufficient_data,insufficient_data,low,integrated,exact_match
