source_index,source_name,normalized_name,geometry_type,longitude,latitude,centroid_longitude,centroid_latitude,polygon_vertices,geometry_status,description_status,image_url,image_status,style_url,folder,duplicate_name_status,duplicate_geometry_status,xml_recovery_status,notes
1,قرية إدوس السياحية,قريهادوسالسياحيه,Point,11.998442,32.9900855,11.998442,32.9900855,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4xT5Q10e0X7AsyjlzyawHSZWThZ8t7XZAzYszAA6qjFI07r5aY7JH9FuRM7uj8FJl1oLAhkqOtmAKfvnR196nA9-chrXfbcIlwm_NcHf6_hPrDDEKsNGKUqk6jk89AtO1HFyKE4tuaRKoTISvB9AQrLE-KSsHZnsdZVDaTklVP6WNEBI58ahW0bPSDzDU7kjShPmlgnoDOOjWXF5O09w27RvGeLVH20Z0zk_2VkYRO8uYiA1_Til7RD_M?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
2,قرية مرمرة السياحية,قريهمرمرهالسياحيه,Point,12.00665,32.98545,12.00665,32.98545,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7de1s0VK2sqJjsa9cxcU5HyEzncMD0hu79p1UjFurln2gWplxEyPhTEaJH0dhUBvGgGGefdEiDoGIrg5sC13ml3S6rnrWSvvmhRpYcCf2Od16XfjjQvwGY8K1GH16Oi9m3QfBI6aX-FTWzJDs8SkRNPiGYxUQu6K6lJB3l1wDq-Yb3RO9L7citFd29ceqVQmG_OPzitn_rlsKEQ5FflV89V0UkC7bMVUMKXaqudLwPB8iwBM7xKkdwXjg?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
3,قرية فيرونا السياحية,قريهفيروناالسياحيه,Point,12.01095,32.97933,12.01095,32.97933,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR5B-Lyz2eCZSkIDfHp9PEzuot2-EEjdqVYB0vMsKb_Z7dNwVLHszi_Jaa6DqGlgPg-GeFrvhlCARwO9K7TDuxRnjbZNgeXWpCyhJ7iNq4jaKDbYDwUcjebhWNxNcweyHmIxXNakL9BSU7-Zsf7GGfQvEvdqI4FlANI3IEtmiNOgR8eOBospIsdtO6ir3oZVJbj1vdns1JCrTbwwOox4OVmC3VTwk6an6RKvuWpu1fHS0njhrzW-we972Mg?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
4,قرية البرتقالة,قريهالبرتقاله,Point,12.0234337,32.9749453,12.0234337,32.9749453,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4kzshjrWVDQ0fA1AggnAg_vWbzvn1-V0OH4GrxiE5Ia-ztt9I9RGBwcbFz2t3Z_oH2LSpVSWcSBItyOf10FMd6CEBfyesOAOuGWG6bG5OwsAiaxju5S6CaQfMuxDScZT2lH-Jc4eg2k6jh9s2JV4XlpFIMU3A1q1kmG2tw0GsyPGYmDuHodYXiKbDtUsIyl4myXFw17-ai2lIKETuppFSjcB9ARhvKtywaS02KqO9HIK7wsZ1mwlhM-zg?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
5,قرية شط النخيل زوارة,قريهشطالنخيلزواره,Point,12.0486794,32.955312,12.0486794,32.955312,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6ZAl8TbZfuww3_wst7XWh8G1PITa76s4YmeeYCT3OE3az-aOg7mq9P1gj5kElTqhsStz_whO6ga-6mvWh51eoAb4dbopWdM7skwEtBRbOpAd6D4vnFx13cjPd19d2I5IYIQvUCNBlqx4sNVXVMl_iFuFEYQ-aL3qIKWrUGZB8ovb-nJRI0Ti6SZTwNzKJiTflPZfnwDKI7LaizhXXXxpimf0QFpJ2MASUk6_gKczFsoyL4nlN-5wpgT4E?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
6,قرية أوليڤيا السياحية - زوارة,قريهاوليڤياالسياحيهزواره,Point,12.0248071,32.9751944,12.0248071,32.9751944,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7m49oLmfptwbbDU0JsF1Jjp2DLKU98N2ZOAPsjMoJcp8hamttSuYBq3fCBum1DzVHES_c3VPiEkElj4uuMZS10KlYmkeH6bDLemnYigwQIrCpIygyVvJeEinzbSyjRsgiswi0OiboFxb6Nx0JLU986bpWrf6sSC3wQJPFaQG4rKJySQGa7jk8gzn8VP9ppWi4M-zC71mbo_1Ak-AUHdv9UpXpTMCCdL5VXy535AxTBb7UdIPkCkpvE0hE?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
7,منتجع رياض المنصوري,منتجعرياضالمنصوري,Point,12.0565,32.95211,12.0565,32.95211,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR49_Zv3LhN-XpXjfIAcx84kA2mfCdptVnBJ2IAs38v019eQ6wLpADA78JKP49ysXIlCvwA00tiyEwzXofJVJMftlwERjcJUO34UVZefySx0P3CsZhgW1ckN3WdIggKvRZj4_Orqw1ffDkf7zXmBI1jNvSpHFdI8Bm6MNED9B2WUmtMf1U7rQP_NQGRsFl1q2ppuVBPOhX3nOoxtGi7m2X7qTiv0HmVwYng-_1MEvBR9ki76yoFviwJ-Cd0?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
8,إقامة تولين السياحية,اقامهتولينالسياحيه,Point,12.0211239,32.978893,12.0211239,32.978893,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR5sjGSbGYsrSACOOLzESBK4IbM4GcR27xcwCuk2oIXdKOwNh2mdHbfAwVdSYT-MP9RP5Vxu6GoTIyhU8Lq6ieYNnsOvtjVbBUNzMLTy3s0FHhwmWoNfZFPzvlQPOTNy8_aXehc_wUqOKurMRirkdoZjNMjOf9aht26qfIlPXGbY6MZZEbjlXoO46DEOkADSfFM5QzeuP1Ltri8j0LLIJXJZqvSBaMuLqzY0XMKCp4QP2I7OPbD9J1UUzB4?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
9,VILLA HAYA,villahaya,Point,12.06513,32.94623,12.06513,32.94623,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6HIdZ61WqJfOMyUTinaIUiBNSMRiCrb46PHQAQ1pZeWWHaROjKHHynF82plY5ZRlud5U0tMPQVTLz4Maksh8bu0se8Gey4FabIk8dzbvBUN-Yln9Z-zU_qJHkncZ_O7URdSII45ydqTL6BYS5GFylGLM6gH4hR0VnkQXGfXSEK-rr2VZF4kRYWahgJFRZX5OjJluWSek-DEqSPjGuUJ8ZBD91e_92N8d_b4eG1uKfL74R607yMtXVyrBA?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
10,منتجع زين السياحي,منتجعزينالسياحي,Point,12.0418755,32.961648,12.0418755,32.961648,0,valid,available,,no_image,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
11,قرية تيبودا السياحيه,قريهتيبوداالسياحيه,Point,12.05311,32.9545,12.05311,32.9545,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6tml2Dw54XAamlmHutr_r_epsKQUCtMQSJ1d3-fvTGqBNwBoq-2AgMP_Pun6R-vFNPqkmRq8HdG3iAUfHdAyk4_wL-OLHKUnVPICe0AbVQLOJ2VzXZ57fLx0-1bkfa3XSweaLd5b8K2d_vXa2eZs6drpDJgrQljelsF8alcTvUrHfPQ0s5Vg0vbeYBSp64fnXWT8AUrB2_ZkKxdoFM56LemVx8EjNAenXTc5A60n9vNu7QKaCksQeC1XA?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
