id,name_ar,name_en,facility_type_code,municipality_ar,longitude,latitude,match_status,data_quality_status,data_completeness_percent,source_image_status
LY-ACC-RES-ZUW-00001,قرية إدوس السياحية,Edos Sea resorts,beach_resort,زوارة,11.998442,32.990086,exact_match,medium,64,temporary_google_url
LY-ACC-RES-TRI-00001,قرية مرمرة السياحية,marmara resorts,tourist_resort,طرابلس,12.00665,32.98545,exact_match,medium,64,temporary_google_url
LY-ACC-RES-ZUW-00002,قرية فيرونا السياحية,verona resort,tourist_village,زوارة,12.0169581,32.979411,new_feature,medium,64,temporary_google_url
LY-ACC-RES-ZUW-00003,قرية البرتقالة,قرية البرتقالة - Orange Resort,tourist_village,زوارة,12.0251506,32.975314,new_feature,medium,64,temporary_google_url
LY-ACC-RES-ZUW-00004,قرية شط النخيل زوارة,Palm beach / قرية شط النخيل زوارة,accommodation_resort_other,زوارة,12.048679,32.955312,exact_match,medium,64,temporary_google_url
LY-ACC-RES-ZUW-00005,قرية أوليڤيا السياحية - زوارة,Olivia Zwara resort قرية أوليڤيا السياحية,tourist_resort,زوارة,12.0239487,32.9763911,new_feature,medium,64,temporary_google_url
LY-ACC-RES-ZUW-00006,منتجع تايتانيك,Titanix Resort Zuwara,tourist_resort,زوارة,12.0565,32.95211,exact_match,medium,64,temporary_google_url
LY-ACC-RES-ZUW-00007,إقامة تولين السياحية,إقامة تولين - Tuline residence,tourist_village,زوارة,12.021124,32.978893,exact_match,medium,64,temporary_google_url
LY-ACC-RES-ZUW-00008,VILLA HAYA,VILLA HAYA,tourist_resort,زوارة,12.06513,32.94623,exact_match,medium,64,temporary_google_url
LY-ACC-RES-ZUW-00009,منتجع زين السياحي,منتجع زين غاردن السياحي,accommodation_resort_other,زوارة,12.041876,32.961648,exact_match,medium,64,no_image
LY-ACC-RES-ZUW-00010,قرية تيبودا السياحيه,قرية تيبودا السياحيه Teboda resort,tourist_resort,زوارة,12.05311,32.9545,exact_match,medium,64,temporary_google_url
LY-ACC-RES-ZUW-00011,منتجع سيتي بارك زوارة,City Park Zuwara - سيتي بارك زوارة,tourist_resort,زوارة,12.10216,32.93167,exact_match,medium,50,temporary_google_url
LY-ACC-RES-SAB-00001,قرية جوهرة صبراتة السياحية,قرية جوهرة صبراتة السياحية Goharat sabratha,tourist_village,صبراتة,12.45843,32.8107,exact_match,medium,64,temporary_google_url
LY-ACC-RES-SAB-00002,قرية المغرب العربي صبراتة,فندق المغرب العربي للشقق المفروشة,tourist_village,صبراتة,12.328594,32.825957,exact_match,medium,64,temporary_google_url
LY-ACC-RES-SAB-00003,مركب تليل السياحي_صبراتة,Tellel resorts مركب تليل السياحي,tourist_village,صبراتة,12.37648,32.81694,exact_match,medium,64,temporary_google_url
LY-ACC-RES-NAT-00001,القرية السياحية جنزور,العنوان/المدينة:,tourist_village,,13.00864,32.83712,exact_match,low,43,temporary_google_url
LY-ACC-RES-TRI-00002,قرية بالم سيتي/قرية النخيل السياحية طرابلس,Palm city residences janzour libya,tourist_village,طرابلس,13.041687,32.848441,exact_match,medium,64,temporary_google_url
LY-ACC-RES-TRI-00003,القرية السياحية الريقاتة,قرية المغرب العربي السكنية -Regata village,tourist_village,طرابلس,13.05782,32.8521,exact_match,medium,64,temporary_google_url
LY-ACC-RES-TRI-00004,مركب شيراتون - النقاط الأربعة,Four Points Hotel - Tripoli,tourist_complex,طرابلس,13.146279,32.880963,exact_match,medium,64,temporary_google_url
LY-ACC-RES-NAT-00002,القرية السياحية تاجوراء,العنوان/المدينة:,tourist_village,,13.42962,32.86297,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00003,منتجع سمرلاند المائي,SummerLand Waterpark & Resort,tourist_resort,,13.582164,32.79624,exact_match,low,43,temporary_google_url
LY-ACC-RES-KHO-00001,مصيف قرية مارينا السياحية,مصيف قرية مارينا السياحية الخمس -Marina Villages,tourist_village,الخمس,14.3535,32.595636,exact_match,medium,50,temporary_google_url
LY-ACC-RES-KHO-00002,قرية قصر سيلين العائلية,قرية قصر سيلين العائلية - QASR SILIN FAMILY RESORTS,family_resort,الخمس,14.187187,32.704188,exact_match,medium,50,temporary_google_url
LY-ACC-RES-KHO-00003,قرية حدائق غنيمة,قرية حدائق غنيمة - GHANIMA GARDENS VILLAGES,tourist_village,الخمس,14.058807,32.719882,exact_match,medium,50,temporary_google_url
LY-ACC-RES-KHO-00004,إستراحة شط غنيمة,العنوان/المدينة: شارع الاربعين 40 غنيمة، الخمس,accommodation_resort_other,الخمس,14.028791,32.721768,exact_match,medium,50,temporary_google_url
LY-ACC-RES-TRI-00005,قرية المتوسط العائلية,Almotawaset resorts,family_resort,طرابلس,14.029608,32.726655,exact_match,medium,50,temporary_google_url
LY-ACC-RES-KHO-00005,قرية قوس غنيمة السياحية,qous ghanima village,tourist_village,الخمس,14.05611,32.72302,exact_match,medium,50,temporary_google_url
LY-ACC-RES-KHO-00006,قرية لؤلؤة غنيمة العائلية,العنوان/المدينة:,family_resort,الخمس,14.03409,32.72176,exact_match,medium,50,temporary_google_url
LY-ACC-RES-KHO-00007,قرية شمس البحر,العنوان/المدينة:,tourist_village,الخمس,14.059195,32.721778,exact_match,medium,50,temporary_google_url
