source_index,source_name,normalized_name,longitude,latitude,geometry_status,description_status,image_url,image_status,style_url,folder,duplicate_name_status,duplicate_coordinate_status,notes
1,قرية إدوس السياحية,قريهادوسالسياحيه,11.998442,32.990086,valid_point,available,https://lh3.googleusercontent.com/umsh/AN6v0v79otrI8wogou41UpolbKZYhIMrcra41rXBnEyRFA14bsNybzxcSZvcUl0MQHW4jWwceoAkaudO-v9bS4E75awxnrzscEbbA69Y-OcqWy6A62KLMWgxOGaipDZU8swZCTQ37w-P17VZztdiAzN0QasIxGdpyvriSIFX_qpxzJVL6DZR2yBFvRT-uVP-Oj7QbrZH2iykbbp8_sO4ng5mJ5K6ZvSfpiw2vyGvWpWujwX4_1nPtaoflgqef_wO7WHFkGTTRAR7Ql-moS1XwbfAsmHDQ-r0AvB3Gb8kE85yWUjWGDkWUUf2OEQyuvjWOCibtbrcc8JxprC1nP61Rj7I_rmz2rELCb2wTHAL_0xXH12HpQjs-WyoFV7cMBMXpdrMITO6QP04i6Pokz1O3IYgs3IRLkyoE-MAbc3vB12b3QsR5kTfXhR7HtbSVSvu8ae07czlQbmpkao_ddVrbT9m32ulaj70MMWO8zqEzJPK3Q8ckLU4xDjsGR-WDhFeb01613MImfMXs0UJVDpnlB-u3BUdkEnXHfhNBKBMMp6n1IpVoKQLEB7q6i_l3k4a0QDlV1w68I5oaX3oik7nm71t-GRvFeCmtbjF2UYjh_snTomqFfW7eFJ7-Fj0ivo-UuJqs7aNGOzXnxubkSNkYTr8Vcg0SVED0YWyIpjeFLCkkuMOlWYIl2UqE68lY2Ii63N7UHMDIeDSrgLA_yOVoT_md15KQ0seeA,temporary_google_url,icon-1387,القرى_والمنتجعات_السياحية_بليبيا,unique,unique,exact_match
2,قرية مرمرة السياحية,قريهمرمرهالسياحيه,12.00665,32.98545,valid_point,available,https://lh3.googleusercontent.com/umsh/AN6v0v51UilCPcoW9IZtgxr5BVC6UWdiQGhqeBV1T_K8lrTgCWqB4cRz_Ek0vWoC3GZfzOehIgA0u0NIA7vURVuHgn4Yt3aP3ZB92FkOuQvXfkh2KtcywfUKHBiHquY4_2dKHhkkI0I-mBht_KQ9Jl3yCp9fYo7XT87npUO_lpt_x0H2WnmpvpJlBzIu5Wl6yXTPYNMP01mjx0_a0REQzzxiy5cBsRk9pAqEkudAqehr_uEBGeK7vAe76LITD5kozwHTJzjX-Dh0r1VyJOTX5fkfdtOUsD5tHPmh9vLARMTVHYJexKN0piKQR2dbnhNWW8ogkw2FQxvVbZx1CZL_HNWrWB9bOr6D7LoFPG6O3Bog9W4AwKMmW3k-FTFS8uREazpN0vNCB7dj66EqHK6_ZyOIP50duaA01Y8JztsfBBFGv9Ki3FvXwOZUduowZ03caHMpboImyNMJHiFmCiJkKAOvRbo4TRJik-uM3ZgRbG-cIK4AD5xk6WX3AjI020rOOi9UX7dUZqlntdo9s50lIQ39dltgka6ENTbmN_EnQx_5LVH4LWu-FQhvEqQ0Zy4yOpI97ng01joGZi2MYr5Wwqbd_MJF1EblvP7PjhtQIVvI2eqglmHt9oLU3RgQzvBc1_ABeqm0aAzHrU-zYXa0EMk3ZMDKZkFpsgbwSwHF1eEU5BVF5E6DNl3Lb8ZAJJ3N8eLCepc-BUHeh0UhLe2j9oDvAnQ6p9o4sQ,temporary_google_url,icon-1387,القرى_والمنتجعات_السياحية_بليبيا,unique,unique,exact_match
3,قرية فيرونا السياحية,قريهفيروناالسياحيه,12.0169581,32.979411,valid_point,available,https://lh3.googleusercontent.com/umsh/AN6v0v5G1H3qmRfNSLOwtJqU7uEXpM_I5DBP0sfon7wMtMGcQYTLoLxNdG0KicMt8ZQgNtShJ2yMPnOIA57AmZW5Oq7d8QvyFTfADqEbki8Y6irsTpe8TVWRIHYehEId717voaKiIormkx-lqEvvYMPt-OpLwYfeQR8CS1UaEVDi5HJRQcW623haaWZFAjGCi56MDEB9lqaJqAnBTLK2W7V7kKMrMl4f2nLOB0_LU_btVCdUx8Hr_sSJACpmHg6TrLMQtI_xUDv4Tz5Mc9oopO97EiohMumvVHGkvMhbJXBuDuz4DjSok5xS4O2zdH3r9_verTKRvA_4pgsmLqGbYPWH-qTlwu8a-MkryVb3qm654ecJYEHhzxmbFhpWBnEFeN630VRWKrpnpBOi6-kwHmCbyw52Pl9kFhz1zm150lmkDLLWJUsuPprBigB0MpoQr0fxXYnD4SkOkQQqP67RCd79ZNgXTDD2FNGYK98XUDpQYCBYnLZfGahn1bT3iR3eLdCwmQuNhSzuHUQt_4pd1-xuHmkLaPNqzJnBEfNn2Oah4vZ3qRCTxilZGT_5D-WBDpXyfL1yJX3UeNxP-k1TqK12lLqviOMneXP6bklUF8fLX7tUgV4AwiX5joZAJR2b3W41-eavpAENLDiXiRBvZ54RTaqFQBMO5jlZbwPgtCK760T5HhKNfCgBi8HF6ov9_PlSAq3zDkIMc_eMHuOeuyU3BGIntEgDTw,temporary_google_url,icon-1387,القرى_والمنتجعات_السياحية_بليبيا,unique,unique,new_feature
4,قرية البرتقالة,قريهالبرتقاله,12.0251506,32.975314,valid_point,available,https://lh3.googleusercontent.com/umsh/AN6v0v6i1rDOzFuDiPSC8q1lx7qx7-TaDXbc08-s0_byimg9eof1KaLqQhbe1SY6COHjLjojkDIjKLx7U3wfhY_BhWU7Xx3YuNdsb8shBIddhW86k3X1kvoRxUSg9MKLSA4ZwS5L0UPV0v92mOeumqqR68HR6UR5_dvUL6HEFVCyQNDMfQAE2nwUt6UzhpIJWsqu7RvcnoZQ6YFfuCPwcGqMTPdx2Zlt4dqU-rOokMGU_Y_UerKWUjK0BWMzEjOOvEuNRJU5Qypqyly2xlf2UimeLbpTK-EtgFgCCvSlTgn5rGlB01alDhIfbFtuxQIN9aduOO-76YpCv58uH7SaKYtu98hbHrWg6_xJIhn1cNw6zmMGJJ9ssmwAL2VF5z66v7PByY4AhIEuuRFrMdoOwqFpQkpx0bHcT4b6AJOJlGfQT4nw-Mp1mb610NAuqwCj4Edd2EH_zKaSH9QpVlOe7RE5wpKi4KYWC2Ko9Cs00DTmaSeQ45YAujh6fnYeXEcfW7DUfGAB4aaSU5NHZZsCm-L9pVebZyvgLcom31nYMJKFOALkvHlYTXuNkRt7RGIghhzGRqHNhOXD25aw_i2FbaTTN6MxwbWotv9ffNRa6_BOsAJb9sKoHQ1GA_cTm5A0d2K8Yr9dCLBJl-fDWCv7JnxMLLLj035kBOMVTrTNvDbnPul3U9CyZYQF3dLZNy4zDR872oKM9MHwQjF1mt2blHWjKIlghk5V,temporary_google_url,icon-1387,القرى_والمنتجعات_السياحية_بليبيا,unique,unique,new_feature
5,قرية شط النخيل زوارة,قريهشطالنخيلزواره,12.048679,32.955312,valid_point,available,https://lh3.googleusercontent.com/umsh/AN6v0v4rslqUfQSkUinyXMC3CZypdR1JTMmxe7BcLjgo29PA9-hud0mP6s5pKL5gjIYKth80fwt2mmlJsWSBfQ9OvB_QPPi9ktGCbNPdZJqm6uE8kV1bQyAPcv4vspC-u5hSZuOSknETMuVhHMPueMe_hWEyPFFNk03czy4uqbr7yIudZPDli4JWxuhd3w5Q--ZnWYUzs9pnyA8BMt7rEWC_14pMPuiRPDeZ_0fLnYbfLu3qDNF5O9gnmx66cgAYPKAKOjQOv4aWNq9wQUrlaqYRX6kyjWI9Ipwljbk6BMFD8U2m8coBvB3oR3Daak-0t0C0QpizFtTTIVh1WoD_aHVyK5pWguId5uclAmx6IFymmaSoa4ftQJAYeY8YgEvGvE1yAJUqlLUEKd6ekus0LOQjFFuIXseHFU08GRKprMT30aa5Z5uWNXaii0w0DOG3lFvmvLraxt-voajD1ufL9rav0BgYrvHCNHq3ULRYKHrLfwSu7p9UYy5KqvpmK_3Pih3BQYgUia15nF_WEmQiCofjdm-HQEEDd6DIXzyr1SqTlwPFIx1tSW5zDa8O2qPhAU_5zU254GFwFwUscqaLhMW4y3vQIkqIfTAxlUa8I5dDjs_6YkDA5lQweGoLIJ3b8cTuNe1CNkL4ISzkkF-Y7AuD_03FdwRYLaZAUZp5kraT45KSh0u6rFzvhZAplQUsVoc4UAJtNoePgSzahCvZmdO7Lp8NRwfMxA,temporary_google_url,icon-1387,القرى_والمنتجعات_السياحية_بليبيا,unique,unique,exact_match
6,قرية أوليڤيا السياحية - زوارة,قريهاوليڤياالسياحيهزواره,12.0239487,32.9763911,valid_point,available,https://lh3.googleusercontent.com/umsh/AN6v0v4fNOpzOMGntxGcq4SuSwzJts_OZjweSdjaEqWJFRZXox0C9_1wsoaowFpfM3v2tXZ9kcpn6f2A1ScOjmshuG_iKrPNVjpFSD9-vsg_uDvbjhKiPjHNJns6ZRtJaBYK80mNzLgq2VAeVbeR2RxXcC3wjHC-PoLgcQSJt25PW_ioZOmvoW8N9BncQs0fLQZPcCwkx_vm2yHyFejgayZOkfY09etLWCjQdGRYO0sijkuag-SC7hJI5t_CpIxijDbFsRWhp26xMo85k5vCWYkJM2F6LNNs-ZhnSuHyscB6VzAx4x3xBD-cuO4UfKKgd-Ll376PDeO10WQEYLKrvgBWahU8yR3hF9-SQV2GEdzm2deoOlHZxvj1jsHcDB0cm0FeO85TeaWHWFxc0Mka5TNzd9nw02WBU9LAmlhvt7D38LFfcumRx7lZvqZE6bSpDNt_tm-Jjiy75TLKz3ypMaiVBpw2W3fQ0c1CT2sTRallrRlVSMywhS2xurDOEnMtk0BsnIeVQrum_x21P1dxY9BzrtoxzWJbE8KmCNFiTzjtepqQYey-Koei07HUOWPsBgs3ojPwgegE1CYAtrrlziXIy_5k4YhKWZrlCMrLe-tCvaTUQrHvHY06oMtM7R9UJ54QHCnP_PsU3tRHxw-ebd_fmbl4pg8FiYdVvBRWZ5cvJPGYMx5o-5uYSKSyDeFkUZeGQHVpa7a3_qZ-g92uyFWHGfDPUonQXA,temporary_google_url,icon-1387,القرى_والمنتجعات_السياحية_بليبيا,unique,unique,new_feature
7,منتجع تايتانيك,منتجعتايتانيك,12.0565,32.95211,valid_point,available,https://lh3.googleusercontent.com/umsh/AN6v0v4hz-8YaSiOIWRYssjkhhr6fTx1IGgBynAQAA6CVQerRXEJpi_mhqP8gEelJu5hhnWvW6AkrAbC8L08Ndn_KW6N7Avar3MwgbCxP1onRnSY5adgQBm275g8G6_x2UJJ7E1IBOY08DHc5_diiWbzXFzCEua2IV7bawo0VCjLH2FV-vyVgow1tv50CT7VPim8_NO05fEU4GDRmjQU6m2EvftamYnZ7jYUGGVFo2wnf-kgWqGnpKp5mW4KdrbZYoBxfyNuxRxYZBQ1m0vmWcViuQ4KOV0l6fOv0Uq7ySvMeUwMg-Hu0hmpceD3r9xlKgn-tpiKMHsehtLkFfGI8UDzOo_pkoBmmIdvhqgUN7aFSrZDvJ1lofIMx_bVzjIZYITSi0LZuf-XBIykTID-v4fkqV6AqukKT_CyKsc3XjTxbm2IQ3sb4qHiGDOl8aAIOhnmLNx6tRGycJCCTx_mQCf3Dm0vvdQCJTIx5pAPMYBcGExgpflPwwEIQcsE0Keif10_Vo-LO7KHrAt_AkfDV2svSSIzoHV2ZUjoJb9f4_T9vxTFiFLje-UTU3CGjKu8HL8vhQ78GlaHrLVRL8BRJImH3kH37sTqP_YFhVmcY_iS3bDOsYxMHWHQMIK4x-QEopSchM0Dua7PLcSTwKfFBvyBvtEuL0BQ40NfAZ3rCaxagPcjltptFykZcb4xXNHTSo7gr2kown9IcRJbGGU5GNhHieW0m6S3ug,temporary_google_url,icon-1387,القرى_والمنتجعات_السياحية_بليبيا,unique,unique,exact_match
8,إقامة تولين السياحية,اقامهتولينالسياحيه,12.021124,32.978893,valid_point,available,https://lh3.googleusercontent.com/umsh/AN6v0v48tpp37V5CLFZecXapc7bmNRFjEN_Vsd0Twig9TqcQoAiAMRBzvqAZR6Y-e4pT4azDm37gdDZx4jYrug_6bsI3NyF1Eyu7sDuJLLzYqm6jGXXnqTfc0NNRlKa05vYr99uTyf2OjSQf8NrCTTvMpIM7Hx4SJ7L5k98gN8i61zixDaDxBhbs9zjqLlZT94NUaysyCu5SRZLrkyTy-msp0_8-Z7PoFfvX_OmWMOodlOzfu23uhf8jVGQCUMS2O7vOzAfTSL3mBH1IlhpNe75A-40Xd_IL39EgshgDDZr8_NNbfgYMi7A1yWpXSqLiNOnYycZvaSIR7bhbd0-vT8esMNh4U5uxNtSH20OJBZWyA6jXQvn9-PHlgCMQiHfVubD8wM_e6vekFKctGLTi8dTDwCFI2bAKNoaYTaBw42jZj3e6bNGnMYwhQGhoK8NyAaj2bCSy8mY45veNxeN-arz1Dp4VBAJeVF5ZImNQOj_kH4oaUQddbAj2w1AEg3pumkp9_QUfshISGc8z39asHHKfOyhVJP05F0kieCK9NHtSr4vaaeekaAUrGHy6LQgpL7puvjVFmFGd_eY_a7F0_wUBe6IdySaqPlVby4tTZtpxZpCU47NW7mCkMhLGVoE1oHybJEBZ1dX55_2VdArdmccNrW40GLxRgqYrr3REXZzu6SGeYKVUOp8tpU3_nVuLhG6iHe98kKLRwzTdfp6JXZFxqqLfFdX6,temporary_google_url,icon-1387,القرى_والمنتجعات_السياحية_بليبيا,unique,unique,exact_match
9,VILLA HAYA,villahaya,12.06513,32.94623,valid_point,available,https://lh3.googleusercontent.com/umsh/AN6v0v6Q-Z9rsqqUIT-IsFuGMhmae1Eb5ooWVCYVIPACoPubKA07e5Wx-I1o9-gw9FYg3LFNg1RYriNj0g4jwV76516Vtz8vUm-Fs3E95qriImllxHewo9Q_aP3d3ZSjgPG2NdmpspXNcuf9Uztc5myuipe093J2MqLIhL5-cKma4w9zf5-mA3b6AVwyQdyn6Et_LTCvZm6-D2waYfA-2BoAAPGJhoyuHd_pKcU5JZc5-jSp-sw2Cln3ulnjpFM5MQZ6K1Ly8WFabz20KKDNSg1KlRN-xllFOU8w85rSxmTpnWxqWAWGssTVSJDZYXHjgUdB9N7_Ogw_mMgdcSR8mcZUEWSH1DQr-H6GBQDGb1y5aUWQj02YLqNMlta4GwmIBdRi3X9sGjlQQDSrhdIPT8sRrqdNr7TH3euXUPoJUGoAnW0-uasZg1mOdbyaPvarc662-kYT_Kyi6M5dr1XPpyo7y6h0w7BUhu4P_NuVbXpLfLqe7krzJb8rGOS6dPrMR0lSdG5sCsrmhbFqb6yOmlB1Ajvbl-GfgIPd-8wgkLeoJoI2fyUUr6xf-zYENHs27apa38g_8x-LiwCR_-8jMEIUMXEtR7F6dnR29BglUDFH35VB0Od-_MZylfh7AfkxQdEdK3CDaGqSNng_jl7NkqjuZyAsGc6oKa3ELUVgIy1eXtf7cVqbuX0CubnXjgWMKMuKXuWCxNjHLedM25GRJVxeXvEJH1WAKw,temporary_google_url,icon-1387,القرى_والمنتجعات_السياحية_بليبيا,unique,unique,exact_match
10,منتجع زين السياحي,منتجعزينالسياحي,12.041876,32.961648,valid_point,available,,no_image,icon-1387,القرى_والمنتجعات_السياحية_بليبيا,unique,unique,exact_match
