id,name_ar,facility_type_code,district_ar,longitude,latitude,match_status,data_quality_status,completeness_percent,image_status
LY-FNB-CAF-TRI-00001,كافي 92,cafe,,13.202213,32.875603,new_feature,medium,55,temporary_google_url
LY-FNB-CAF-TRI-00002,مقهى أسبانيول,cafe,,13.20433,32.894506,new_feature,low,27,temporary_google_url
LY-FNB-CAF-TRI-00003,إيّلا كافي,cafe,,13.193842,32.887823,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00004,Cave cafe,cafe,,13.198292,32.881598,new_feature,low,27,temporary_google_url
LY-FNB-CAF-TRI-00005,كافي دي ماري,cafe,,13.199452,32.896461,new_feature,low,27,temporary_google_url
LY-FNB-CAF-TRI-00006,Café de Roma,coffee_shop,,13.178593,32.898311,new_feature,low,27,temporary_google_url
LY-FNB-CAF-TRI-00007,كافي كيان,cafe,,13.207414,32.893955,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00008,لاتازا كافي,cafe,,13.212459,32.892322,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00009,Mondo Cafe,cafe,,13.193175,32.890781,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00010,برانش كافي,cafe,,13.207182,32.899775,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00011,كافي تايم,cafe,,13.214453,32.890874,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00012,Le Corner Cafe Shop,cafe,,13.211089,32.884163,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00013,مقهى سينابون,dessert_cafe,,13.211366,32.895504,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00014,مقهى الحاج فتحي زاوية الدهماني,traditional_cafe,,13.195949,32.886977,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00015,La Citta Cafe,cafe,,13.188654,32.8852,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00016,كافيه كالدو,cafe,,13.196037,32.859587,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00017,Avero Cafe,cafe,,13.210526,32.879761,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00018,كافي كورنيتو,cafe,,13.221732,32.897305,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00019,مقهى الزيتونة,cafe,,13.212943,32.898162,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00020,الباتشينو كافي,cafe,,13.207188,32.874688,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00021,aroma Caffe,coffee_shop,,13.190254,32.885713,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00022,كافي كازا,cafe,,13.179353,32.896101,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00023,مقهى بيانكي,cafe,,13.187166,32.889971,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00024,مونتريال كافي,cafe,,13.198936,32.891552,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00025,كافي موكا ايطاليا,cafe,,13.192055,32.892918,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00026,ALMONDO CAFE,cafe,,13.222968,32.887822,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00027,مقهى القادسية,cafe,,13.194105,32.885495,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00028,مقهي جردينه,cafe,,13.212501,32.89926,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00029,Milka Ly,review_required,,13.198918,32.889152,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00030,Cafe twins,cafe,,13.216448,32.890488,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00031,Mazaj cafe,cafe,,13.187586,32.884463,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00032,مقهى حب هان,cafe,,13.204998,32.8945,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00033,مقهي كافي لاتي,cafe,,13.222849,32.89511,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00034,كافي نيوتلا,cafe,,13.207102,32.874681,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00035,City CAFE,cafe,,13.209235,32.892815,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00036,GARDEN CAFE,cafe,,13.191592,32.871867,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00037,Papparoti Cafe,cafe,,13.212154,32.879058,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00038,Caffe Vergnano 1882,coffee_shop,,13.18848,32.890174,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00039,Cafe 24,cafe,,13.182218,32.892538,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00040,مقهى دا فيو,cafe,,13.142751,32.879255,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00041,كارفي كافي,cafe,,13.207699,32.871397,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00042,Estados coffee,coffee_shop,,13.188142,32.890094,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00043,FIFTY CAFE,cafe,,13.195677,32.871926,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00044,Elon Cafe,cafe,,13.172837,32.895555,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00045,عصائر بي?اندا,juice_bar,,13.212601,32.894068,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00046,Café Solo,cafe,,13.180429,32.87965,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00047,دكتور كيف,review_required,,13.213556,32.891127,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00048,Commercial Caffe,coffee_shop,,13.181329,32.894399,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00049,مقهى الجسر,cafe,,13.174789,32.884212,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00050,PALMS CAFE,cafe,,13.183737,32.89091,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00051,مقهى التومى,cafe,,13.188158,32.890123,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00052,مقهي باديه,cafe,,13.178346,32.897901,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00053,المقهى الرئاسي,cafe,,13.209273,32.899872,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00054,مقهي عين زاره,cafe,,13.191318,32.887188,new_feature,low,27,no_image
