source_index,source_name,normalized_name,longitude,latitude,geometry_status,description_status,image_url,image_status,style_url,folder,duplicate_name_status,duplicate_coordinate_status,notes
1,كافي 92,كافي92,13.202213,32.875603,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6WHqekomA58A0Gb-u0azbi4YCq8mMg3jSX4SmpTNwDUq046Mql6GWvw8PC2mFW0NSDhheOP1nU5KAKju1h6ikVS3JbGIzyqTDDGhao9j-7SyqBnrQrokcAIswDhtscmZPaLdvpv8fvgrGBiVL1iGHcHMcff-ZV89lOaOW-NQUjODFT7NIZHFYWz4OHfWHYvjD9Zxpi2RGxLHRTmNpIk-DtqH0lh60HAAfwIbcIG5uQPGcOkuh2IaF2PfY?authuser=2&fife=s16383,temporary_google_url,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
2,مقهى أسبانيول,مقهياسبانيول,13.20433,32.894506,valid,missing,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6iIZ_2Y9zpgdQQ03HkJzT9M1azl-9T_JRdQlroVlMR3P9of8omi_V0cxyVMnzHiUx7HMZkBp-MzYdGzNlLtoMPjcxX785F63ncdcF8AVWJoIiaDvCj_vMcCMtoHApBZ5FhP_CwkWW7PBx6OirUAOQbkTrG3dLOzw5YA96xsbl4AH41gPJUE0ObU9E-J25Go_xbqWUuZYuLQ1IwNv0N_V2cXElriSnabKN8pV7hU-7EiMxc7M-fBgZts4s?authuser=2&fife=s16383,temporary_google_url,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
3,إيّلا كافي,ايّلاكافي,13.193842,32.887823,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
4,Cave cafe,cavecafe,13.198292,32.881598,valid,missing,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4fGL5kGk-1hnca3jTh9-C5VPEwJSLEJ0laZUxYglP_rwLFhRU4L1zaBdJEoH6EnZipuP1ReSkbRWK8AGhadrmH6FVy0qYlHeyDf3yVIs42ICNrdn3LXTEjtsszyi-zfSFGp7TaVuAoNkRCO4LTtgVCFATX_6x7TJ-Ef64Oodql6gPbHIPtK7NrlGRtcXFsuTNKgasb9z3lUVExZM--JOxmzfUVcZg0PVpOWpGry2EtoKweZWZMxvL5fac?authuser=2&fife=s16383,temporary_google_url,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
5,كافي دي ماري,كافيديماري,13.199452,32.896461,valid,missing,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR69HRziSB1L3sAiCt6AYOzPYS75QWPMnMogxbR2_SrUoYhBDuSnQ8OfXhhn_8cjlTe_pejCFcvvzGrtzDwSYxWn4Vbeztv4qaaJYIpJkuh6eYrV32YzdFM_SU6x1HgTaioo0CXd0HdCxoH-7VePvYg7CnUjT-DEjIoZOmiRJZHqYxtbZ_ncTRYXublBn7Q_sQ06T7BMauatWJ5H6gEZEwB8JajMVr5OjYIqqbe40DJpJ5dcbE2k5jtCMDI?authuser=2&fife=s16383,temporary_google_url,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
6,Café de Roma,caféderoma,13.178593,32.898311,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4yKSwRlaoeRkyrQdklHRCjU_vaLHula8heng4Goi5cj_QTi5aMEpZrakzBKig6f0WQnxUi5-ccK4JSUk0-zHrk2Q6zf5vP6XPh85KwiRNJa7PBWmnJhbzYMmAL8KNbSCku65aaIFQs351mY64otCpEzZyFBAXhvkG_XeYw9BuZU5oMnccIusAKg6FC9GyAfUxpa0dUk85NjT1BSoEPWvNccjiwm_8NVVyh8MIOeSO8MEqmgUFeI89pMO0?authuser=2&fife=s16383,temporary_google_url,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
7,كافي كيان,كافيكيان,13.207414,32.893955,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
8,لاتازا كافي,لاتازاكافي,13.212459,32.892322,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
9,Mondo Cafe,mondocafe,13.193175,32.890781,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
10,برانش كافي,برانشكافي,13.207182,32.899775,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
11,كافي تايم,كافيتايم,13.214453,32.890874,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
12,Le Corner Cafe Shop,lecornercafeshop,13.211089,32.884163,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
13,مقهى سينابون,مقهيسينابون,13.211366,32.895504,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
14,مقهى الحاج فتحي زاوية الدهماني,مقهيالحاجفتحيزاويهالدهماني,13.195949,32.886977,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
15,La Citta Cafe,lacittacafe,13.188654,32.8852,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
16,كافيه كالدو,كافيهكالدو,13.196037,32.859587,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
17,Avero Cafe,averocafe,13.210526,32.879761,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
18,كافي كورنيتو,كافيكورنيتو,13.221732,32.897305,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
19,مقهى الزيتونة,مقهيالزيتونه,13.212943,32.898162,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
20,الباتشينو كافي,الباتشينوكافي,13.207188,32.874688,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
21,aroma Caffe,aromacaffe,13.190254,32.885713,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
22,كافي كازا,كافيكازا,13.179353,32.896101,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
23,مقهى بيانكي,مقهيبيانكي,13.187166,32.889971,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
24,مونتريال كافي,مونتريالكافي,13.198936,32.891552,valid,missing,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
