id,name_ar,facility_type_code,district_ar,longitude,latitude,match_status,data_quality_status,completeness_percent,image_status
LY-FNB-RES-TRI-00001,مطعم براون للوجبات السريعة,restaurant,,13.2116343,32.8777699,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00002,مطعم النبراس,traditional_restaurant,,13.202387,32.868285,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00003,مطعم لارمبلا,restaurant,,13.207352,32.880459,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00004,مطعم فتوش للمأكولات اللبنانية حي الأندلس,international_restaurant,,13.12428,32.872808,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00005,مطعم تك أوي,fast_food,,13.19369,32.872239,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00006,مطعم بيت الختيار,fast_food,,13.195834,32.890244,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00007,مطعم الأثار,restaurant,,13.175679,32.900152,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00008,مطعم فور سيزونز,traditional_restaurant,,13.209478,32.886332,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00009,مطعم ميلانو للوجبات السريعة,restaurant,,13.1784986,32.8746942,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00010,الأخطبوط للمشاوى والوجبات السريعة,restaurant_other,,13.1896814,32.8830634,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00011,دا ميت هاوس,restaurant_other,,13.2032859,32.8758394,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00012,مطعم الزرقاني للمأكولات الشعبية و الشرقية,traditional_restaurant,,13.1850769,32.8826957,new_feature,medium,45,no_image
LY-FNB-RES-TRI-00013,بيتزا الفورنو شارع الجمهورية,fast_food,,13.1836263,32.8804167,new_feature,medium,45,no_image
LY-FNB-RES-TRI-00014,مطعم السفير,restaurant,,13.1843559,32.8928658,new_feature,medium,45,no_image
LY-FNB-RES-TRI-00015,مطعم لاباديلا,restaurant,,13.209313,32.887671,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00016,الاخطبوط للمشاوي و الوجبات السريعة و فواكه البحر - الظهر,seafood_restaurant,,13.197489,32.890678,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00017,الانيا قريل- شواية,restaurant,,13.209232,32.892975,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00018,مذاق بكستاني - مطعم,international_restaurant,,13.203065,32.894209,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00019,مطعم شوايا,restaurant,,13.20639,32.875296,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00020,مطعم القصر,international_restaurant,,13.188201,32.889291,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00021,مطعم أورجينال,international_restaurant,,13.191188,32.885937,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00022,VIA MERCATO LY,international_restaurant,,13.190645,32.886498,new_feature,medium,45,temporary_source_reference
