source_index,source_name,normalized_name,longitude,latitude,geometry_status,description_status,image_url,image_status,style_url,folder,duplicate_name_status,duplicate_coordinate_status,notes
1,مطعم براون للوجبات السريعة,مطعمبراونللوجباتالسريعه,13.2116343,32.8777699,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR5AcsozKfMWtL4MChlVYMElyxuJ0vc7uKrKLuD9l3aYmUAUZThgcPFekJHlEp0VzIog6-THlwH0mgw4n-ZY4EYdUQGLrmUUk93CjTwuUET4ib5LOHNyZBhqNWeuJ_gwKnu2EjuKC7uCfRR3KCr0X-dd0cf_KnsNPUjEbTaGEoczUusUB6ps69B4V5kTVvfRkxa8xpTh0ZwQ5AYm189yJWHmVfgRbwlhsi3o0adW5B_1T8Oz_ydyRH7gbvw?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FFD600-labelson,المطاعم في طرابلس,unique,unique,new_feature
2,مطعم النبراس,مطعمالنبراس,13.202387,32.868285,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7uVS-Ju26TnpPUmiFwqBoX2BQdia-6yRV2gH490iDdnvitznt9w7NQs1YEJhxt1cG8fv9lyrQm_-owQFLvgjLeH5-r861O9KSH-LGrwekfF3Gi-7gDmO4_0fpc95TkMD7rvKTBBajqjiW2ZKRT2QpWUWwEYbjsr_W1kf6gUHzPQAWb5pMo8nVgobZseZMXZjYCrvbV__aLPyzYoR4GkFdF6YWDUixv_oHoJhkZq3LBJhLScWsUUI3piEM?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FFD600-labelson,المطاعم في طرابلس,unique,unique,new_feature
3,مطعم لارمبلا,مطعملارمبلا,13.207352,32.880459,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR61QGtYj-w-sJ1bDDiTNyfa7WktQ6-UKFTZAGyx1XSoIAo88euEkYmq2MCog5HHaWDpFLFHHe7YAm-Sc8bg7X-9jJpDmuCdQAgZHFmsgsGahEIlkrjVo0XE9tWsDQhdd-Gl3J_dnDtEma25WZYbo_HU4od1nzbErJgQ9Z70LddcuCXD6437W1PAZf0SMveHFPI7arGo4X5-Txx2e9yLkPZEQFFrobKsreQfIHbz-GTtuNwYZTi_AnZ_Nv4?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FFD600-labelson,المطاعم في طرابلس,unique,unique,new_feature
4,مطعم فتوش للمأكولات اللبنانية حي الأندلس,مطعمفتوشللماكولاتاللبنانيهحيالاندلس,13.12428,32.872808,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6Q1bq0gn-rr9pQKCaosnmWtzpviL_7mZBRBxDWx8RKchzz4NLi48GaLXQVCU4bRrSVcg4CtC90LtulnvQ9BehPn_E5i0i5U-v_bjyM4J8FRmJnqCYAqiF5YIyL4R82mqTLWwMo4ig7QogBakUTXFQA8bYOLnPdKdye5B9aK2uDQJJ0sm4xPcQLBJcK3wVNq9uNLcR_MRCwoBnetTNxCfe70aMthz2Cfitd4cRNnutAHp8cUk11ZMC0tLE?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FFD600-labelson,المطاعم في طرابلس,unique,unique,new_feature
5,مطعم تك أوي,مطعمتكاوي,13.19369,32.872239,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR65J8MTY9TF48ncwOJhkQWefKYKuEfLXBpwv29dLISrgcTRKmtCdhhYn_sRsLaYIbuBncZ_1wA35sbqPbWPLhfIhDO-Fswb_KCwwmKEuPZXzDp20bLwY-G9hXHwON8lhRd5v9yY7SKz2d79a2W9MRuUPkLNlrti3kkx4iM-12bDYsCmsdbFyvPU2VLkRncczNcaFQSLKx1IgAShWuGv_aqlte2anjCra5qrR7-CkSpe-O1F81Njk8YzuMU?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FFD600-labelson,المطاعم في طرابلس,unique,unique,new_feature
6,مطعم بيت الختيار,مطعمبيتالختيار,13.195834,32.890244,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4CyGTpOo0yPQnjEzH39XyqGq9cABqURA7-kT5I27v1OZ4MAIi87IatQB0VhqLZ4wxcPpmTzDcQHHHXOmH5-7FLWA7all-IiH-PuJDAQGAIxJUxRPtQ73SOE8UF1EnvjVkzJPIZ7T1iE-Kq0t1uLx59MVf1VYZzKrseeZaMWiMSsSZP12X2mAMYaU2aWvFaLDubPF6rg4Vgr1od68v7bns_gFr7zsbWuJ3fKqr2lbtebWVZnEnMHihgJXQ?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FFD600-labelson,المطاعم في طرابلس,unique,unique,new_feature
7,مطعم الأثار,مطعمالاثار,13.175679,32.900152,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6KJ4ZCQGDTM43TBCgT2w3soHS_VF5HHGZdPYq8iJgui5LYCrmPGre_9qHOK0vUbvs1_E2RO7dityZh0a7nWBm57fiIn6bJPbdQSSnLuxgdJ9OiBSozqtS2AgFg5Bbhht7bnjuwdU3ZeCBhafhx2JUjWkxhyhoHG-LrdVaxde7hfFqdelrzpjDq0fRiJH3zszy7g58diqaaXwk8Nw-m_lVFHE_7JfPMbAnFYe_OQ2fKulQnNCpmDC59CjM?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FFD600-labelson,المطاعم في طرابلس,unique,unique,new_feature
8,مطعم فور سيزونز,مطعمفورسيزونز,13.209478,32.886332,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6qETeI7jPTxK9lPNf2GMxfi7nm9_FHHZ1xwgNwadQoo6ma7SfhEUI3qGUarijEuYPJh8PtrkZKDFvWoZotgZ2h2MNNjuQTg5JWWCQTo2Px4n5eqyKIS1kJfiima5dpdVEwtMSrUD-WCCwDDCqfsRu-Nq9V61-pRmWCS_o0T9TKAYf7o-K6wAKMq2W6tjJzqiPxF_miJmLiZMLVfdg7Ks4qedsDy31dxOH4gBYhAeBfIsI5bYnoRPVpNHw?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FFD600-labelson,المطاعم في طرابلس,unique,unique,new_feature
9,مطعم ميلانو للوجبات السريعة,مطعمميلانوللوجباتالسريعه,13.1784986,32.8746942,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4yv6-9g_-VYagXucsklhK7JO4BiUiX1zoL429Vzk5MI4yTUu7mDWZ8uQbbapsG77rueD4MyCfNgHSuwK_OAHrNJ669k0eFWQSiyJbTPFePO26eELVJ48jQP6LIQbzsW2ERnQ7ysbQaNNBd1xk4eoGlWZSb6cITqh5A2efrsO1oRURdinoRKybTzWe7sBlpwpa-1898aeet2EY1hXNngxHGNhD8taN6pYFfoecrw9ijuLFygRDqmkTSktc?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FFD600-labelson,المطاعم في طرابلس,duplicate_name,unique,new_feature
10,الأخطبوط للمشاوى والوجبات السريعة,الاخطبوطللمشاويوالوجباتالسريعه,13.1896814,32.8830634,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR66GG4PH2WBfeEy1gqzc2ivIGKpfiSLVo26rqfLT_I8VncEPl8sNEl3CTuGwPBLyw_HgyOAqBY-__pbUMp2r4TziQyjICpOvwVRuakVV0Y6ErfnRqMKuKLNOQj79jiWheRIIO_BtQYx5ZXgRmU4JRj3mODrDEYrU4YJ2N2qUdH9n3vrhsy57wpFJueIa7QZOfJ3SDbYIIqgYbRGLruKuz8lBd2EI9sVdN9QjvTNguw-5d2P0WKxVwWmTPs?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FFD600-labelson,المطاعم في طرابلس,unique,unique,new_feature
