"feature_id","name_ar","new_images","new_match_type","confidence","image_count","notes"
"WH-WORLD-C0002","موقع قورينا الأثري – شحات","assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG|assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG","site_general","high","2","accurate review applied"
"WH-LY-003-C0001","مسرح شحات الاثري","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0002","متحف المنحوتات","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0003","الحمامات الاغريقية","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0004","المجلس المحلي شحات","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0005","آثار قورينا","assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG|assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG","site_general","high","2","accurate review applied"
"WH-LY-003-C0006","المسجد القديم","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0007","منتزة شحات","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0008","كهف يقع جنوب شرق مدينة شحات","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0009","مسرح3","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0010","سيزاريوم/ساحة بروكولوس المحيطة بالأروقة…","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0011","غابة شحات","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0012","هوا القاطر","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0013","مسرح شحات","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0014","مقابر منحوتة في الصخر","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0015","هوا احجري","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0016","نبع أبولو","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0017","شلال شحات","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0018","مدافن محفورة في الجبل","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0019","معبد الكابيتوليوم","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0020","اعمدة اثار شحات الخالدة","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0021","معبد زيوس في قورينا","assets/media/LIBYA/heritage/cyrene/published/features/cyrene-temple-of-zeus-001.jpeg","exact_feature","high","1","accurate review applied"
"WH-LY-003-C0022","السوق اليوناني القديم اغورا","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0023","Byzantine basilica","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0024","شلال الدبوسية","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0025","شلال رأس الهلال بافلو","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0026","شلال بالفو","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0027","Cyrene cemetery","","placeholder","none","0","accurate review applied"
"WH-LY-003-C0028","بحيرة براك نوطا","","placeholder","none","0","accurate review applied"
"WH-TEAM-0015","فندق التلال الوسيطة..","","placeholder","none","0","accurate review applied"
"WH-TEAM-0016","أثار جنوب قورينا","","placeholder","none","0","accurate review applied"
"WH-TEAM-0017","وادي بومليو","","placeholder","none","0","accurate review applied"
"WH-TEAM-0018","عين الحفرة","","placeholder","none","0","accurate review applied"
"WH-TEAM-0019","عقر بوالنعاس","","placeholder","none","0","accurate review applied"
"WH-TEAM-0020","مخطط بومليحة السياحي","","placeholder","none","0","accurate review applied"
"WH-TEAM-0021","هوا بوثن","","placeholder","none","0","accurate review applied"
"WH-TEAM-0022","مطل القلعة","","placeholder","none","0","accurate review applied"
"WH-TEAM-0023","المناقير","","placeholder","none","0","accurate review applied"
"WH-TEAM-0024","كاف الخروبة","","placeholder","none","0","accurate review applied"
"WH-TEAM-0025","كهف عبدالله بوخطاب","","placeholder","none","0","accurate review applied"
"WH-TEAM-0026","هواء هيتيني","","placeholder","none","0","accurate review applied"
"WH-TEAM-0027","النصب التذكاري لموسوليني","","placeholder","none","0","accurate review applied"
"WH-TEAM-0028","منتجع بقراوة للالعاب والسياحية","","placeholder","none","0","accurate review applied"
"WH-TEAM-0029","العويلية","","placeholder","none","0","accurate review applied"
"WH-TEAM-0030","وادي الحميرة","","placeholder","none","0","accurate review applied"
"WH-TEAM-0031","قصر بوغسال","","placeholder","none","0","accurate review applied"
"WH-TEAM-0032","متحف فسيفساء قصر ليبيا","","placeholder","none","0","accurate review applied"
"WH-TEAM-0033","زاوية العرقوب","","placeholder","none","0","accurate review applied"
"WH-TEAM-0034","قصر المقدم","","placeholder","none","0","accurate review applied"
"WH-TEAM-0035","كهف العودة","","placeholder","none","0","accurate review applied"
"WH-TEAM-0036","كهف الخزعلية","","placeholder","none","0","accurate review applied"
"WH-TEAM-0037","مسجد انس بن مالك - باندس","","placeholder","none","0","accurate review applied"
"WH-TEAM-0038","وادي ابطين الغزال","","placeholder","none","0","accurate review applied"
"WH-TEAM-0039","كاف طماش","","placeholder","none","0","accurate review applied"
"WH-TEAM-0040","كاف مسته","","placeholder","none","0","accurate review applied"
"WH-TEAM-0041","شط الرملة","","placeholder","none","0","accurate review applied"
"WH-TEAM-0042","قرية التلال السياحية الحمامة","","placeholder","none","0","accurate review applied"
"WH-TEAM-0043","منتجع ومصيف الحمامة","","placeholder","none","0","accurate review applied"
"WH-TEAM-0044","احواض السكميتو- القلعة الغارقة","","placeholder","none","0","accurate review applied"
"WH-TEAM-0045",".برك نوطا","","placeholder","none","0","accurate review applied"
"WH-TEAM-0046","كهف هوا فطيح.","","placeholder","none","0","accurate review applied"
"WH-TEAM-0047","استراحات(امواج )","","placeholder","none","0","accurate review applied"
"WH-TEAM-0048","وادي المهبول","","placeholder","none","0","accurate review applied"
"WH-TEAM-0049","كهف الحمام","","placeholder","none","0","accurate review applied"
"WH-TEAM-0050","مطار الأبرق الدولي","","placeholder","none","0","accurate review applied"
"WH-TEAM-0051","استراحة محمد بو عبدالعالي","","placeholder","none","0","accurate review applied"
