feature_id,name_ar,previous_images,new_images,previous_match_type,new_match_type,match_confidence,action,reason,data_cleanup_applied,notes
WH-WORLD-C0002,موقع قورينا الأثري – شحات,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,site_general,site_general,high,preserve_site_general,general aerial is valid only for main/general site,yes,confirmed general gallery
WH-LY-003-C0001,مسرح شحات الاثري,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0002,متحف المنحوتات,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0003,الحمامات الاغريقية,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0004,المجلس المحلي شحات,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0005,آثار قورينا,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,exact_feature,site_general,high,preserve_site_general,general aerial is valid only for main/general site,yes,confirmed general gallery
WH-LY-003-C0006,المسجد القديم,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0007,منتزة شحات,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0008,كهف يقع جنوب شرق مدينة شحات,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
WH-LY-003-C0009,مسرح3,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG | assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,site_general,placeholder,none,remove_incorrect_general_link,no confirmed feature-specific image available,yes,specialized feature uses placeholder
