"feature_id","name_ar","new_images","new_match_type","confidence","image_count","notes"
"WH-WORLD-C0004","مدينة غدامس القديمة","assets/media/LIBYA/heritage/ghadames/published/main-site/ghadames-main-site-001.jpg|assets/media/LIBYA/heritage/ghadames/published/main-site/ghadames-main-site-002.jpg|assets/media/LIBYA/heritage/ghadames/published/main-site/ghadames-main-site-003.jpg|assets/media/LIBYA/heritage/ghadames/published/main-site/ghadames-main-site-004.jpg","site_general","high","4","mass general reuse removed"
"WH-LY-005-C0001","بحيرة عين الذبان","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0002","المسجد العتيق","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0003","جبل الصحابة أو رأس الغولة","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0004","عين الفرس","assets/media/LIBYA/heritage/ghadames/published/ain-al-faras/ghadames-ain-al-faras-001.jpg","exact_feature","high","1","mass general reuse removed"
"WH-LY-005-C0005","برج مراقبة قديم","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0006","تمسمودسن","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0007","جامع يونس","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0008","واحة تومس_غابات النخيل","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0009","مدرسة تيلوان","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0010","مدينة غدامس القديمة","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0011","متحف غدامس","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0012","البيت التراثي- دان دون يونس","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0013","مقهى توجدة","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0014","القادوس","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0015","مسجد السنوسية","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0016","عين تالة","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0017","بيت الحبيب بن عز الدين للثقافة","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0018","جامع عون الله","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0019","مسجد سيدي عمران","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0020","مقبرة سيدي البدري","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0021","فندق باب الفتح","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0022","قرية تونين","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0023","فندق بن يدر","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0024","مسجد الظهرة","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0025","الحوش الغدامسي","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0026","فندق عين الفرس","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0027","المقبرة الغربية","","placeholder","none","0","mass general reuse removed"
"WH-LY-005-C0028","مسجد حي السلام","","placeholder","none","0","mass general reuse removed"
"WH-TEAM-0052","فندق نجوم غدامس","","placeholder","none","0","mass general reuse removed"
"WH-TEAM-0053","فندق جوهرة الواحة غدامس","","placeholder","none","0","mass general reuse removed"
"WH-TEAM-0054","مسجد عقبة بن عمر","","placeholder","none","0","mass general reuse removed"
