original_filename,source_folder,relative_source_path,sha256,file_size,width,height,format,duplicate_group,visual_category,proposed_feature_id,proposed_feature_name_ar,proposed_feature_name_en,confidence,publication_status,rights_owner,rights_status,published_relative_path,review_notes
1300130.jpg,official_center,غدامس/1300130.jpg,32ccd7647554775e30f296827c5a6ba16ee310518ebef8196ae87432f0936e08,115582,500,333,JPEG,dup-32ccd7647554,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
1459892.jpg,official_center,غدامس/1459892.jpg,92975d275bfd721bec06736f36f15bfd79d02b0b335a5714de2920b5c51e70f1,149410,375,500,JPEG,dup-92975d275bfd,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
21311866.jpg,official_center,غدامس/21311866.jpg,c7a3f09db11ca52a6d247355bc14f650fcf9abe73a49df9c03e96f9a476dfc6a,47592,500,375,JPEG,dup-c7a3f09db11c,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
21311876.jpg,official_center,غدامس/21311876.jpg,5e686538a580a3d1930238985e393d64a0fcba8414e1d0458b6b839dae8343da,53687,500,375,JPEG,dup-5e686538a580,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
21311890.jpg,official_center,غدامس/21311890.jpg,aea8c2a3239b51c31fdcc7b97cba96687c1bf727c4649ac53ea806bfbea5c37c,53967,375,500,JPEG,dup-aea8c2a3239b,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
21311896.jpg,official_center,غدامس/21311896.jpg,312a6989b83faab4d89668169c491a15d406534ed311d5ce6986685aeded2e0d,66545,375,500,JPEG,dup-312a6989b83f,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
274492.jpg,official_center,غدامس/274492.jpg,9d891c24d5e4381af073101882fc00eebf4f4d495a8e0e48fd4d3a1385cf0ce5,40483,500,375,JPEG,dup-9d891c24d5e4,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
274526.jpg,official_center,غدامس/274526.jpg,f2152acc71c250869a53697f3f753825db11a5af8235b0e3c32fb0db15b59680,72777,375,500,JPEG,dup-f2152acc71c2,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
274527.jpg,official_center,غدامس/274527.jpg,c1a8b2318b67e9757d8fb35527651b034a017fcf8de7a92cb72934134f9bda65,69044,375,500,JPEG,dup-c1a8b2318b67,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
27860001.jpg,official_center,غدامس/27860001.jpg,3da45b0cab7bceff3584b0f8159eb3f1d948fa9593c2303b4682c6a2b1e58756,22084,500,332,JPEG,dup-3da45b0cab7b,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
