"source_filename","sha256","visual_subject","matched_feature_id","matched_feature_name_ar","match_type","confidence","review_status","notes"
"1300130.jpg","32ccd7647554775e30f296827c5a6ba16ee310518ebef8196ae87432f0936e08","official source","","","review_required","low","pending_review","No published linkage without feature-level confirmation"
"1459892.jpg","92975d275bfd721bec06736f36f15bfd79d02b0b335a5714de2920b5c51e70f1","official source","","","review_required","low","pending_review","No published linkage without feature-level confirmation"
"21311866.jpg","c7a3f09db11ca52a6d247355bc14f650fcf9abe73a49df9c03e96f9a476dfc6a","official source","","","review_required","low","pending_review","No published linkage without feature-level confirmation"
"21311876.jpg","5e686538a580a3d1930238985e393d64a0fcba8414e1d0458b6b839dae8343da","official source","","","review_required","low","pending_review","No published linkage without feature-level confirmation"
"21311890.jpg","aea8c2a3239b51c31fdcc7b97cba96687c1bf727c4649ac53ea806bfbea5c37c","official source","","","review_required","low","pending_review","No published linkage without feature-level confirmation"
"21311896.jpg","312a6989b83faab4d89668169c491a15d406534ed311d5ce6986685aeded2e0d","official source","","","review_required","low","pending_review","No published linkage without feature-level confirmation"
"274492.jpg","9d891c24d5e4381af073101882fc00eebf4f4d495a8e0e48fd4d3a1385cf0ce5","official source","","","review_required","low","pending_review","No published linkage without feature-level confirmation"
"274526.jpg","f2152acc71c250869a53697f3f753825db11a5af8235b0e3c32fb0db15b59680","official source","","","review_required","low","pending_review","No published linkage without feature-level confirmation"
"274527.jpg","c1a8b2318b67e9757d8fb35527651b034a017fcf8de7a92cb72934134f9bda65","official source","","","review_required","low","pending_review","No published linkage without feature-level confirmation"
"27860001.jpg","3da45b0cab7bceff3584b0f8159eb3f1d948fa9593c2303b4682c6a2b1e58756","official source","","","review_required","low","pending_review","No published linkage without feature-level confirmation"
"311970_425424474161106_853650539_n (2).jpg","307def7ec95267a08372f47bd2d83e0ab34aa82c2c04626becd3be6d4d2df2f3","official source","","","review_required","low","pending_review","No published linkage without feature-level confirmation"
"311970_425424474161106_853650539_n.jpg","307def7ec95267a08372f47bd2d83e0ab34aa82c2c04626becd3be6d4d2df2f3","official source","","","review_required","low","pending_review","No published linkage without feature-level confirmation"
