original_filename,source_folder,sha256,duplicate_group,proposed_feature_id,proposed_feature_name,classification,confidence,rights_owner,rights_status,publication_status,published_relative_path,review_notes
004.jpg,source,0ae3c9be7a1b48a089d4f82c78640a3ff9aab377d42cf15e4d1a03f4244b9f98,dup-0ae3c9be7a1b,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
04.jpg,source,b94097b905c3f585a2b4fd8a1c7c31ee27d8393e5bbf55376481431527a92fba,dup-b94097b905c3,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20141203_102836.jpg,source,13c78e9fa9332f68b8a67fbf1da301225fcf0e563293b1840f706e5d9ebf945f,dup-13c78e9fa933,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20191205_133732.jpg,source,1a0c122b7a3b86419a193bded86a23e113eb5608c29e94e9e3296098917257fd,dup-1a0c122b7a3b,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20191205_134402.jpg,source,d5f692395c848a883d605718460449dd218bfeaf1ef75db8298ca25158d7fc51,dup-d5f692395c84,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20191205_134404.jpg,source,e07cdf1c589503bd21bbc0f51e293ce905af2a7e738ff1e4862be1076aaaf514,dup-e07cdf1c5895,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20191205_134420 (2).jpg,source,21d3ddf85fb714f34c5a9aedb9686800ff9b0c3c4a56f8d46ec90f5da891931b,dup-21d3ddf85fb7,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20191205_134420.jpg,source,21d3ddf85fb714f34c5a9aedb9686800ff9b0c3c4a56f8d46ec90f5da891931b,dup-21d3ddf85fb7,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20191205_134455.jpg,source,abc7e0f8c187d388fd89f4abb51582c2d3ee39a3af3eadfc80e69a0740062945,dup-abc7e0f8c187,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20191205_134629.jpg,source,94b26e000ce922f864cb7688e4a6284ebdc8e807fcfdea7fee557af2c613b5e5,dup-94b26e000ce9,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20191205_134711.jpg,source,d04dd28519cebaa4311e80bf18b08046750d28a0495b1062d7cfe1474ada1a4b,dup-d04dd28519ce,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20191205_135355.jpg,source,6e0e7c5f330bef50c75dc48728b69bafab50ce54b50c2f4192173eab50dfde20,dup-6e0e7c5f330b,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20191205_135423.jpg,source,3d5f0159ce21cead35c5f3a7db472619a0e55e22a724c25293fbaae2f0d901a1,dup-3d5f0159ce21,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20191205_135841.jpg,source,3ab957a06c0ecf66095f1079db9a9091bbc31426809be7c42d68ef4190d47972,dup-3ab957a06c0e,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20191205_135843.jpg,source,6a1ae961628330484151c9052d8afd06a8c2d75f110079fc353a02c9861cbbec,dup-6a1ae9616283,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20191205_135846.jpg,source,65ef0570d4d784deda55e9883b013d29825336c341d232351e5805aa533b67c4,dup-65ef0570d4d7,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20191205_140432.jpg,source,e0424d18a7b757cdd266b2d25e8519f0e6f30cc7689a694e15888739ea4fc842,dup-e0424d18a7b7,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
20191205_140511 (2).jpg,source,0a3a118ed2f3dcf84e75ea53be0ea79f4c095cdba7c9ec4dbb59e48046e103ca,dup-0a3a118ed2f3,,,unconfirmed,low,existing_atlas_media,existing_project_asset,review-required,,
