site,feature_id,name_ar,name_en,previous_image_count,new_image_count,image_paths,image_match_type,confidence,source_folder,source_filename,sha256,review_status,notes
LEPTIS,WH-MAIN-001,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,Archaeological Site of Leptis Magna,55,55,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-colonnade.jpg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-002.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-003.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-004.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-005.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-007.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-008.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-009.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-010.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-011.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-017.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-018.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-019.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-020.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-021.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-022.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-023.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-024.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-026.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-027.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-028.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-029.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-030.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-031.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-001.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-002.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-003.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-004.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-005.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-006.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-007.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-008.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-009.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-010.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-011.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-012.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-013.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-014.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-015.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-016.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-017.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-018.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-019.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-020.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-021.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-022.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-023.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-024.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-025.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-026.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-027.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-028.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-029.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-030.jpeg | assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-031.jpeg,site_general,high,published/main-site,leptis-magna-colonnade.jpg | leptis-magna-official-002.jpeg | leptis-magna-official-003.jpeg | leptis-magna-official-004.jpeg | leptis-magna-official-005.jpeg | leptis-magna-official-007.jpeg | leptis-magna-official-008.jpeg | leptis-magna-official-009.jpeg | leptis-magna-official-010.jpeg | leptis-magna-official-011.jpeg | leptis-magna-official-017.jpeg | leptis-magna-official-018.jpeg | leptis-magna-official-019.jpeg | leptis-magna-official-020.jpeg | leptis-magna-official-021.jpeg | leptis-magna-official-022.jpeg | leptis-magna-official-023.jpeg | leptis-magna-official-024.jpeg | leptis-magna-official-026.jpeg | leptis-magna-official-027.jpeg | leptis-magna-official-028.jpeg | leptis-magna-official-029.jpeg | leptis-magna-official-030.jpeg | leptis-magna-official-031.jpeg | leptis-official-001.jpeg | leptis-official-002.jpeg | leptis-official-003.jpeg | leptis-official-004.jpeg | leptis-official-005.jpeg | leptis-official-006.jpeg | leptis-official-007.jpeg | leptis-official-008.jpeg | leptis-official-009.jpeg | leptis-official-010.jpeg | leptis-official-011.jpeg | leptis-official-012.jpeg | leptis-official-013.jpeg | leptis-official-014.jpeg | leptis-official-015.jpeg | leptis-official-016.jpeg | leptis-official-017.jpeg | leptis-official-018.jpeg | leptis-official-019.jpeg | leptis-official-020.jpeg | leptis-official-021.jpeg | leptis-official-022.jpeg | leptis-official-023.jpeg | leptis-official-024.jpeg | leptis-official-025.jpeg | leptis-official-026.jpeg | leptis-official-027.jpeg | leptis-official-028.jpeg | leptis-official-029.jpeg | leptis-official-030.jpeg | leptis-official-031.jpeg,,visually_verified,site-general institutional gallery
LEPTIS,WH-MAIN-001-C0001,بوابة أويا,Oya Gate,0,0,,,,published/features,,,no_verified_image,existing exact/high-confidence linkage
LEPTIS,WH-LY-001-0004,حمامات الصيد,Hunting Baths,0,0,,,,published/features,,,no_verified_image,existing exact/high-confidence linkage
LEPTIS,WH-LY-001-0005,منتزه لبدة السياحي,Leptis Tourist Park,0,0,,,,published/features,,,no_verified_image,existing exact/high-confidence linkage
LEPTIS,WH-MAIN-001-C0004,استراحة تازويت,,0,0,,,,published/features,,,no_verified_image,existing exact/high-confidence linkage
LEPTIS,WH-LY-001-0006,قوس تابريوس,Arch of Tiberius,0,0,,,,published/features,,,no_verified_image,existing exact/high-confidence linkage
LEPTIS,WH-LY-001-0007,معبد العائلة السيفيرية,Temple of the Severan Family,0,0,,,,published/features,,,no_verified_image,existing exact/high-confidence linkage
LEPTIS,WH-LY-001-0008,قوس أنطونيوس,Arch of Antonius pius,0,0,,,,published/features,,,no_verified_image,existing exact/high-confidence linkage
LEPTIS,WH-LY-001-0009,الميدان القديم,,0,0,,,,published/features,,,no_verified_image,existing exact/high-confidence linkage
LEPTIS,WH-LY-001-0010,حمامات غير مكتملة,,0,0,,,,published/features,,,no_verified_image,existing exact/high-confidence linkage
