id,name_ar,quality_status,completeness_percent,missing_fields,review_status,notes
LY-HOT-000007,فندق لؤلؤة الخليج,high,88,website,integrated,Complete missing official fields
LY-HOT-000013,فندق الهديل,high,88,image,integrated,Complete missing official fields
LY-HOT-000014,فندق بن يدر,high,88,image,integrated,Complete missing official fields
LY-HOT-000015,فندق نجوم غدامس,high,88,image,integrated,Complete missing official fields
LY-HOT-000016,فندق باب الفتح,high,75,website|image,integrated,Complete missing official fields
LY-HOT-000017,فندق فكتوريا,high,75,website|image,integrated,Complete missing official fields
LY-HOT-000018,فندق الطاووس,high,88,website,integrated,Complete missing official fields
LY-HOT-000019,فندق الودان,high,88,website,integrated,Complete missing official fields
LY-HOT-000020,فندق دار السلام ( المسيرة سابقا ),high,88,website,integrated,Complete missing official fields
LY-HOT-000023,بيوت الشباب,high,88,website,integrated,Complete missing official fields
LY-HOT-000024,فندق بلاغراي السياحي ( التلال سابقا ),high,88,website,integrated,Complete missing official fields
LY-HOT-000027,بيوت شباب غدامس,medium,88,classification,integrated,Complete missing official fields
LY-HOT-000028,نالوت غدامس فندق باب العز,high,88,website,integrated,Complete missing official fields
LY-HOT-000029,فندق أبراج الوسطى,high,88,website,integrated,Complete missing official fields
LY-HOT-000030,فندق طيبة,high,88,image,integrated,Complete missing official fields
LY-HOT-000032,Royal Gardens Hotels,high,88,website,integrated,Complete missing official fields
LY-HOT-000033,فندق ابونواس,high,75,website|image,integrated,Complete missing official fields
LY-HOT-000034,فندق احواص,high,88,website,integrated,Complete missing official fields
LY-HOT-000039,فندق الأندلس,high,88,website,integrated,Complete missing official fields
LY-HOT-000041,فندق البستان,high,88,website,integrated,Complete missing official fields
LY-HOT-000042,التاج للشقق الفندقية,high,88,website,integrated,Complete missing official fields
LY-HOT-000043,(فندق الطُبجية )فندق التاجوري,high,75,website|image,integrated,Complete missing official fields
LY-HOT-000044,فندق الجبل,high,75,website|image,integrated,Complete missing official fields
LY-HOT-000046,فندق الجوهرة الزاوية,high,88,website,integrated,Complete missing official fields
LY-HOT-000047,يعرف باسم (فندق الوادي ) فندق الحديقة,high,88,image,integrated,Complete missing official fields
LY-HOT-000048,فندق الحمام السياحي,high,75,website|image,integrated,Complete missing official fields
LY-HOT-000052,فندق الدوحة,high,75,website|image,integrated,Complete missing official fields
LY-HOT-000057,فندق الزهر,high,88,website,integrated,Complete missing official fields
LY-HOT-000058,فندق الزيتونة,high,88,website,integrated,Complete missing official fields
LY-HOT-000061,فندق السندباد,high,88,website,integrated,Complete missing official fields
LY-HOT-000063,فندق الشرق,medium,50,city|phone|website|image,integrated,Complete missing official fields
LY-HOT-000066,فندق الصناعية مصراتة,medium,62,city|phone|website,integrated,Complete missing official fields
LY-HOT-000067,فندق الصولجان,high,88,website,integrated,Complete missing official fields
LY-HOT-000068,فندق العاصمة,high,75,phone|website,integrated,Complete missing official fields
LY-HOT-000069,فندق الغدامسية,medium,50,city|phone|website|image,integrated,Complete missing official fields
LY-HOT-000070,فندق القرقني,medium,50,city|phone|website|image,integrated,Complete missing official fields
LY-HOT-000071,فندق القوس,medium,62,city|phone|website,integrated,Complete missing official fields
LY-HOT-000072,فندق الكبير,medium,62,city|phone|website,integrated,Complete missing official fields
LY-HOT-000073,فندق الكرومة,medium,50,city|phone|website|image,integrated,Complete missing official fields
LY-HOT-000074,فندق الماسة,medium,62,city|phone|website,integrated,Complete missing official fields
LY-HOT-000075,فندق المتوسط,high,88,website,integrated,Complete missing official fields
LY-HOT-000076,فندق المدينة,medium,50,city|phone|website|image,integrated,Complete missing official fields
LY-HOT-000077,فندق المشكاة,medium,62,city|phone|website,integrated,Complete missing official fields
LY-HOT-000078,فندق المنامة,high,88,website,integrated,Complete missing official fields
LY-HOT-000079,فندق النخلة,medium,62,city|phone|website,integrated,Complete missing official fields
LY-HOT-000080,فندق النقازة الخمس,high,88,website,integrated,Complete missing official fields
LY-HOT-000082,فندق الهنشيري,medium,50,city|phone|website|image,integrated,Complete missing official fields
LY-HOT-000083,فندق الهيشة,medium,50,city|phone|website|image,integrated,Complete missing official fields
LY-HOT-000084,فندق الواحات,medium,62,city|phone|website,integrated,Complete missing official fields
LY-HOT-000085,فندق الياسمين,medium,62,city|phone|website,integrated,Complete missing official fields
LY-HOT-000086,فندق أجنحة قرطاج,medium,62,city|phone|website,integrated,Complete missing official fields
LY-HOT-000087,فندق أفريقيا,medium,50,city|phone|website|image,integrated,Complete missing official fields
LY-HOT-000088,فندق بنت السيد,high,88,website,integrated,Complete missing official fields
LY-HOT-000089,فندق بودلغوسة,high,75,website|image,integrated,Complete missing official fields
LY-HOT-000091,فندق بيت الشرق,high,88,website,integrated,Complete missing official fields
LY-HOT-000092,فندق تابكت,medium,50,city|phone|website|image,integrated,Complete missing official fields
LY-HOT-000095,فندق ديار الهناء,medium,62,city|phone|website,integrated,Complete missing official fields
LY-HOT-000096,فندق ليبوس,medium,62,city|phone|website,integrated,Complete missing official fields
LY-HOT-000097,فندق ريكسوس,medium,62,city|phone|website,integrated,Complete missing official fields
