source_index,source_folder,raw_name,normalized_name,longitude,latitude,geometry_type,description,exclusion_reason,source_file
61,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
64,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
65,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
67,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
68,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
69,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
70,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
72,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
73,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
75,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
