id,name_ar,quality_status,completeness_percent,missing_fields,review_status,notes
LY-ACC-RES-ZUW-00001,قرية إدوس السياحية,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-TRI-00001,قرية مرمرة السياحية,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00002,قرية فيرونا السياحية,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00003,قرية البرتقالة,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00004,قرية شط النخيل زوارة,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00005,قرية أوليڤيا السياحية - زوارة,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00006,منتجع تايتانيك,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00007,إقامة تولين السياحية,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00008,VILLA HAYA,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00009,منتجع زين السياحي,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00010,قرية تيبودا السياحيه,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-ZUW-00011,منتجع سيتي بارك زوارة,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-SAB-00001,قرية جوهرة صبراتة السياحية,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-SAB-00002,قرية المغرب العربي صبراتة,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-SAB-00003,مركب تليل السياحي_صبراتة,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00001,القرية السياحية جنزور,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-TRI-00002,قرية بالم سيتي/قرية النخيل السياحية طرابلس,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-TRI-00003,القرية السياحية الريقاتة,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-TRI-00004,مركب شيراتون - النقاط الأربعة,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00002,القرية السياحية تاجوراء,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00003,منتجع سمرلاند المائي,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00001,مصيف قرية مارينا السياحية,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00002,قرية قصر سيلين العائلية,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00003,قرية حدائق غنيمة,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00004,إستراحة شط غنيمة,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-TRI-00005,قرية المتوسط العائلية,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00005,قرية قوس غنيمة السياحية,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00006,قرية لؤلؤة غنيمة العائلية,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00007,قرية شمس البحر,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00008,قرية الشاطيء الذهبي,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00009,منتجع سي شيلز,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00010,منتجع حوض البحر Seapool Resort,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00011,قرية الخمس السياحية,medium,64,rooms|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00012,قريه غنيمه العائليه,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00013,قرية اكوا مارين السياحية,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00014,قرية جنيف العائلية غنيمة,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00015,منتجع شاطئ غنيمة,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-KHO-00016,شاليهات بن حمودة العائلي,medium,50,rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00004,منتجع كريستال السياحي,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00005,منتجع رويال السياحي,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00006,القويعة,medium,50,municipality|rooms|beds|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00007,منتجع فيلا دريم هاوس,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00008,منتجع شط مريم,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00009,استراحة الجود القويعه,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
LY-ACC-RES-NAT-00010,منتجع اتش تي السياحي,low,43,municipality|rooms|beds|units|capacity|license|operation|image,integrated,Complete from tourism authority or municipality; verify classification
