id,name_ar,quality_status,completeness_percent,missing_fields,review_status,notes
LY-FNB-RES-TRI-00001,مطعم براون للوجبات السريعة,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00002,مطعم النبراس,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00003,مطعم لارمبلا,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00004,مطعم فتوش للمأكولات اللبنانية حي الأندلس,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00005,مطعم تك أوي,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00006,مطعم بيت الختيار,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00007,مطعم الأثار,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00008,مطعم فور سيزونز,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00009,مطعم ميلانو للوجبات السريعة,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00010,الأخطبوط للمشاوى والوجبات السريعة,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00011,دا ميت هاوس,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00012,مطعم الزرقاني للمأكولات الشعبية و الشرقية,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00013,بيتزا الفورنو شارع الجمهورية,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00014,مطعم السفير,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00015,مطعم لاباديلا,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00016,الاخطبوط للمشاوي و الوجبات السريعة و فواكه البحر - الظهر,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00017,الانيا قريل- شواية,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00018,مذاق بكستاني - مطعم,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00019,مطعم شوايا,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00020,مطعم القصر,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00021,مطعم أورجينال,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00022,VIA MERCATO LY,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00023,مطعم مراحب، مطعم,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00024,المطعم السنيورة التركي,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00025,مطعم الطاجين للماكولات الليبية,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00026,مطعم الزرقاني للمأكولات الطرابلسية,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00027,مطعم لاروكا,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00028,بيج بوس برجر,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00029,لا كوتشينا إيطاليانو,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00030,شنابو الدهماني زاوية,low,36,classification|district|website|cuisine|opening_hours|license|image,review_required,Complete official fields; verify classification where flagged
LY-FNB-RES-TRI-00031,مطعم كوستيليا,medium,45,district|website|cuisine|opening_hours|license|image,integrated,Complete official fields; verify classification where flagged
