match_id,source_kml,source_placemark_index,source_name,normalized_source_name,candidate_feature_id,candidate_layer_id,candidate_name_ar,match_method,name_similarity,coordinate_distance_meters,geometry_consistency,image_derivative_count,match_status,confidence,manual_confirmation_required,notes
RTM-0001,data/kml/final/akakus.kml,,وادي ماتخيندوش,وادي ماتخيندوش,LY-AKA-000023,akakus,وادي ماتخيندوش,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0002,data/kml/final/akakus.kml,,وادي أويس,وادي أويس,LY-AKA-000029,akakus,وادي أويس,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0003,data/kml/final/akakus.kml,,وادي أفاغ,وادي أفاغ,LY-AKA-000030,akakus,وادي أفاغ,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0004,data/kml/final/akakus.kml,,وادي آمها,وادي آمها,LY-AKA-000032,akakus,وادي آمها,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0005,data/kml/final/akakus.kml,,وادي أمركا,وادي أمركا,LY-AKA-000037,akakus,وادي أمركا,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0006,data/kml/final/akakus.kml,,تين لالان,تين لالان,LY-AKA-000049,akakus,تين لالان,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0007,data/kml/final/akakus.kml,,متخندوش,متخندوش,LY-AKA-000106,akakus,متخندوش,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0008,data/kml/final/akakus.kml,,الفيوت,الفيوت,LY-AKA-000155,akakus,الفيوت,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0009,data/kml/final/akakus.kml,,غات,غات,LY-AKA-000156,akakus,غات,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0010,data/kml/final/old-tripoli.kml,,قوس ماركوس اوريليوس,قوس ماركوس اوريليوس,LY-TRI-000004,old-tripoli,قوس ماركوس اوريليوس,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0011,data/kml/final/old-tripoli.kml,,قوس الصرارعي,قوس الصرارعي,LY-TRI-000013,old-tripoli,قوس الصرارعي,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0012,data/kml/final/old-tripoli.kml,,دار البارود,دار البارود,LY-TRI-000017,old-tripoli,دار البارود,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0013,data/kml/final/old-tripoli.kml,,الحنفية (الشيشمة) العثمانية,الحنفية (الشيشمة) العثمانية,LY-TRI-000018,old-tripoli,الحنفية (الشيشمة) العثمانية,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0014,data/kml/final/old-tripoli.kml,,البيت الموريسكي(كازا موريسكي),البيت الموريسكي(كازا موريسكي),LY-TRI-000019,old-tripoli,البيت الموريسكي(كازا موريسكي),exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0015,data/kml/final/old-tripoli.kml,,البيت المزدهر كافي,البيت المزدهر كافي,LY-TRI-000020,old-tripoli,البيت المزدهر كافي,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0016,data/kml/final/old-tripoli.kml,,ميدان بنك روما,ميدان بنك روما,LY-TRI-000022,old-tripoli,ميدان بنك روما,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0017,data/kml/final/old-tripoli.kml,,قصر درغوت,قصر درغوت,LY-TRI-000024,old-tripoli,قصر درغوت,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0018,data/kml/final/old-tripoli.kml,,بيت اسكندر للفنون,بيت اسكندر للفنون,LY-TRI-000025,old-tripoli,بيت اسكندر للفنون,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0019,data/kml/final/old-tripoli.kml,,دار حسن الفقيه حسن للثقافة والفنون,دار حسن الفقيه حسن للثقافة والفنون,LY-TRI-000027,old-tripoli,دار حسن الفقيه حسن للثقافة والفنون,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0020,data/kml/final/old-tripoli.kml,,وسعاية مخزن الرخام,وسعاية مخزن الرخام,LY-TRI-000038,old-tripoli,وسعاية مخزن الرخام,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0021,data/kml/final/old-tripoli.kml,,كوشة الصفار,كوشة الصفار,LY-TRI-000039,old-tripoli,كوشة الصفار,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0022,data/kml/final/old-tripoli.kml,,زنقة البدوي,زنقة البدوي,LY-TRI-000040,old-tripoli,زنقة البدوي,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0023,data/kml/final/old-tripoli.kml,,زنقة الفرنسيس,زنقة الفرنسيس,LY-TRI-000041,old-tripoli,زنقة الفرنسيس,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0024,data/kml/final/old-tripoli.kml,,زنقة البقار,زنقة البقار,LY-TRI-000043,old-tripoli,زنقة البقار,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0025,data/kml/final/old-tripoli.kml,,زنقة القاجيجي,زنقة القاجيجي,LY-TRI-000044,old-tripoli,زنقة القاجيجي,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0026,data/kml/final/old-tripoli.kml,,زنقة الحرير,زنقة الحرير,LY-TRI-000045,old-tripoli,زنقة الحرير,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0027,data/kml/final/old-tripoli.kml,,زنقة الاسبان القنصلية الاسبانية,زنقة الاسبان القنصلية الاسبانية,LY-TRI-000049,old-tripoli,زنقة الاسبان القنصلية الاسبانية,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0028,data/kml/final/old-tripoli.kml,,جامع سيدي سالم المشاط,جامع سيدي سالم المشاط,LY-TRI-000051,old-tripoli,جامع سيدي سالم المشاط,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0029,data/kml/final/old-tripoli.kml,,مسجد بنور,مسجد بنور,LY-TRI-000052,old-tripoli,مسجد بنور,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0030,data/kml/final/old-tripoli.kml,,مسجد عبد الوهاب القيسي,مسجد عبد الوهاب القيسي,LY-TRI-000054,old-tripoli,مسجد عبد الوهاب القيسي,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0031,data/kml/final/old-tripoli.kml,,مسجد الصقلاني,مسجد الصقلاني,LY-TRI-000055,old-tripoli,مسجد الصقلاني,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0032,data/kml/final/old-tripoli.kml,,جامع السنوسية,جامع السنوسية,LY-TRI-000056,old-tripoli,جامع السنوسية,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0033,data/kml/final/old-tripoli.kml,,جامع بن طابون،المدينة القديمة ،طرابلس الغرب,جامع بن طابون،المدينة القديمة ،طرابلس الغرب,LY-TRI-000058,old-tripoli,جامع بن طابون،المدينة القديمة ،طرابلس الغرب,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0034,data/kml/final/old-tripoli.kml,,مسجد بن طبيب,مسجد بن طبيب,LY-TRI-000059,old-tripoli,مسجد بن طبيب,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0035,data/kml/final/old-tripoli.kml,,مسجد بورقيبة,مسجد بورقيبة,LY-TRI-000061,old-tripoli,مسجد بورقيبة,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
RTM-0036,data/kml/final/old-tripoli.kml,,مسجد الدباغ,مسجد الدباغ,LY-TRI-000063,old-tripoli,مسجد الدباغ,exact_feature_id,1,0,consistent,1,linked_to_runtime_geojson,high,false,Converted from local KML source to runtime GeoJSON.
