feature_id,layer_id,name_ar,source_kml,source_placemark_index,id_basis,previous_candidate_id,id_status,notes
LY-AKA-000023,akakus,وادي ماتخيندوش,data/kml/final/akakus.kml,,existing KML atlas feature ID,LY-AKA-000023,preserved,
LY-AKA-000029,akakus,وادي أويس,data/kml/final/akakus.kml,,existing KML atlas feature ID,LY-AKA-000029,preserved,
LY-AKA-000030,akakus,وادي أفاغ,data/kml/final/akakus.kml,,existing KML atlas feature ID,LY-AKA-000030,preserved,
LY-AKA-000032,akakus,وادي آمها,data/kml/final/akakus.kml,,existing KML atlas feature ID,LY-AKA-000032,preserved,
LY-AKA-000037,akakus,وادي أمركا,data/kml/final/akakus.kml,,existing KML atlas feature ID,LY-AKA-000037,preserved,
LY-AKA-000049,akakus,تين لالان,data/kml/final/akakus.kml,,existing KML atlas feature ID,LY-AKA-000049,preserved,
LY-AKA-000106,akakus,متخندوش,data/kml/final/akakus.kml,,existing KML atlas feature ID,LY-AKA-000106,preserved,
LY-AKA-000155,akakus,الفيوت,data/kml/final/akakus.kml,,existing KML atlas feature ID,LY-AKA-000155,preserved,
LY-AKA-000156,akakus,غات,data/kml/final/akakus.kml,,existing KML atlas feature ID,LY-AKA-000156,preserved,
LY-TRI-000004,old-tripoli,قوس ماركوس اوريليوس,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000004,preserved,
LY-TRI-000013,old-tripoli,قوس الصرارعي,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000013,preserved,
LY-TRI-000017,old-tripoli,دار البارود,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000017,preserved,
LY-TRI-000018,old-tripoli,الحنفية (الشيشمة) العثمانية,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000018,preserved,
LY-TRI-000019,old-tripoli,البيت الموريسكي(كازا موريسكي),data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000019,preserved,
LY-TRI-000020,old-tripoli,البيت المزدهر كافي,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000020,preserved,
LY-TRI-000022,old-tripoli,ميدان بنك روما,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000022,preserved,
LY-TRI-000024,old-tripoli,قصر درغوت,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000024,preserved,
LY-TRI-000025,old-tripoli,بيت اسكندر للفنون,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000025,preserved,
LY-TRI-000027,old-tripoli,دار حسن الفقيه حسن للثقافة والفنون,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000027,preserved,
LY-TRI-000038,old-tripoli,وسعاية مخزن الرخام,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000038,preserved,
LY-TRI-000039,old-tripoli,كوشة الصفار,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000039,preserved,
LY-TRI-000040,old-tripoli,زنقة البدوي,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000040,preserved,
LY-TRI-000041,old-tripoli,زنقة الفرنسيس,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000041,preserved,
LY-TRI-000043,old-tripoli,زنقة البقار,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000043,preserved,
LY-TRI-000044,old-tripoli,زنقة القاجيجي,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000044,preserved,
LY-TRI-000045,old-tripoli,زنقة الحرير,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000045,preserved,
LY-TRI-000049,old-tripoli,زنقة الاسبان القنصلية الاسبانية,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000049,preserved,
LY-TRI-000051,old-tripoli,جامع سيدي سالم المشاط,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000051,preserved,
LY-TRI-000052,old-tripoli,مسجد بنور,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000052,preserved,
LY-TRI-000054,old-tripoli,مسجد عبد الوهاب القيسي,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000054,preserved,
LY-TRI-000055,old-tripoli,مسجد الصقلاني,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000055,preserved,
LY-TRI-000056,old-tripoli,جامع السنوسية,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000056,preserved,
LY-TRI-000058,old-tripoli,جامع بن طابون،المدينة القديمة ،طرابلس الغرب,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000058,preserved,
LY-TRI-000059,old-tripoli,مسجد بن طبيب,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000059,preserved,
LY-TRI-000061,old-tripoli,مسجد بورقيبة,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000061,preserved,
LY-TRI-000063,old-tripoli,مسجد الدباغ,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000063,preserved,
LY-TRI-000064,old-tripoli,مسجد الهدار - المدينة القديمة,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000064,preserved,
