linkage_id,image_id,derivative_path,old_feature_id,new_feature_id,layer_id,geojson_path,feature_exists,match_method,match_confidence,institutional_batch_approval,manual_review_completed,visual_match_status,runtime_link_status,publication_status,notes
IMGRT-0001,IMG-E18F2DAE0868EC75,assets/media/LIBYA/heritage/LY-AKA-000023/LY-AKA-000023__primary__01__2DAE0868EC75__web-medium.webp,LY-AKA-000023,LY-AKA-000023,akakus,data/layers/akakus.geojson,true,exact_feature_id,high,true,false,cannot_determine,runtime_linked_pending_visual_verification,provisional_publication_candidate,
IMGRT-0002,IMG-AC89DDC21CE84AE0,assets/media/LIBYA/heritage/LY-AKA-000029/LY-AKA-000029__primary__01__DDC21CE84AE0__web-medium.webp,LY-AKA-000029,LY-AKA-000029,akakus,data/layers/akakus.geojson,true,exact_feature_id,high,true,false,cannot_determine,runtime_linked_pending_visual_verification,provisional_publication_candidate,
IMGRT-0003,IMG-3A5DE817DBAE2AD4,assets/media/LIBYA/heritage/LY-AKA-000030/LY-AKA-000030__primary__01__E817DBAE2AD4__web-medium.webp,LY-AKA-000030,LY-AKA-000030,akakus,data/layers/akakus.geojson,true,exact_feature_id,high,true,false,cannot_determine,runtime_linked_pending_visual_verification,provisional_publication_candidate,
IMGRT-0004,IMG-1B31D51FCAA1AFD4,assets/media/LIBYA/heritage/LY-AKA-000032/LY-AKA-000032__primary__01__D51FCAA1AFD4__web-medium.webp,LY-AKA-000032,LY-AKA-000032,akakus,data/layers/akakus.geojson,true,exact_feature_id,high,true,false,cannot_determine,runtime_linked_pending_visual_verification,provisional_publication_candidate,
IMGRT-0005,IMG-59BD0D3A8231D05C,assets/media/LIBYA/heritage/LY-AKA-000037/LY-AKA-000037__primary__01__0D3A8231D05C__web-medium.webp,LY-AKA-000037,LY-AKA-000037,akakus,data/layers/akakus.geojson,true,exact_feature_id,high,true,false,cannot_determine,runtime_linked_pending_visual_verification,provisional_publication_candidate,
IMGRT-0006,IMG-4CE555A680866449,assets/media/LIBYA/heritage/LY-AKA-000049/LY-AKA-000049__primary__01__55A680866449__web-medium.webp,LY-AKA-000049,LY-AKA-000049,akakus,data/layers/akakus.geojson,true,exact_feature_id,high,true,false,cannot_determine,runtime_linked_pending_visual_verification,provisional_publication_candidate,
IMGRT-0007,IMG-EE7F408CE9AABF02,assets/media/LIBYA/heritage/LY-AKA-000106/LY-AKA-000106__primary__01__408CE9AABF02__web-medium.webp,LY-AKA-000106,LY-AKA-000106,akakus,data/layers/akakus.geojson,true,exact_feature_id,high,true,false,cannot_determine,runtime_linked_pending_visual_verification,provisional_publication_candidate,
IMGRT-0008,IMG-E9D68E93DA77F5A1,assets/media/LIBYA/heritage/LY-AKA-000155/LY-AKA-000155__primary__01__8E93DA77F5A1__web-medium.webp,LY-AKA-000155,LY-AKA-000155,akakus,data/layers/akakus.geojson,true,exact_feature_id,high,true,false,cannot_determine,runtime_linked_pending_visual_verification,provisional_publication_candidate,
IMGRT-0009,IMG-3795EF0B47BCE1DA,assets/media/LIBYA/heritage/LY-AKA-000156/LY-AKA-000156__primary__01__EF0B47BCE1DA__web-medium.webp,LY-AKA-000156,LY-AKA-000156,akakus,data/layers/akakus.geojson,true,exact_feature_id,high,true,false,cannot_determine,runtime_linked_pending_visual_verification,provisional_publication_candidate,
IMGRT-0010,IMG-473CAE5715AC1422,assets/media/LIBYA/old-cities/LY-TRI-000004/LY-TRI-000004__primary__01__AE5715AC1422__web-medium.webp,LY-TRI-000004,LY-TRI-000004,old-tripoli,data/layers/old-tripoli.geojson,true,exact_feature_id,high,true,false,cannot_determine,runtime_linked_pending_visual_verification,provisional_publication_candidate,
