source_index,source_folder,source_name,classification,matched_feature_id,confidence,recommended_action
0,مواقع التراث العالمي الخمسة,موقع لبدة الأثري (لبتس ماغنا) (لبدة الكبرى),matched_existing,WH-MAIN-001,exact,enrich_existing
1,مواقع التراث العالمي الخمسة,موقع صبراتة الأثري,matched_existing,WH-WORLD-C0001,exact,enrich_existing
2,مواقع التراث العالمي الخمسة,موقع شحات (قورينة) الأثري,matched_existing,WH-WORLD-C0002,exact,enrich_existing
3,مواقع التراث العالمي الخمسة,مواقع تادرارت أكاكوس الصخرية,matched_existing,WH-WORLD-C0003,exact,enrich_existing
4,مواقع التراث العالمي الخمسة,مدينة غدامس القديمة,matched_existing,WH-WORLD-C0004,exact,enrich_existing
5,مدينة لبدة الاثرية الكبرى,قوس سبتيموس سفيروس,matched_existing,WH-LY-001-0001,exact,enrich_existing
6,مدينة لبدة الاثرية الكبرى,المسرح الروماني الخمس _ ليبيا,matched_existing,WH-LY-001-0002,exact,enrich_existing
7,مدينة لبدة الاثرية الكبرى,البوابة الغربية (Western Gate) Porta Oea,matched_existing,WH-MAIN-001-C0001,exact,enrich_existing
8,مدينة لبدة الاثرية الكبرى,حمامات الصيد,matched_existing,WH-LY-001-0004,exact,enrich_existing
9,مدينة لبدة الاثرية الكبرى,منتزه لبدة السياحي,matched_existing,WH-LY-001-0005,exact,enrich_existing
10,مدينة لبدة الاثرية الكبرى,قوس تابريوس,matched_existing,WH-LY-001-0006,exact,enrich_existing
11,مدينة لبدة الاثرية الكبرى,معبد العائلة السيفيرية,matched_existing,WH-LY-001-0007,exact,enrich_existing
12,مدينة لبدة الاثرية الكبرى,قوس أنطونيوس,matched_existing,WH-LY-001-0008,exact,enrich_existing
13,مدينة لبدة الاثرية الكبرى,الميدان القديم,matched_existing,WH-LY-001-0009,exact,enrich_existing
14,مدينة لبدة الاثرية الكبرى,حمامات غير مكتملة,matched_existing,WH-LY-001-0010,exact,enrich_existing
15,مدينة لبدة الاثرية الكبرى,المعبد الشرقي,matched_existing,WH-LY-001-0011,exact,enrich_existing
16,مدينة لبدة الاثرية الكبرى,شرفة مبنى عام تطل على ميدان,matched_existing,WH-LY-001-0012,exact,enrich_existing
17,مدينة لبدة الاثرية الكبرى,شرفة خلفية,matched_existing,WH-LY-001-0013,exact,enrich_existing
18,مدينة لبدة الاثرية الكبرى,نصب لميسر,matched_existing,WH-LY-001-0014,exact,enrich_existing
19,مدينة لبدة الاثرية الكبرى,المدرسة,matched_existing,WH-LY-001-0015,exact,enrich_existing
20,مدينة لبدة الاثرية الكبرى,معبد دوكيومانوس,matched_existing,WH-LY-001-0016,exact,enrich_existing
21,مدينة لبدة الاثرية الكبرى,معبد جوبيتير دوليكينوس,matched_existing,WH-LY-001-0017,exact,enrich_existing
22,مدينة لبدة الاثرية الكبرى,الميناء,matched_existing,WH-LY-001-0018,exact,enrich_existing
23,مدينة لبدة الاثرية الكبرى,المعبد الفلافي,matched_existing,WH-LY-001-0019,exact,enrich_existing
